App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 07:25:55 PM","6 min 46 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
0,34,1,1302540,2,0,
50,33,74,1302440,78,0,
151,27,152,1302688,163,29,
251,30,252,1303916,259,29,
351,15,352,1303940,357,14,
452,9,454,1304188,464,9,
552,25,553,1304036,557,26,
652,2,653,1304036,657,2,
753,2,753,1304036,757,2,
853,2,853,1304036,858,2,
953,2,954,1303988,958,2,
1054,7,1054,1303936,1059,7,
1154,27,1155,1304920,1160,27,
1254,30,1255,1305044,1261,29,
1355,7,1356,1305044,1364,7,
1455,16,1456,1305168,1462,15,
1556,14,1558,1305168,1564,13,
1656,21,1656,1305068,1662,23,
1759,23,1762,1307796,1768,25,
1856,29,1857,1315244,1865,22,
1957,28,1958,1317476,1964,27,
2057,10,2058,1317388,2065,10,
2158,20,2159,1318256,2165,23,
2258,14,2259,1318104,2264,10,
2361,14,2363,1318328,2376,11,
2462,31,2463,1316076,2477,26,
2563,22,2565,1316312,2573,15,
2668,15,2671,1316668,2677,12,
2769,12,2773,1317092,2780,14,
2868,25,2870,1317712,2879,15,
2973,27,2975,1316504,2986,17,
3072,26,3075,1316480,3083,16,
3171,16,3173,1316948,3180,14,
3270,21,3272,1317468,3279,18,
3372,22,3374,1317840,3381,11,
3471,23,3473,1316272,3479,17,
3572,20,3574,1316520,3580,13,
3673,21,3674,1316644,3680,13,
3774,18,3775,1317192,3780,13,
3875,30,3876,1317464,3885,32,
3977,48,3979,1309352,3989,51,
4077,70,4079,1309904,4088,67,
4178,62,4180,1313960,4190,66,
4278,55,4278,1314944,4283,48,
4379,53,4381,1325672,4398,59,
4479,58,4480,1366652,4492,57,
4580,73,4582,1404536,4606,73,
4684,79,4686,1401404,4706,77,
4783,70,4785,1405820,4842,73,
4887,75,4889,1402728,4919,74,
4991,66,4993,1320536,5000,65,
5088,50,5090,1282680,5095,46,
5189,12,5190,1283052,5196,11,
5290,32,5291,1311956,5299,36,
5390,53,5392,1316960,5398,50,
5490,39,5492,1325196,5501,36,
5592,31,5593,1325944,5598,32,
5692,29,5693,1326160,5699,26,
