App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 07:40:55 PM","6 min 46 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
17256,10,17258,1155944,17264,8,
17357,17,17358,1156192,17365,11,
17458,13,17459,1156540,17465,7,
17562,12,17563,1156912,17570,8,
17665,23,17666,1156012,17673,16,
17765,13,17766,1156288,17772,11,
17866,17,17867,1156400,17873,12,
17967,15,17968,1156648,17974,10,
18069,22,18070,1157020,18077,13,
18170,30,18170,1156120,18179,21,
18269,17,18271,1155820,18276,14,
18370,15,18372,1156156,18377,12,
18471,21,18473,1156404,18480,16,
18573,17,18574,1156988,18581,12,
18674,17,18675,1157360,18689,11,
18775,24,18776,1156048,18781,19,
18878,21,18879,1156296,18884,14,
18979,27,18980,1156528,18988,17,
19080,27,19082,1156960,19090,17,
19181,20,19182,1157456,19189,13,
19282,30,19283,1155852,19289,22,
19383,24,19384,1156184,19389,18,
19485,21,19486,1156556,19494,16,
19586,13,19587,1156804,19593,8,
19688,23,19689,1156980,19696,14,
19789,27,19791,1156076,19797,19,
19889,17,19890,1156316,19895,12,
19992,24,19993,1156900,20001,15,
20092,13,20093,1157396,20099,8,
20194,14,20195,1157620,20201,10,
20295,39,20296,1155892,20302,29,
20397,21,20398,1156196,20404,16,
20497,23,20499,1156196,20504,19,
20599,42,20600,1156648,20605,29,
20699,18,20701,1157064,20708,14,
20800,25,20801,1155956,20806,15,
20901,19,20903,1155956,20909,15,
21002,17,21003,1156276,21010,12,
21103,13,21104,1156624,21112,9,
21204,17,21206,1156892,21212,12,
21305,36,21307,1155616,21313,24,
21407,15,21408,1155972,21414,12,
21508,21,21509,1156468,21515,13,
21607,15,21608,1156840,21614,11,
21709,17,21710,1157324,21715,11,
21813,25,21815,1155700,21822,17,
21913,13,21914,1155804,21921,9,
22015,19,22016,1156052,22024,12,
22116,20,22117,1156492,22125,13,
22217,19,22219,1156988,22226,12,
22319,30,22320,1155660,22331,16,
22418,18,22419,1156228,22426,15,
22520,19,22521,1156448,22527,12,
22620,17,22621,1156820,22627,11,
22721,15,22721,1157316,22728,10,
22821,21,22822,1156432,22834,16,
22922,25,22923,1156856,22929,14,
23023,20,23025,1157352,23033,13,
23123,17,23124,1157724,23129,13,
23225,21,23226,1158344,23235,16,
23325,33,23326,1156216,23335,23,
23426,19,23427,1156532,23434,11,
23527,15,23528,1156904,23535,11,
23628,26,23630,1157152,23638,16,
23728,24,23729,1157676,23735,13,
23829,25,23830,1156248,23836,17,
23930,13,23931,1156580,23937,10,
24032,22,24033,1156828,24041,13,
24133,17,24135,1157200,24142,12,
24234,13,24235,1157760,24241,9,
24334,30,24336,1156140,24342,19,
24435,15,24436,1156256,24446,14,
24536,20,24537,1156504,24547,11,
24637,17,24638,1156948,24649,12,
24738,25,24740,1157444,24750,15,
24840,21,24841,1156340,24850,15,
24941,23,24942,1156712,24949,17,
24992,5,24993,1156836,25004,3,
25093,17,25096,1157084,25113,14,
25197,22,25199,1157420,25209,14,
25298,20,25309,1158212,25334,14,
25397,34,25399,1156556,25419,25,
25499,27,25504,1157168,25514,18,
25603,26,25607,1157540,25622,22,
25701,21,25703,1157908,25724,13,
25802,29,25803,1158472,25817,22,
25903,30,25905,1156992,25922,23,
26003,13,26004,1157116,26014,9,
26105,14,26106,1157668,26113,10,
26207,12,26208,1158040,26220,12,
26309,24,26312,1158336,26331,13,
26411,32,26412,1156432,26424,25,
26511,16,26512,1156868,26521,11,
26611,17,26613,1157444,26623,11,
26715,15,26718,1157816,26739,13,
26813,30,26814,1157936,26838,19,
26913,38,26915,1156832,26925,27,
27015,17,27016,1157420,27042,12,
27116,22,27118,1157792,27130,16,
27217,17,27219,1158288,27235,16,
27318,26,27320,1158784,27338,13,
27423,35,27431,1156776,27443,28,
27520,23,27527,1157148,27546,18,
27621,22,27622,1157368,27635,12,
27722,17,27723,1157696,27735,12,
27824,20,27828,1158240,27851,15,
27924,28,27925,1156636,27936,23,
28026,17,28028,1157228,28044,12,
28131,20,28132,1157592,28144,11,
28234,18,28235,1158088,28255,11,
28332,27,28334,1158460,28355,21,
28433,26,28434,1156556,28449,22,
28534,15,28535,1156884,28563,11,
28636,23,28637,1157576,28651,17,
28736,21,28739,1157948,28763,16,
28838,34,28845,1158408,28868,26,
28940,36,28945,1156784,28966,25,
29042,27,29044,1157032,29067,13,
29140,20,29141,1157360,29153,14,
29243,17,29244,1157608,29258,12,
29342,21,29343,1158228,29351,15,
29443,30,29444,1156700,29450,30,
29543,33,29544,1165876,29562,33,
29646,20,29648,1166124,29664,21,
29746,37,29751,1166096,29765,33,
29850,44,29853,1166216,29886,36,
29949,52,29950,1165564,29968,48,
30054,24,30055,1169668,30068,19,
30152,40,30153,1173760,30168,36,
30253,23,30258,1173760,30280,23,
30355,28,30358,1173884,30384,18,
30454,36,30455,1172256,30467,25,
30555,24,30556,1172380,30566,19,
30655,34,30656,1172816,30664,39,
30756,63,30758,1175516,30774,61,
30858,63,30859,1180316,30871,61,
30957,75,30958,1169096,30969,75,
31057,39,31058,1174852,31064,32,
31157,39,31158,1178424,31165,37,
31258,31,31259,1181208,31268,28,
31358,43,31359,1186272,31364,42,
31459,28,31459,1190268,31465,27,
31559,45,31560,1200276,31566,45,
31661,35,31663,1233684,31671,36,
31762,48,31764,1285416,31775,50,
31863,52,31864,1329312,31871,48,
31969,51,31970,1370380,31984,51,
32069,52,32069,1390396,32074,52,
32119,45,32120,1293936,32126,43,
32219,27,32220,1286508,32224,23,
32320,12,32321,1295576,32330,12,
32420,53,32421,1305424,32434,51,
32520,42,32521,1304152,32527,44,
32620,28,32621,1305000,32627,29,
32721,31,32721,1306244,32730,33,
32821,50,32822,1307460,32829,48,
32922,54,32923,1308552,32929,55,
33023,80,33024,1312372,33034,80,
33123,85,33123,1322168,33135,85,
33275,91,33276,1334264,33301,92,
33388,95,33390,1339652,33421,95,
33492,89,33496,1332796,33514,90,
33597,94,33607,1332480,33636,92,
33699,95,33700,1332456,33716,97,
33800,81,33801,1331116,33807,81,
33901,46,33902,1332108,33956,46,
34005,92,34007,1334100,34014,92,
34105,100,34106,1342640,34141,100,
34214,93,34215,1334652,34238,92,
34315,92,34316,1334148,34334,93,
34417,95,34422,1333376,34451,95,
34516,78,34517,1333448,34522,77,
34632,86,34634,1336212,34642,85,
34688,95,34707,1342140,34714,96,
34808,93,34810,1337832,34822,92,
34932,97,34933,1336312,34950,97,
35033,94,35034,1334816,35060,95,
35132,75,35133,1334252,35139,70,
35233,68,35234,1342624,35273,69,
35338,95,35339,1338384,35412,95,
35434,100,35437,1338876,35451,100,
35538,88,35539,1336736,35553,87,
35645,92,35663,1339036,35686,93,
35745,92,35746,1337172,35757,91,
35846,60,35847,1334320,35852,62,
35950,87,35951,1338220,35960,84,
36062,93,36063,1344448,36094,95,
36112,85,36113,1339984,36119,84,
36213,92,36214,1337268,36235,90,
36337,95,36342,1338572,36358,97,
36417,92,36418,1335272,36425,87,
36518,47,36519,1335340,36533,44,
36624,90,36625,1337612,36631,83,
36726,92,36736,1345776,36757,95,
36839,87,36840,1340592,36852,86,
36942,97,36945,1337744,37002,97,
37042,97,37044,1337800,37056,97,
37148,77,37149,1336748,37158,79,
37219,87,37220,1345516,37252,86,
37368,95,37369,1348120,37375,95,
37423,95,37425,1345392,37446,95,
37531,93,37533,1347832,37558,94,
37638,100,37638,1345888,37700,100,
37730,100,37732,1345684,37745,100,
37831,82,37832,1336520,37838,82,
37955,55,37956,1345340,38000,67,
38060,97,38061,1341444,38136,98,
38160,95,38162,1340660,38178,91,
38259,95,38261,1339528,38271,95,
38360,89,38361,1341756,38389,90,
38464,90,38465,1338580,38473,89,
38563,61,38564,1337124,38569,61,
38664,89,38664,1341472,38690,89,
38765,90,38766,1343888,38827,92,
38867,97,38868,1344012,38875,97,
38981,86,38985,1341052,39010,85,
39080,97,39082,1339288,39109,97,
39180,90,39181,1338268,39194,87,
39280,70,39281,1345760,39318,71,
39389,88,39390,1344420,39473,88,
39483,100,39485,1343724,39504,100,
39584,92,39584,1339592,39605,92,
39684,95,39685,1342068,39695,95,
39786,92,39793,1339824,39806,92,
39885,61,39886,1339444,39951,57,
39986,94,39986,1341220,40069,94,
40103,97,40104,1347416,40131,100,
40200,90,40201,1341224,40239,90,
40300,95,40301,1340728,40367,95,
40406,94,40407,1340704,40420,95,
40502,77,40503,1339896,40514,74,
40610,86,40611,1344944,40635,86,
40728,93,40729,1348064,40735,93,
40819,91,40820,1343616,40828,91,
40920,95,40921,1341900,40953,95,
41020,95,41021,1344664,41033,95,
41121,97,41122,1342152,41138,97,
41237,82,41239,1336180,41285,87,
41339,90,41340,1336096,41421,83,
41432,97,41439,1336068,41454,97,
