App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 07:48:47 PM","7 min 5 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
9523,17,9524,1118232,9637,15,
9625,19,9627,1118604,9731,19,
9724,32,9725,1118976,9832,22,
9825,33,9826,1117492,9933,9,
9925,12,9927,1117812,10033,11,
10026,20,10027,1117936,10133,12,
10126,17,10127,1118296,10234,14,
10227,23,10228,1118544,10334,15,
10327,23,10328,1117560,10433,11,
10427,15,10428,1117900,10535,13,
10528,20,10529,1118148,10635,10,
10629,14,10629,1118504,10736,13,
10729,20,10730,1118752,10837,18,
10830,28,10831,1117100,10937,13,
10930,17,10931,1117132,11037,12,
11030,19,11031,1117348,11138,11,
11131,17,11132,1117796,11238,9,
11231,15,11232,1118276,11340,15,
11332,23,11333,1117196,11438,11,
11432,12,11433,1117408,11539,8,
11533,13,11534,1117656,11640,15,
11633,22,11634,1118028,11741,14,
11734,17,11735,1118396,11842,23,
11835,30,11836,1116868,11940,12,
11935,15,11936,1116868,12041,14,
12036,18,12037,1117160,12144,11,
12137,19,12138,1117500,12244,11,
12237,17,12238,1117996,12346,14,
12338,22,12339,1116992,12446,9,
12439,15,12440,1117216,12546,9,
12539,12,12540,1117588,12649,10,
12641,15,12642,1117588,12749,13,
12741,17,12742,1117892,12851,23,
12842,31,12843,1116264,12952,31,
12942,37,12944,1116660,13051,17,
13043,21,13044,1116640,13151,9,
13144,13,13145,1116816,13251,13,
13244,17,13245,1117312,13350,13,
13344,23,13345,1116208,13452,12,
13445,15,13446,1116208,13552,10,
13545,15,13546,1116208,13658,14,
13646,21,13648,1116828,13752,21,
13746,32,13747,1110524,13852,19,
13847,26,13847,1109020,13953,6,
13947,7,13948,1109476,14055,11,
14049,16,14050,1109724,14160,10,
14151,15,14152,1109692,14259,16,
14252,23,14253,1109940,14362,22,
14353,34,14355,1108956,14461,12,
14454,20,14455,1109076,14563,13,
14555,17,14556,1109324,14664,18,
14656,24,14657,1109572,14766,15,
14757,25,14759,1109892,14869,23,
14859,35,14860,1108464,14966,13,
14959,17,14960,1108948,15066,19,
15059,24,15060,1109196,15170,34,
15160,46,15162,1109256,15268,13,
15260,17,15262,1109752,15371,22,
15361,31,15363,1108400,15470,13,
15463,20,15464,1108400,15573,11,
15564,15,15565,1108648,15674,19,
15665,24,15668,1109092,15773,16,
15766,26,15767,1109464,15874,20,
15867,32,15868,1107308,15977,16,
15968,24,15969,1107432,16078,13,
16070,21,16071,1107996,16181,15,
16172,23,16173,1108412,16280,14,
16272,21,16273,1108884,16383,16,
16373,24,16374,1107804,16483,34,
16474,43,16475,1109312,16586,32,
16575,44,16577,1109716,16682,35,
16676,43,16677,1110764,16785,22,
16777,31,16779,1111808,16886,22,
16877,32,16879,1109680,16985,16,
16978,24,16979,1110220,17088,13,
17080,21,17081,1110676,17188,11,
17180,17,17181,1110996,17290,13,
17281,20,17283,1111616,17387,19,
17381,26,17382,1110012,17494,16,
17486,21,17487,1110336,17594,12,
17587,21,17588,1110808,17698,17,
17688,25,17689,1111180,17797,30,
17789,40,17790,1111676,17896,27,
17889,34,17890,1109648,17998,15,
17990,21,17992,1109988,18100,11,
18092,18,18093,1110288,18202,12,
18193,17,18194,1110576,18301,12,
18294,15,18295,1110948,18402,15,
18395,21,18396,1109768,18502,13,
18496,17,18497,1110096,18605,12,
18597,19,18599,1110468,18705,14,
18698,21,18699,1110840,18806,8,
18799,12,18800,1111212,18908,18,
18900,25,18901,1109408,19006,15,
19000,20,19001,1109576,19114,12,
19104,15,19106,1109992,19177,9,
19157,10,19159,1110328,19273,21,
19255,28,19257,1110700,19401,19,
19358,27,19361,1111320,19483,30,
19458,42,19460,1110012,19584,24,
19559,32,19561,1110236,19688,23,
19661,35,19663,1110588,19787,20,
19763,23,19768,1111080,19892,14,
19863,25,19864,1111700,19985,32,
19965,40,19968,1109888,20088,19,
20069,30,20071,1110172,20189,18,
20169,27,20171,1110636,20289,22,
20273,25,20274,1111008,20393,21,
20374,29,20376,1111504,20503,21,
20478,29,20484,1109852,20591,13,
20577,25,20578,1110100,20705,12,
20679,18,20681,1110448,20793,16,
20779,25,20780,1110820,20905,13,
20879,20,20880,1111068,20995,24,
20980,28,20982,1109824,21097,12,
21081,17,21082,1109936,21204,15,
21181,24,21183,1110584,21305,16,
21283,20,21286,1111204,21408,13,
21384,20,21387,1111500,21503,22,
21484,30,21487,1109876,21608,14,
21586,22,21589,1110124,21705,16,
21685,25,21688,1110676,21805,12,
21789,22,21791,1111296,21909,12,
21889,19,21891,1111792,22011,17,
21988,20,21990,1109512,22109,18,
22090,23,22092,1109984,22211,15,
22191,24,22193,1110604,22321,18,
22292,26,22294,1110852,22417,23,
22393,25,22396,1111224,22512,24,
22493,34,22494,1109496,22617,20,
22594,23,22596,1110048,22721,19,
22697,30,22700,1110544,22818,20,
22798,30,22800,1110916,22921,22,
22900,28,22903,1111532,23020,21,
23001,31,23003,1109604,23122,16,
23108,27,23110,1110200,23225,20,
23203,27,23206,1110348,23321,26,
23304,31,23311,1110720,23422,16,
23405,26,23410,1111184,23521,20,
23505,29,23508,1109532,23624,9,
23605,14,23607,1109856,23730,12,
23711,20,23713,1110324,23830,17,
23810,22,23812,1110696,23940,20,
23912,27,23915,1111144,24038,28,
24014,35,24018,1109296,24137,17,
24115,25,24120,1109856,24237,19,
24215,26,24217,1110352,24337,25,
24320,31,24324,1110848,24443,12,
24420,26,24422,1111096,24532,24,
24521,30,24523,1109700,24638,12,
24622,15,24624,1110168,24739,15,
24722,20,24725,1110540,24839,18,
24826,26,24828,1110912,24940,12,
24924,20,24927,1111284,25035,22,
25025,30,25026,1109668,25139,16,
25126,20,25128,1109856,25252,20,
25227,31,25230,1110228,25354,19,
25329,31,25333,1110600,25453,19,
25430,28,25432,1110848,25554,30,
25534,35,25537,1109308,25654,19,
25634,30,25637,1109868,25752,20,
25738,27,25741,1110460,25793,8,
25787,10,25788,1110584,25895,12,
25888,18,25889,1110956,25997,17,
25990,23,25991,1109452,26096,14,
26090,17,26091,1109892,26199,13,
26192,20,26193,1110140,26300,11,
26293,17,26294,1110716,26402,9,
26393,15,26394,1111212,26504,21,
26494,29,26497,1109608,26601,36,
26595,38,26596,1110168,26700,34,
26695,37,26695,1110800,26804,12,
26797,18,26798,1111256,26903,14,
26897,19,26898,1111876,27004,23,
26998,31,26999,1110048,27108,16,
27102,20,27103,1110128,27210,12,
27203,17,27204,1110500,27313,15,
27305,17,27307,1110872,27412,15,
27406,23,27407,1111244,27514,18,
27507,27,27508,1109940,27615,6,
27608,7,27609,1110064,27716,16,
27709,24,27710,1110428,27814,28,
27809,36,27810,1110748,27919,12,
27911,17,27912,1111104,28017,23,
28011,31,28012,1109604,28119,10,
28112,15,28113,1109800,28219,14,
28213,20,28214,1109924,28322,11,
28314,10,28315,1110172,28423,11,
28418,18,28419,1110792,28527,11,
28520,17,28521,1109788,28628,11,
28622,15,28623,1110268,28732,8,
28723,13,28724,1110640,28830,11,
28823,17,28824,1111136,28933,10,
28924,13,28925,1111508,29031,21,
29025,28,29026,1109552,29134,9,
29127,13,29128,1109632,29234,9,
29227,15,29228,1110128,29334,8,
29328,10,29328,1110500,29435,9,
29429,13,29430,1110872,29536,19,
29530,25,29531,1109792,29639,16,
29631,25,29633,1110032,29740,12,
29732,20,29733,1110156,29840,11,
29833,17,29834,1110528,29941,14,
29934,21,29935,1110844,30040,20,
30034,27,30035,1109564,30144,17,
30137,23,30138,1109640,30245,8,
30238,12,30239,1109888,30349,10,
30339,15,30340,1110012,30447,11,
30440,17,30441,1110508,30549,28,
30541,35,30542,1109932,30649,31,
30642,29,30643,1110924,30750,22,
30742,21,30743,1119108,30853,30,
30843,29,30844,1119348,30954,47,
30943,50,30944,1119472,31052,55,
31044,55,31045,1117672,31152,19,
31145,21,31145,1117488,31257,32,
31246,46,31248,1128408,31356,19,
31349,32,31350,1125980,31455,12,
31448,20,31449,1126228,31555,19,
31548,26,31549,1124580,31658,9,
31651,12,31652,1124680,31759,12,
31751,17,31752,1124928,31863,10,
31854,13,31856,1125052,31962,11,
31955,17,31955,1125516,32066,23,
32056,30,32057,1124144,32161,16,
32156,23,32157,1124588,32264,23,
32257,23,32258,1125044,32370,44,
32357,43,32358,1127976,32470,62,
32458,63,32459,1115336,32565,41,
32558,41,32559,1114976,32667,46,
32659,46,32660,1119272,32765,41,
32759,42,32760,1120880,32872,51,
32860,53,32861,1135400,32971,39,
32961,40,32962,1175692,33076,51,
33062,51,33063,1224180,33180,47,
33163,43,33164,1266588,33277,45,
33263,46,33265,1307508,33370,36,
33363,41,33364,1329028,33471,43,
33464,40,33465,1230352,33571,19,
33564,21,33565,1229376,33673,47,
33665,46,33666,1238928,33775,37,
33765,38,33766,1243228,33873,33,
33865,34,33867,1244176,33975,25,
33968,28,33970,1245044,34074,23,
34069,25,34070,1243348,34180,27,
34170,27,34171,1244464,34278,56,
34270,57,34271,1249952,34399,72,
34386,67,34388,1253132,34514,86,
34490,89,34493,1277900,34623,84,
34577,84,34578,1274196,34702,100,
34693,100,34694,1273024,34818,95,
34798,95,34799,1269504,34872,88,
34859,86,34863,1270528,34968,97,
34951,97,34953,1270228,35059,81,
35049,82,35050,1270088,35167,93,
35159,93,35160,1272936,35309,95,
35260,95,35260,1277092,35421,94,
35360,95,35363,1271276,35470,97,
35461,97,35462,1272060,35594,95,
35561,95,35562,1274132,35673,90,
35662,94,35663,1270276,35775,77,
35768,75,35769,1276052,35946,95,
35878,95,35878,1276468,35990,95,
35978,94,35979,1275668,36097,84,
36081,84,36083,1273496,36204,100,
36197,100,36198,1273800,36298,91,
36289,91,36290,1271580,36441,79,
36427,80,36428,1280964,36586,89,
36500,89,36501,1277112,36612,100,
36602,100,36604,1276500,36735,86,
36702,87,36703,1275404,36843,97,
36805,97,36807,1275884,36914,92,
36906,92,36907,1273276,37048,63,
37028,67,37029,1279432,37204,94,
37127,94,37128,1277412,37241,97,
37221,97,37223,1277228,37332,85,
37320,87,37321,1274408,37444,93,
37438,93,37438,1276840,37534,91,
37524,93,37525,1274360,37652,68,
37625,64,37641,1276844,37814,92,
37728,92,37732,1277772,37867,100,
37842,100,37844,1278328,37962,85,
37942,85,37944,1277120,38087,93,
38039,92,38040,1276808,38146,95,
38140,97,38142,1276096,38208,77,
38191,72,38192,1275776,38339,82,
38293,82,38294,1281940,38415,97,
38407,97,38408,1278924,38524,100,
38508,100,38509,1279252,38628,92,
38611,92,38612,1278212,38733,98,
38715,97,38716,1279704,38849,97,
38819,97,38821,1285272,38926,97,
38919,97,38920,1279856,39084,90,
39020,90,39021,1281696,39221,100,
39125,100,39126,1276224,39274,100,
39222,100,39223,1281068,39330,100,
39322,100,39324,1278740,39456,97,
39427,97,39428,1274076,39575,95,
39528,95,39529,1276912,39652,100,
39634,100,39641,1275424,39740,73,
39729,75,39730,1274832,39856,93,
39840,93,39840,1285220,40038,98,
40028,98,40029,1279792,40157,81,
40131,80,40139,1276760,40272,97,
40245,97,40246,1279692,40354,90,
40341,92,40343,1277500,40493,58,
40432,57,40433,1277196,40612,93,
40545,95,40547,1276188,40656,100,
40650,97,40650,1277288,40761,91,
40745,91,40747,1277128,40903,98,
40845,97,40880,1280100,40973,90,
40947,95,40960,1278368,41058,69,
41048,71,41048,1276104,41164,90,
41157,90,41158,1280392,41225,79,
41217,80,41218,1281412,41332,97,
41318,97,41320,1281196,41434,89,
41420,89,41423,1279256,41572,98,
41523,97,41538,1281564,41631,97,
41623,97,41625,1277052,41798,68,
41724,53,41777,1278152,41927,95,
41829,97,41831,1279608,41935,100,
41928,100,41929,1288612,42047,93,
42038,93,42039,1282364,42193,90,
42141,90,42142,1280860,42265,97,
42247,97,42248,1279224,42356,67,
42348,66,42349,1271052,42497,70,
42479,70,42480,1274728,42632,98,
42617,98,42618,1279792,42668,81,
42658,85,42659,1276620,42783,93,
42762,90,42763,1271944,42879,100,
42862,100,42864,1274712,42976,89,
42964,88,42965,1271620,43146,58,
43063,56,43068,1271384,43175,97,
43165,97,43167,1273824,43272,97,
43265,97,43266,1279980,43381,85,
43368,88,43369,1272128,43481,94,
43469,92,43474,1273516,43598,100,
43581,100,43583,1273656,43686,80,
43678,82,43679,1272040,43808,86,
43788,84,43793,1276356,43956,98,
43948,98,43949,1275448,44074,81,
44052,82,44054,1272816,44112,95,
44104,95,44105,1273132,44222,95,
44206,95,44207,1273580,44315,79,
44310,80,44310,1272072,44441,82,
44410,82,44411,1277840,44580,100,
44521,100,44522,1278424,44619,89,
44611,89,44612,1276784,44754,88,
44715,87,44716,1273808,44849,97,
44818,97,44823,1276616,44925,96,
44918,97,44918,1272332,45035,67,
45027,67,45028,1276128,45138,89,
45130,89,45131,1275268,45249,100,
45231,100,45234,1276704,45349,82,
45330,82,45331,1275772,45487,97,
45435,97,45447,1278184,45546,97,
45537,97,45539,1273468,45645,72,
45637,71,45639,1273252,45758,86,
45741,84,45751,1277396,45870,94,
45847,95,45848,1281696,45965,88,
45952,87,45953,1276092,46069,100,
46058,100,46060,1275824,46183,92,
46160,92,46161,1275888,46266,81,
46259,82,46260,1274316,46389,82,
46360,83,46362,1283792,46543,95,
46460,95,46461,1282076,46567,97,
46561,97,46562,1279488,46683,88,
46662,90,46663,1275880,46782,95,
46764,92,46765,1278356,46879,90,
46865,90,46866,1275620,46970,46,
46965,50,46966,1275396,47085,92,
47071,92,47072,1279132,47204,92,
47169,92,47170,1281880,47309,88,
47271,89,47272,1276284,47395,95,
47381,95,47382,1277276,47492,97,
47481,97,47482,1275940,47590,67,
47581,67,47582,1275976,47715,67,
47681,67,47683,1280084,47869,98,
47832,98,47833,1283460,47955,82,
47947,79,47948,1278804,48129,89,
48041,91,48042,1278720,48145,97,
48137,97,48139,1278704,48246,85,
48239,86,48240,1275668,48397,57,
48349,58,48350,1280164,48409,90,
48399,90,48400,1279764,48516,100,
48509,100,48510,1286732,48634,92,
48610,92,48611,1280260,48792,88,
48720,87,48722,1281084,48837,97,
48811,97,48812,1276888,48925,83,
48912,84,48913,1276728,49108,90,
49018,90,49019,1279244,49130,100,
49122,100,49124,1287296,49263,87,
49247,87,49248,1279596,49375,95,
49367,95,49368,1280960,49464,90,
49451,90,49452,1278776,49612,68,
49553,64,49554,1278456,49772,90,
49654,90,49655,1281764,49783,100,
49773,100,49774,1282900,49884,89,
49855,86,49870,1280760,50018,95,
49956,94,49965,1280920,50088,97,
50059,100,50060,1280412,50167,75,
50159,73,50160,1279996,50274,97,
50261,97,50262,1285324,50395,98,
50388,98,50389,1279096,50490,84,
50470,89,50474,1271644,50603,90,
50572,88,50574,1272492,50692,100,
50670,100,50676,1273980,50789,78,
50778,81,50780,1271380,50944,53,
50877,51,50879,1269956,51086,95,
50980,95,50983,1271772,51106,100,
51091,100,51096,1273532,51219,96,
51182,97,51183,1273200,51315,88,
51284,87,51286,1274164,51409,100,
51387,100,51387,1275108,51497,92,
51487,92,51488,1270972,51630,80,
51607,82,51608,1275248,51777,96,
51740,96,51760,1280344,51794,85,
51788,90,51789,1276580,51899,79,
51889,81,51890,1274156,52034,100,
51992,97,51993,1274772,52099,90,
52090,90,52091,1272540,52197,56,
52191,55,52191,1271888,52315,84,
52299,84,52300,1275528,52415,100,
52406,100,52408,1282244,52521,87,
52510,88,52511,1274060,52689,94,
52607,94,52609,1275216,52735,100,
52714,100,52715,1273784,52815,75,
52808,78,52809,1273252,52935,79,
52918,78,52919,1279976,53100,90,
52975,86,52977,1275492,53113,100,
53104,100,53106,1275624,53210,86,
53197,87,53198,1276104,53307,94,
53296,93,53297,1276156,53407,94,
53396,94,53398,1275296,53504,82,
53496,86,53497,1272956,53626,71,
53597,69,53598,1281512,53768,89,
53698,89,53699,1278004,53809,92,
53798,92,53799,1278944,53921,90,
53905,91,53907,1276880,54047,95,
54005,92,54006,1279280,54123,94,
54106,94,54108,1274436,54211,56,
54206,58,54207,1274456,54323,90,
54307,88,54308,1279660,54434,95,
54427,95,54428,1284128,54558,87,
54549,87,54550,1280072,54644,91,
54629,90,54630,1277576,54767,94,
54735,97,54737,1276092,54839,77,
54830,76,54831,1275536,54964,67,
54930,68,54931,1283184,55074,93,
55067,92,55068,1285096,55237,90,
55221,91,55223,1277992,55356,97,
55338,95,55340,1279228,55392,90,
55382,88,55383,1278564,55495,71,
55482,70,55483,1277164,55671,72,
55637,72,55639,1287344,55809,96,
55733,95,55734,1279920,55835,100,
55822,100,55823,1277940,55898,85,
55889,88,55890,1277140,56010,93,
55991,92,55992,1278796,56149,95,
56141,96,56142,1277116,56275,73,
56267,72,56268,1281044,56327,100,
56309,100,56310,1279632,56440,92,
56413,92,56414,1284720,56536,91,
56514,92,56515,1278716,56664,94,
56621,93,56623,1279796,56743,100,
56721,100,56723,1280972,56836,97,
56822,97,56823,1278092,56982,80,
56928,76,56930,1282600,57092,97,
57029,97,57049,1281668,57149,100,
57132,100,57133,1288620,57260,95,
57238,95,57243,1282388,57417,100,
57335,100,57336,1280384,57462,92,
57437,92,57438,1278832,57544,78,
57534,78,57535,1279320,57676,65,
57637,68,57638,1287452,57793,92,
57743,92,57744,1285964,57855,97,
57844,100,57846,1285020,57959,89,
57945,87,57946,1281184,58054,90,
58046,89,58048,1282448,58157,94,
58148,95,58149,1279924,58254,81,
58248,81,58249,1272008,58385,97,
58350,97,58355,1274328,58517,98,
58484,98,58489,1276104,58565,100,
58554,100,58556,1273852,58662,90,
58654,90,58655,1273988,58786,91,
58767,91,58769,1276140,58885,89,
58872,89,58874,1273832,59029,66,
58978,69,58979,1274752,59181,97,
59091,97,59092,1275932,59197,95,
59190,97,59191,1275412,59311,88,
59293,87,59295,1275104,59445,95,
59401,93,59402,1277372,59499,100,
59461,100,59466,1274004,59560,88,
59554,91,59554,1272812,59679,70,
59654,69,59655,1280800,59806,94,
59799,95,59800,1281748,59867,75,
59859,77,59860,1278424,60004,87,
59962,87,59963,1275580,60100,98,
60069,97,60073,1275908,60180,94,
60167,95,60168,1273392,60331,74,
60280,65,60315,1278964,60502,97,
60398,97,60420,1279456,60512,97,
60504,97,60505,1278576,60610,88,
60586,86,60587,1276264,60695,95,
60688,95,60689,1277528,60808,100,
60791,100,60793,1275512,60896,72,
60890,72,60891,1274776,61093,95,
60991,95,60994,1277520,61113,100,
61098,100,61100,1282064,61214,79,
61201,80,61203,1276924,61351,93,
61308,93,61309,1277828,61381,100,
61365,100,61366,1277772,61470,81,
61460,85,61461,1275872,61621,50,
61560,51,61561,1275716,61675,97,
61666,95,61667,1276512,61790,100,
61761,100,61768,1277444,61923,88,
61914,88,61915,1276936,62048,100,
62017,100,62019,1279748,62138,86,
62120,87,62122,1277468,62176,60,
62170,63,62171,1275088,62300,72,
62288,70,62289,1284044,62439,94,
62389,95,62389,1282152,62498,89,
62489,90,62490,1280464,62627,95,
62598,95,62599,1279104,62730,95,
62699,97,62700,1280836,62805,90,
62798,89,62799,1276824,62957,48,
62899,48,62900,1276372,63111,98,
63008,95,63040,1282528,63133,100,
63113,100,63114,1287116,63244,80,
63217,71,63237,1279712,63374,88,
63307,92,63308,1278044,63449,96,
63427,96,63438,1277644,63537,67,
63527,72,63530,1277368,63655,73,
63627,71,63628,1287664,63801,95,
63728,95,63729,1284808,63846,88,
63829,89,63832,1282536,63975,92,
63931,92,63943,1279684,64045,100,
64033,100,64034,1281052,64147,90,
64135,89,64137,1278544,64283,78,
64252,80,64253,1286504,64435,87,
64347,85,64370,1286352,64467,100,
64446,100,64449,1283532,64558,91,
64545,92,64547,1279376,64688,87,
64651,88,64652,1281736,64767,92,
64756,92,64757,1280164,64865,70,
64857,72,64858,1283004,65043,92,
64958,92,64959,1283212,65082,97,
65070,100,65072,1282240,65193,75,
65162,72,65163,1281992,65249,96,
65218,94,65222,1280888,65342,96,
65312,97,65313,1284104,65422,86,
65413,88,65414,1281044,65577,87,
65527,85,65528,1275912,65724,95,
65637,95,65639,1276836,65750,95,
65738,95,65739,1276240,65855,93,
65838,94,65845,1273104,65963,93,
65941,90,65942,1276040,66081,97,
66047,97,66054,1273876,66212,73,
66148,76,66149,1271004,66330,92,
66252,92,66253,1274812,66391,100,
66380,100,66380,1275296,66439,72,
66429,73,66430,1273976,66548,87,
66534,86,66535,1275620,66655,97,
66639,97,66641,1274272,66743,88,
66735,87,66736,1271988,66874,67,
66847,69,66849,1279192,66975,97,
66967,97,66968,1279752,67087,100,
67068,100,67069,1279760,67299,96,
67206,96,67207,1275272,67335,97,
67301,100,67302,1276592,67397,100,
67367,96,67368,1275904,67472,75,
67467,77,67468,1275080,67689,93,
67568,90,67570,1276812,67713,100,
67693,100,67694,1279292,67811,85,
67796,84,67797,1276500,67905,97,
67898,97,67899,1278872,68010,94,
67998,94,67999,1277140,68106,61,
68099,62,68100,1276008,68217,78,
68199,78,68200,1283076,68383,89,
68317,89,68318,1280960,68430,95,
68417,95,68418,1279804,68541,92,
68519,92,68524,1277336,68644,97,
68624,97,68626,1278384,68732,97,
68722,97,68723,1277696,68872,80,
68839,80,68840,1278916,69021,93,
68959,91,68970,1281056,69047,95,
69040,96,69041,1278816,69157,94,
69140,94,69141,1277588,69266,95,
69248,95,69249,1279744,69369,95,
69349,94,69352,1275872,69458,58,
69449,59,69450,1275720,69643,88,
69558,86,69561,1278872,69673,97,
69657,97,69660,1279496,69768,95,
69758,94,69758,1279968,69922,87,
69860,87,69862,1278444,69971,97,
69961,97,69962,1278104,70073,75,
70061,77,70062,1277180,70175,91,
70165,88,70166,1279116,70289,100,
70277,100,70278,1287480,70403,88,
70387,88,70388,1279196,70462,82,
70438,75,70457,1280224,70575,100,
70538,100,70538,1280924,70652,95,
70640,95,70641,1277940,70800,72,
70739,60,70767,1284420,70953,100,
70867,97,70906,1282300,70969,100,
70961,100,70962,1279624,71076,86,
71049,87,71050,1280868,71210,91,
71152,87,71177,1280220,71264,91,
71254,94,71257,1280540,71363,82,
71356,82,71357,1279520,71482,88,
71470,89,71471,1281320,71592,98,
71584,97,71585,1286308,71694,82,
71687,84,71688,1283132,71788,86,
71742,82,71745,1281836,71857,100,
71843,100,71844,1284788,71953,90,
71944,89,71945,1279772,72080,70,
72049,73,72050,1284252,72165,89,
72157,88,72158,1275368,72294,100,
72262,100,72263,1275824,72376,90,
72358,90,72359,1276008,72493,92,
72463,92,72464,1274424,72600,97,
72567,97,72571,1273304,72679,70,
72665,73,72667,1273148,72793,95,
72765,92,72767,1275196,72928,100,
72870,100,72871,1282660,73038,100,
72972,100,72990,1275188,73084,91,
73071,97,73072,1275456,73221,95,
73192,95,73194,1276348,73288,86,
73273,86,73274,1275352,73380,58,
73373,59,73374,1275164,73514,79,
73474,70,73475,1279908,73662,95,
73625,96,73626,1282088,73735,89,
73727,90,73728,1276180,73859,93,
73834,93,73835,1278128,73909,95,
73888,95,73889,1279544,73996,96,
73988,97,73989,1275576,74147,70,
74107,67,74108,1280076,74300,95,
74211,95,74213,1279964,74316,100,
74309,100,74310,1279732,74428,87,
74409,87,74410,1278028,74548,92,
74512,92,74513,1278600,74632,95,
74614,95,74615,1276372,74783,88,
74718,83,74760,1279452,74914,90,
74837,93,74838,1280496,74945,95,
74934,94,74935,1280508,75091,90,
75034,90,75035,1279392,75194,98,
75160,98,75161,1278328,75217,95,
75210,95,75211,1276832,75316,77,
75310,80,75311,1276324,75444,75,
75416,70,75427,1282832,75575,93,
75529,93,75553,1285848,75663,100,
75615,100,75621,1279856,75748,90,
75727,91,75728,1279992,75843,100,
75822,100,75823,1279548,75929,82,
75921,82,75922,1278196,76065,72,
76027,73,76028,1282748,76182,96,
76139,95,76161,1284748,76286,96,
76239,97,76253,1282672,76358,86,
76342,87,76344,1278548,76470,95,
76440,94,76441,1281200,76550,92,
76542,92,76543,1278016,76648,49,
76642,51,76643,1278216,76763,78,
76750,82,76751,1282868,76864,100,
76857,100,76858,1286240,77001,81,
76958,84,76959,1279828,77140,100,
77061,97,77063,1280180,77199,98,
77171,97,77172,1280480,77287,91,
77274,92,77274,1281020,77426,100,
77380,100,77381,1291756,77454,95,
77432,100,77433,1281612,77567,100,
77538,97,77539,1289316,77663,87,
