App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 07:48:47 PM","7 min 5 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
0,4,0,1317384,109,30,
100,35,101,1317432,209,36,
201,45,202,1317564,307,23,
301,27,302,1317564,357,12,
351,15,352,1317564,458,8,
451,10,452,1317564,563,17,
555,19,556,1317464,666,17,
657,22,658,1317636,766,28,
756,29,757,1318224,865,39,
857,52,858,1316424,964,21,
957,27,958,1316324,1068,10,
1058,11,1060,1316084,1169,9,
1159,12,1160,1315928,1268,6,
1259,10,1260,1315928,1368,6,
1359,9,1360,1315928,1470,11,
1459,16,1461,1316176,1567,40,
1559,46,1560,1316796,1669,40,
1660,40,1661,1323252,1767,43,
1760,43,1761,1325796,1872,40,
1860,42,1861,1327100,1971,38,
1961,37,1962,1328700,2076,43,
2063,39,2064,1328684,2175,36,
2163,40,2164,1329404,2275,23,
2264,27,2264,1330060,2371,25,
2364,21,2365,1330308,2478,15,
2466,13,2468,1330656,2571,12,
2565,17,2567,1327356,2671,10,
2666,10,2667,1327732,2772,11,
2767,7,2768,1328104,2875,15,
2867,21,2869,1328476,2978,57,
2967,56,2968,1330164,3090,81,
3068,82,3071,1352760,3193,74,
3170,73,3172,1388720,3288,89,
3271,89,3273,1405664,3422,81,
3380,75,3382,1392208,3541,90,
3476,90,3485,1405568,3632,93,
3578,95,3583,1403376,3712,88,
3676,86,3681,1403332,3785,73,
3774,75,3775,1377320,3887,47,
3875,47,3876,1276684,3983,18,
3975,23,3976,1277064,4088,33,
4076,31,4078,1302816,4188,66,
4177,70,4178,1306020,4288,53,
4278,52,4279,1317136,4392,49,
4379,50,4381,1318940,4492,57,
4479,58,4480,1319808,4593,57,
4580,55,4581,1320012,4686,57,
4679,57,4680,1317148,4788,47,
4780,47,4781,1322200,4899,71,
4884,68,4891,1330996,4995,92,
4987,93,4988,1345868,5093,97,
5084,97,5085,1342196,5219,97,
5200,100,5201,1341008,5305,89,
5297,86,5298,1339860,5403,97,
5395,97,5397,1340512,5517,100,
5496,100,5498,1339292,5608,86,
5598,87,5600,1336548,5732,76,
5702,78,5703,1339236,5811,81,
5802,82,5804,1338996,5927,69,
5904,65,5906,1328548,6012,39,
6006,43,6007,1328436,6121,41,
6107,42,6108,1328348,6213,39,
6207,39,6208,1328472,6313,42,
6307,42,6308,1327120,6415,24,
6408,26,6409,1327132,6515,9,
6508,10,6509,1327504,6613,13,
6608,12,6609,1327744,6714,17,
6709,17,6709,1328100,6814,15,
6809,15,6810,1326696,6917,6,
6910,7,6911,1327156,7019,25,
7010,28,7010,1327264,7116,20,
7110,20,7111,1327560,7237,19,
7211,21,7212,1306380,7320,66,
7311,65,7312,1120724,7424,36,
7413,40,7414,1115740,7517,26,
7512,26,7512,1115740,7624,13,
7613,17,7614,1115904,7721,16,
7713,23,7714,1116028,7822,14,
7814,21,7814,1114052,7922,9,
7914,13,7915,1114588,8022,9,
8014,13,8015,1114960,8123,10,
8115,15,8116,1115392,8225,39,
8215,40,8217,1115716,8322,53,
8316,56,8317,1116576,8428,39,
8418,42,8420,1120160,8529,60,
8519,60,8520,1120656,8628,39,
8620,40,8623,1121024,8724,45,
8719,48,8720,1120112,8825,21,
8820,20,8821,1118112,8925,15,
8920,15,8921,1118112,9025,7,
9020,7,9021,1118224,9126,10,
9121,9,9122,1118068,9226,14,
9221,15,9222,1118316,9326,13,
9321,12,9322,1117412,9429,11,
9422,17,9423,1117736,9529,11,
