execute_time,in_depth,input_rows,input_cols,filter_rows,filter_cols,stride_rows,stride_cols,pad_rows,pad_cols,out_depth,out_rows,out_cols,
0.002449,480,14,14,1,1,1,1,0,0,16,14,14,
0.006128,16,14,14,5,5,1,1,2,2,48,14,14,
0.010641,480,14,14,1,1,1,1,0,0,96,14,14,
0.039956,96,14,14,3,3,1,1,1,1,204,14,14,
0.023994,480,14,14,1,1,1,1,0,0,192,14,14,
0.005059,508,4,4,1,1,1,1,0,0,128,4,4,
0.151573,3,224,224,7,7,2,2,2,2,64,112,112,
0.011223,64,56,56,1,1,1,1,0,0,64,56,56,
0.27813,64,56,56,3,3,1,1,1,1,192,56,56,
0.004943,192,28,28,1,1,1,1,0,0,16,28,28,
0.017462,16,28,28,5,5,1,1,2,2,32,28,28,
0.022347,192,28,28,1,1,1,1,0,0,96,28,28,
0.090046,96,28,28,3,3,1,1,1,1,128,28,28,
0.012752,192,28,28,1,1,1,1,0,0,64,28,28,
0.005477,192,28,28,1,1,1,1,0,0,32,28,28,
0.012379,256,28,28,1,1,1,1,0,0,64,28,28,
0.007011,256,28,28,1,1,1,1,0,0,32,28,28,
0.05798,32,28,28,5,5,1,1,2,2,96,28,28,
0.03013,256,28,28,1,1,1,1,0,0,128,28,28,
0.141698,128,28,28,3,3,1,1,1,1,192,28,28,
0.025787,256,28,28,1,1,1,1,0,0,128,28,28,
0.005708,480,14,14,1,1,1,1,0,0,64,14,14,
0.002704,480,14,14,1,1,1,1,0,0,16,14,14,
0.003552,16,14,14,5,5,1,1,2,2,48,14,14,
0.008758,480,14,14,1,1,1,1,0,0,96,14,14,
0.03663,96,14,14,3,3,1,1,1,1,204,14,14,
0.014946,480,14,14,1,1,1,1,0,0,192,14,14,
0.002347,508,4,4,1,1,1,1,0,0,128,4,4,
0.188872,3,224,224,7,7,2,2,2,2,64,112,112,
0.019482,64,56,56,1,1,1,1,0,0,64,56,56,
0.292847,64,56,56,3,3,1,1,1,1,192,56,56,
0.005292,192,28,28,1,1,1,1,0,0,16,28,28,
0.022923,16,28,28,5,5,1,1,2,2,32,28,28,
0.020092,192,28,28,1,1,1,1,0,0,96,28,28,
0.081972,96,28,28,3,3,1,1,1,1,128,28,28,
0.008771,192,28,28,1,1,1,1,0,0,64,28,28,
0.005905,192,28,28,1,1,1,1,0,0,32,28,28,
0.017225,256,28,28,1,1,1,1,0,0,64,28,28,
0.010033,256,28,28,1,1,1,1,0,0,32,28,28,
0.067939,32,28,28,5,5,1,1,2,2,96,28,28,
0.029492,256,28,28,1,1,1,1,0,0,128,28,28,
0.160619,128,28,28,3,3,1,1,1,1,192,28,28,
0.021776,256,28,28,1,1,1,1,0,0,128,28,28,
0.005957,480,14,14,1,1,1,1,0,0,64,14,14,
0.005787,480,14,14,1,1,1,1,0,0,16,14,14,
0.004654,16,14,14,5,5,1,1,2,2,48,14,14,
0.00932,480,14,14,1,1,1,1,0,0,96,14,14,
0.037608,96,14,14,3,3,1,1,1,1,204,14,14,
0.019714,480,14,14,1,1,1,1,0,0,192,14,14,
0.001875,508,4,4,1,1,1,1,0,0,128,4,4,
0.168116,3,224,224,7,7,2,2,2,2,64,112,112,
0.013519,64,56,56,1,1,1,1,0,0,64,56,56,
0.273073,64,56,56,3,3,1,1,1,1,192,56,56,
0.002823,192,28,28,1,1,1,1,0,0,16,28,28,
0.011647,16,28,28,5,5,1,1,2,2,32,28,28,
0.010782,192,28,28,1,1,1,1,0,0,96,28,28,
0.077283,96,28,28,3,3,1,1,1,1,128,28,28,
0.010929,192,28,28,1,1,1,1,0,0,64,28,28,
0.00511,192,28,28,1,1,1,1,0,0,32,28,28,
0.012597,256,28,28,1,1,1,1,0,0,64,28,28,
0.006846,256,28,28,1,1,1,1,0,0,32,28,28,
0.053891,32,28,28,5,5,1,1,2,2,96,28,28,
0.028696,256,28,28,1,1,1,1,0,0,128,28,28,
0.140687,128,28,28,3,3,1,1,1,1,192,28,28,
0.022402,256,28,28,1,1,1,1,0,0,128,28,28,
0.005925,480,14,14,1,1,1,1,0,0,64,14,14,
0.002385,480,14,14,1,1,1,1,0,0,16,14,14,
0.004481,16,14,14,5,5,1,1,2,2,48,14,14,
0.008671,480,14,14,1,1,1,1,0,0,96,14,14,
0.035364,96,14,14,3,3,1,1,1,1,204,14,14,
0.017143,480,14,14,1,1,1,1,0,0,192,14,14,
0.001793,508,4,4,1,1,1,1,0,0,128,4,4,
0.141532,3,224,224,7,7,2,2,2,2,64,112,112,
0.013484,64,56,56,1,1,1,1,0,0,64,56,56,
0.258439,64,56,56,3,3,1,1,1,1,192,56,56,
0.004433,192,28,28,1,1,1,1,0,0,16,28,28,
0.01744,16,28,28,5,5,1,1,2,2,32,28,28,
0.022669,192,28,28,1,1,1,1,0,0,96,28,28,
0.078255,96,28,28,3,3,1,1,1,1,128,28,28,
0.009941,192,28,28,1,1,1,1,0,0,64,28,28,
0.004946,192,28,28,1,1,1,1,0,0,32,28,28,
0.012863,256,28,28,1,1,1,1,0,0,64,28,28,
0.006052,256,28,28,1,1,1,1,0,0,32,28,28,
0.052088,32,28,28,5,5,1,1,2,2,96,28,28,
0.025057,256,28,28,1,1,1,1,0,0,128,28,28,
0.150988,128,28,28,3,3,1,1,1,1,192,28,28,
0.022639,256,28,28,1,1,1,1,0,0,128,28,28,
0.006569,480,14,14,1,1,1,1,0,0,64,14,14,
0.003445,480,14,14,1,1,1,1,0,0,16,14,14,
0.004484,16,14,14,5,5,1,1,2,2,48,14,14,
0.008753,480,14,14,1,1,1,1,0,0,96,14,14,
0.036283,96,14,14,3,3,1,1,1,1,204,14,14,
0.015733,480,14,14,1,1,1,1,0,0,192,14,14,
0.001615,508,4,4,1,1,1,1,0,0,128,4,4,
0.149868,3,224,224,7,7,2,2,2,2,64,112,112,
