execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.003977,1,1024,1024,1008,1,1008
0.029196,1,2048,2048,1024,1,1024
0.010866,1,1024,1024,1008,1,1008
0.023,1,2048,2048,1024,1,1024
0.008404,1,1024,1024,1008,1,1008
0.025893,1,2048,2048,1024,1,1024
0.003884,1,1024,1024,1008,1,1008
0.025759,1,2048,2048,1024,1,1024
0.004111,1,1024,1024,1008,1,1008
0.025518,1,2048,2048,1024,1,1024
0.005835,1,1024,1024,1008,1,1008
0.009168,1,2048,2048,1024,1,1024
0.00297,1,1024,1024,1008,1,1008
0.023566,1,2048,2048,1024,1,1024
0.008124,1,1024,1024,1008,1,1008
0.022431,1,2048,2048,1024,1,1024
0.005259,1,1024,1024,1008,1,1008
0.024305,1,2048,2048,1024,1,1024
0.008617,1,1024,1024,1008,1,1008
0.022874,1,2048,2048,1024,1,1024
0.00635,1,1024,1024,1008,1,1008
0.026815,1,2048,2048,1024,1,1024
0.004869,1,1024,1024,1008,1,1008
0.026911,1,2048,2048,1024,1,1024
0.008271,1,1024,1024,1008,1,1008
0.027719,1,2048,2048,1024,1,1024
0.007126,1,1024,1024,1008,1,1008
0.025065,1,2048,2048,1024,1,1024
0.004979,1,1024,1024,1008,1,1008
0.021053,1,2048,2048,1024,1,1024
0.006578,1,1024,1024,1008,1,1008
0.021166,1,2048,2048,1024,1,1024
0.003065,1,1024,1024,1008,1,1008
0.029357,1,2048,2048,1024,1,1024
0.011936,1,1024,1024,1008,1,1008
0.025186,1,2048,2048,1024,1,1024
0.009504,1,1024,1024,1008,1,1008
0.026612,1,2048,2048,1024,1,1024
0.008417,1,1024,1024,1008,1,1008
0.019934,1,2048,2048,1024,1,1024
0.011086,1,1024,1024,1008,1,1008
0.027279,1,2048,2048,1024,1,1024
0.003997,1,1024,1024,1008,1,1008
0.026911,1,2048,2048,1024,1,1024
0.005558,1,1024,1024,1008,1,1008
0.025809,1,2048,2048,1024,1,1024
0.003457,1,1024,1024,1008,1,1008
0.025142,1,2048,2048,1024,1,1024
0.008123,1,1024,1024,1008,1,1008
0.02225,1,2048,2048,1024,1,1024
0.011149,1,1024,1024,1008,1,1008
0.023104,1,2048,2048,1024,1,1024
0.004931,1,1024,1024,1008,1,1008
0.020543,1,2048,2048,1024,1,1024
0.010318,1,1024,1024,1008,1,1008
0.021946,1,2048,2048,1024,1,1024
0.003409,1,1024,1024,1008,1,1008
0.022569,1,2048,2048,1024,1,1024
0.004459,1,1024,1024,1008,1,1008
0.02365,1,2048,2048,1024,1,1024
0.007086,1,1024,1024,1008,1,1008
0.019627,1,2048,2048,1024,1,1024
0.006408,1,1024,1024,1008,1,1008
0.022185,1,2048,2048,1024,1,1024
0.005876,1,1024,1024,1008,1,1008
0.010477,1,2048,2048,1024,1,1024
0.003071,1,1024,1024,1008,1,1008
0.026278,1,2048,2048,1024,1,1024
0.013448,1,1024,1024,1008,1,1008
0.019659,1,2048,2048,1024,1,1024
0.004622,1,1024,1024,1008,1,1008
0.025854,1,2048,2048,1024,1,1024
0.006378,1,1024,1024,1008,1,1008
0.012534,1,2048,2048,1024,1,1024
0.00621,1,1024,1024,1008,1,1008
0.028009,1,2048,2048,1024,1,1024
0.00491,1,1024,1024,1008,1,1008
0.00987,1,2048,2048,1024,1,1024
0.003317,1,1024,1024,1008,1,1008
0.013117,1,2048,2048,1024,1,1024
0.00353,1,1024,1024,1008,1,1008
0.025026,1,2048,2048,1024,1,1024
0.003539,1,1024,1024,1008,1,1008
0.026967,1,2048,2048,1024,1,1024
0.003374,1,1024,1024,1008,1,1008
0.024058,1,2048,2048,1024,1,1024
0.004693,1,1024,1024,1008,1,1008
0.022765,1,2048,2048,1024,1,1024
0.014293,1,1024,1024,1008,1,1008
0.011699,1,2048,2048,1024,1,1024
0.003525,1,1024,1024,1008,1,1008
0.029312,1,2048,2048,1024,1,1024
0.012143,1,1024,1024,1008,1,1008
0.022046,1,2048,2048,1024,1,1024
0.013893,1,1024,1024,1008,1,1008
0.028162,1,2048,2048,1024,1,1024
0.005325,1,1024,1024,1008,1,1008
0.021082,1,2048,2048,1024,1,1024
0.002991,1,1024,1024,1008,1,1008
0.013868,1,2048,2048,1024,1,1024
0.002984,1,1024,1024,1008,1,1008
0.017577,1,2048,2048,1024,1,1024
0.003608,1,1024,1024,1008,1,1008
0.01342,1,2048,2048,1024,1,1024
0.006091,1,1024,1024,1008,1,1008
0.02476,1,2048,2048,1024,1,1024
0.011029,1,1024,1024,1008,1,1008
0.007181,1,2048,2048,1024,1,1024
0.002957,1,1024,1024,1008,1,1008
0.02462,1,2048,2048,1024,1,1024
0.013793,1,1024,1024,1008,1,1008
0.028112,1,2048,2048,1024,1,1024
0.013699,1,1024,1024,1008,1,1008
0.028381,1,2048,2048,1024,1,1024
0.009216,1,1024,1024,1008,1,1008
0.025567,1,2048,2048,1024,1,1024
0.016304,1,1024,1024,1008,1,1008
0.027391,1,2048,2048,1024,1,1024
0.008478,1,1024,1024,1008,1,1008
0.02314,1,2048,2048,1024,1,1024
0.009228,1,1024,1024,1008,1,1008
0.024099,1,2048,2048,1024,1,1024
0.013877,1,1024,1024,1008,1,1008
0.020064,1,2048,2048,1024,1,1024
0.006966,1,1024,1024,1008,1,1008
0.027768,1,2048,2048,1024,1,1024
