execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.019092,1,1024,1024,1008,1,1008
0.072959,1,2048,2048,1024,1,1024
0.013976,1,1024,1024,1008,1,1008
0.059374,1,2048,2048,1024,1,1024
0.020274,1,1024,1024,1008,1,1008
0.069551,1,2048,2048,1024,1,1024
0.018007,1,1024,1024,1008,1,1008
0.05235,1,2048,2048,1024,1,1024
0.023893,1,1024,1024,1008,1,1008
0.055584,1,2048,2048,1024,1,1024
0.018602,1,1024,1024,1008,1,1008
0.056002,1,2048,2048,1024,1,1024
0.018591,1,1024,1024,1008,1,1008
0.059295,1,2048,2048,1024,1,1024
0.017772,1,1024,1024,1008,1,1008
0.059743,1,2048,2048,1024,1,1024
0.016573,1,1024,1024,1008,1,1008
0.059904,1,2048,2048,1024,1,1024
0.013657,1,1024,1024,1008,1,1008
0.053645,1,2048,2048,1024,1,1024
0.014568,1,1024,1024,1008,1,1008
0.064878,1,2048,2048,1024,1,1024
0.014167,1,1024,1024,1008,1,1008
0.058756,1,2048,2048,1024,1,1024
0.017954,1,1024,1024,1008,1,1008
0.065592,1,2048,2048,1024,1,1024
0.018098,1,1024,1024,1008,1,1008
0.051156,1,2048,2048,1024,1,1024
0.016184,1,1024,1024,1008,1,1008
0.070103,1,2048,2048,1024,1,1024
0.01689,1,1024,1024,1008,1,1008
0.066977,1,2048,2048,1024,1,1024
0.015911,1,1024,1024,1008,1,1008
0.057561,1,2048,2048,1024,1,1024
0.022791,1,1024,1024,1008,1,1008
0.059785,1,2048,2048,1024,1,1024
0.021138,1,1024,1024,1008,1,1008
0.063472,1,2048,2048,1024,1,1024
0.019255,1,1024,1024,1008,1,1008
0.056485,1,2048,2048,1024,1,1024
0.013105,1,1024,1024,1008,1,1008
0.051082,1,2048,2048,1024,1,1024
0.015853,1,1024,1024,1008,1,1008
0.06392,1,2048,2048,1024,1,1024
0.018503,1,1024,1024,1008,1,1008
0.07508,1,2048,2048,1024,1,1024
0.012871,1,1024,1024,1008,1,1008
0.065775,1,2048,2048,1024,1,1024
