Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
10261,20,17799,1066000,17800,3371732,0,17818,10
10361,21,17899,1170000,17900,3371980,0,17918,11
10462,15,18000,858000,18001,3372228,0,18022,8
10562,17,18100,962000,18101,3372724,221.8181818184,18121,6
10664,20,18201,1378000,18203,3373468,965.8181818184,18223,13
10764,18,18302,858000,18303,3371248,0,18324,7
10864,24,18402,858000,18404,3371732,0,18424,10
10965,22,18503,858000,18504,3372228,0,18533,10
11066,23,18605,858000,18608,3372960,457.8181818184,18629,9
11167,19,18705,858000,18706,3373456,953.8181818184,18729,8
11267,22,18804,1170000,18806,3371236,0,18822,13
11371,16,18909,442000,18912,3371484,0,18937,7
11471,28,19009,442000,19012,3372244,0,19041,9
11568,29,19108,1170000,19109,3372988,485.8181818184,19126,12
11669,12,19207,1170000,19209,3373484,981.8181818184,19227,6
11719,16,19257,1170000,19258,3373484,981.8181818184,19278,9
11821,26,19360,442000,19362,3371760,0,19388,12
11920,38,19458,1378000,19459,3372244,0,19480,21
12020,44,19558,1586000,19559,3372976,473.8181818184,19576,26
12121,15,19658,1586000,19659,3373472,969.8181818184,19684,10
12222,21,19759,1066000,19761,3373720,1217.8181818184,19782,9
12322,20,19860,1170000,19861,3372392,0,19879,9
12424,16,19963,442000,19965,3372640,137.8181818184,19992,7
12523,20,20061,1170000,20062,3372888,385.8181818184,20079,9
12624,16,20162,1170000,20163,3373136,633.8181818184,20180,8
12724,20,20262,1170000,20263,3373384,881.8181818184,20280,11
12825,13,20362,1170000,20364,3373632,1129.8181818184,20382,8
12925,24,20462,1378000,20464,3372564,61.8181818184,20491,15
13026,20,20564,962000,20565,3372728,225.8181818184,20590,7
13126,17,20664,1066000,20665,3372728,225.8181818184,20688,7
13227,17,20765,962000,20766,3372976,473.8181818184,20789,8
13327,20,20865,962000,20866,3373224,721.8181818184,20886,7
13427,22,20965,1378000,20966,3372092,0,20982,12
13528,12,21065,1274000,21067,3372340,0,21083,8
13628,15,21166,1170000,21167,3372096,0,21185,8
13729,20,21267,858000,21268,3372344,0,21292,8
13829,22,21367,858000,21369,3373088,585.8181818184,21389,8
13930,21,21467,1378000,21468,3371760,0,21484,11
14030,14,21568,858000,21569,3372108,0,21594,7
14130,25,21668,1066000,21669,3372604,101.8181818184,21687,10
14231,14,21769,962000,21770,3372604,101.8181818184,21789,6
14331,18,21869,1170000,21870,3373100,597.8181818184,21890,9
14432,24,21969,1170000,21970,3371868,0,21988,11
14532,16,22070,962000,22071,3372116,0,22091,8
14633,16,22170,1170000,22172,3372116,0,22201,8
14734,20,22271,858000,22273,3372364,0,22293,8
14834,22,22372,962000,22373,3372364,0,22392,9
14937,17,22475,858000,22476,3372852,349.8181818184,22496,8
15036,30,22574,1378000,22576,3372016,0,22591,16
15137,17,22676,858000,22677,3371984,0,22697,10
15238,16,22776,858000,22777,3372232,0,22796,6
15339,21,22877,546000,22879,3372480,0,22905,6
15439,23,22977,858000,22979,3372728,225.8181818184,22998,8
15540,23,23078,858000,23079,3372236,0,23103,10
15640,16,23178,858000,23180,3372236,0,23199,6
15741,11,23279,858000,23280,3372484,0,23301,5
15841,12,23379,962000,23380,3372732,229.8181818184,23399,5
15942,13,23479,1066000,23481,3372732,229.8181818184,23499,7
16042,23,23579,1378000,23580,3372108,0,23596,13
16144,18,23683,858000,23685,3372108,0,23706,10
16243,24,23781,858000,23782,3372108,0,23802,9
16344,15,23881,962000,23883,3372356,0,23901,8
16446,19,23984,442000,23986,3372852,349.8181818184,24011,7
16545,31,24082,858000,24084,3372212,0,24104,10
16645,19,24183,1066000,24184,3372460,0,24201,7
16748,12,24287,442000,24289,3372708,205.8181818184,24324,5
16848,27,24387,442000,24389,3372956,453.8181818184,24413,8
16950,25,24488,754000,24490,3373452,949.8181818184,24512,11
17049,24,24587,1066000,24588,3371984,0,24606,12
17151,15,24689,442000,24692,3372480,0,24723,6
17252,22,24790,442000,24793,3372480,0,24821,6
17351,26,24889,858000,24890,3372728,225.8181818184,24911,8
17453,23,24991,546000,24992,3372976,473.8181818184,25024,9
17552,25,25090,858000,25091,3372632,129.8181818184,25117,10
17654,16,25192,442000,25201,3372632,129.8181818184,25227,7
17754,24,25292,546000,25294,3372632,129.8181818184,25320,6
17854,16,25393,754000,25394,3372880,377.8181818184,25417,9
17954,17,25492,962000,25494,3372880,377.8181818184,25515,7
18055,24,25592,1378000,25594,3372108,0,25611,15
18157,16,25695,442000,25697,3372356,0,25726,5
18259,27,25797,442000,25799,3372604,101.8181818184,25829,8
18357,21,25895,962000,25896,3373100,597.8181818184,25916,11
18460,15,25998,442000,26000,3373348,845.8181818184,26028,4
18559,24,26097,650000,26099,3372512,9.8181818184,26127,9
18659,17,26197,858000,26199,3372512,9.8181818184,26228,7
18762,16,26300,442000,26302,3372760,257.8181818184,26329,7
18862,21,26401,442000,26403,3373008,505.8181818184,26431,7
18963,20,26501,442000,26503,3372860,357.8181818184,26533,8
19062,29,26599,1170000,26601,3372460,0,26621,14
19164,16,26702,442000,26705,3372460,0,26736,8
19263,28,26801,858000,26802,3372708,205.8181818184,26831,11
19365,24,26904,442000,26910,3373560,1057.8181818184,26941,9
19467,26,27005,442000,27008,3373560,1057.8181818184,27038,9
19565,23,27103,1066000,27110,3373808,1305.8181818184,27168,13
19667,42,27204,1482000,27206,3373284,781.8181818184,27226,23
19766,18,27304,1586000,27304,3373284,781.8181818184,27328,12
19869,19,27407,442000,27409,3373532,1029.8181818184,27436,4
19968,21,27505,962000,27507,3373516,1013.8181818184,27527,9
20068,16,27606,1170000,27607,3373812,1309.8181818184,27626,9
20169,19,27707,1274000,27708,3373024,521.8181818184,27731,11
20269,21,27807,1066000,27808,3373024,521.8181818184,27828,9
20371,22,27909,442000,27911,3373272,769.8181818184,27941,9
20470,20,28008,962000,28009,3373768,1265.8181818184,28033,8
20571,19,28109,858000,28110,3374016,1513.8181818184,28136,7
20673,18,28211,442000,28214,3374016,1513.8181818184,28244,7
20772,27,28309,1170000,28311,3373180,677.8181818184,28341,11
20872,16,28410,858000,28412,3373180,677.8181818184,28434,6
20974,18,28513,442000,28515,3373100,597.8181818184,28547,8
21074,25,28611,858000,28613,3373472,969.8181818184,28642,8
21175,18,28714,546000,28716,3373720,1217.8181818184,28748,7
21275,33,28813,1170000,28816,3372932,429.8181818184,28843,13
21377,20,28916,442000,28918,3372932,429.8181818184,28947,8
21476,17,29015,442000,29017,3372932,429.8181818184,29045,7
21577,20,29115,442000,29117,3373428,925.8181818184,29144,7
21679,22,29217,442000,29219,3373428,925.8181818184,29250,8
21777,28,29315,1170000,29316,3372856,353.8181818184,29340,12
21879,22,29417,754000,29418,3373104,601.8181818184,29443,7
21980,18,29519,442000,29521,3373352,849.8181818184,29550,6
22079,17,29617,962000,29618,3373472,969.8181818184,29638,7
22180,14,29718,962000,29719,3373968,1465.8181818184,29740,6
22281,16,29818,1378000,29819,3373476,973.8181818184,29836,9
22381,16,29919,1274000,29920,3373724,1221.8181818184,29937,10
22483,10,30021,858000,30022,3373724,1221.8181818184,30043,5
22585,15,30123,442000,30126,3373972,1469.8181818184,30153,6
22685,19,30222,962000,30224,3373972,1469.8181818184,30243,8
22785,20,30324,442000,30326,3372788,285.8181818184,30350,11
22887,20,30425,442000,30427,3373036,533.8181818184,30454,7
22988,21,30526,962000,30527,3373348,845.8181818184,30544,8
23087,87,30624,754000,30625,3373472,969.8181818184,30634,10
23188,30,30726,1066000,30726,3375368,2865.8181818184,30737,13
23289,33,30826,1170000,30827,3374688,2185.8181818184,30836,19
23389,20,30927,1066000,30927,3374936,2433.8181818184,30936,10
23493,0,31031,1066000,31033,3374564,2061.8181818184,31052,11
23590,22,31128,1274000,31129,3374784,2281.8181818184,31146,10
23692,20,31229,1170000,31231,3375776,3273.8181818184,31255,11
23792,31,31330,1066000,31331,3375384,2881.8181818184,31349,15
23894,15,31432,546000,31434,3375508,3005.8181818184,31459,8
23994,22,31532,858000,31533,3375876,3373.8181818184,31556,6
24094,87,31631,754000,31632,3375972,3469.8181818184,31642,8
24193,26,31730,1066000,31731,3379008,6505.8181818184,31737,17
24293,39,31831,1170000,31831,3381984,9481.8181818184,31836,32
24394,32,31931,1066000,31932,3407780,35277.8181818184,31938,26
24494,27,32031,1066000,32032,3510700,138197.818181818,32038,22
24594,30,32132,1066000,32132,3587464,214961.818181818,32138,24
24695,41,32232,1170000,32232,3581512,209009.818181818,32238,32
24795,0,32332,754000,32333,3583520,211017.818181818,32336,14
24896,87,32433,962000,32434,3586572,214069.818181818,32438,17
24996,0,32533,754000,32534,3579052,206549.818181818,32537,8
25098,27,32636,962000,32637,3583900,211397.818181818,32645,13
25198,87,32736,1378000,32738,3584868,212365.818181818,32767,63
25298,71,32836,1586000,32837,3584684,212181.818181818,32854,68
25400,0,32937,1586000,32938,3584520,212017.818181818,32952,32
25500,87,33037,1586000,33040,3577020,204517.818181818,33058,52
25600,50,33138,1586000,33139,3572856,200353.818181818,33156,51
25700,0,33238,1586000,33239,3576180,203677.818181818,33253,35
25801,87,33339,1170000,33340,3575448,202945.818181818,33360,53
25902,0,33439,1274000,33440,3495684,123181.818181818,33468,30
26004,87,33541,1586000,33542,3505588,133085.818181818,33560,61
26104,56,33641,1586000,33642,3506668,134165.818181818,33661,59
26204,0,33742,1586000,33744,3505752,133249.818181818,33761,26
26304,87,33842,1586000,33843,3504196,131693.818181818,33862,52
26405,54,33943,1586000,33944,3504424,131921.818181818,33963,57
26505,0,34043,1586000,34044,3504672,132169.818181818,34058,24
26606,55,34144,1482000,34145,3505112,132609.818181818,34161,30
26707,67,34246,1586000,34247,3505608,133105.818181818,34269,34
26809,56,34347,1586000,34348,3501644,129141.818181818,34363,31
26908,55,34446,1586000,34447,3503036,130533.818181818,34466,29
27010,47,34549,1586000,34550,3504508,132005.818181818,34566,31
27109,87,34647,1586000,34648,3505160,132657.818181818,34667,41
27213,0,34751,1586000,34752,3503660,131157.818181818,34767,36
27310,87,34848,1586000,34849,3505176,132673.818181818,34865,25
27411,0,34948,1274000,34950,3505920,133417.818181818,34967,35
27511,54,35049,1586000,35050,3505036,132533.818181818,35066,37
27611,87,35149,1586000,35150,3505308,132805.818181818,35167,35
27712,0,35250,1586000,35252,3506012,133509.818181818,35271,41
27813,87,35351,1482000,35352,3504624,132121.818181818,35370,59
27913,0,35451,1586000,35452,3506640,134137.818181818,35465,25
28016,54,35554,754000,35555,3506880,134377.818181818,35577,29
28115,87,35652,1586000,35653,3507376,134873.818181818,35675,32
28215,0,35753,1586000,35754,3505724,133221.818181818,35772,35
28315,43,35853,1586000,35854,3505472,132969.818181818,35868,26
28416,49,35954,1586000,35955,3505504,133001.818181818,35970,30
28518,68,36055,1586000,36056,3506100,133597.818181818,36072,38
28619,52,36156,1586000,36157,3505068,132565.818181818,36174,30
28718,63,36256,1586000,36257,3506120,133617.818181818,36272,35
28819,36,36357,1586000,36358,3503756,131253.818181818,36372,24
28920,52,36458,1586000,36459,3504132,131629.818181818,36487,30
29020,68,36557,1586000,36557,3504808,132305.818181818,36563,43
29121,54,36658,1586000,36659,3505924,133421.818181818,36679,29
29222,66,36760,1586000,36761,3508404,135901.818181818,36778,38
29271,37,36809,1586000,36810,3506432,133929.818181818,36825,25
29372,51,36909,1586000,36911,3506140,133637.818181818,36928,31
29472,72,37010,1586000,37011,3506388,133885.818181818,37027,42
29624,55,37161,1586000,37170,3507136,134633.818181818,37194,35
29673,87,37210,1586000,37210,3508532,136029.818181818,37226,40
29774,0,37311,1586000,37312,3515008,142505.818181818,37318,35
29874,81,37412,1586000,37414,3513224,140721.818181818,37436,49
29974,67,37512,1586000,37513,3500848,128345.818181818,37528,39
30075,59,37612,1170000,37614,3499256,126753.818181818,37635,33
30177,65,37715,546000,37717,3500992,128489.818181818,37743,31
30276,53,37813,1482000,37814,3499516,127013.818181818,37829,30
30376,48,37913,1586000,37915,3492324,119821.818181818,37935,27
30477,87,38014,1586000,38016,3498456,125953.818181818,38034,41
30577,0,38115,1586000,38117,3498904,126401.818181818,38134,36
30677,60,38215,1586000,38217,3498812,126309.818181818,38232,35
30779,48,38316,1586000,38317,3500548,128045.818181818,38333,29
30878,60,38416,1586000,38417,3503524,131021.818181818,38435,34
30979,56,38517,1586000,38518,3505248,132745.818181818,38531,33
31079,50,38617,1586000,38618,3505868,133365.818181818,38631,27
31180,57,38718,1586000,38719,3508348,135845.818181818,38733,31
31280,40,38818,1586000,38819,3506872,134369.818181818,38833,27
31381,59,38919,1586000,38920,3496072,123569.818181818,38936,32
31481,56,39018,1586000,39019,3499792,127289.818181818,39037,33
31581,62,39119,1586000,39120,3500340,127837.818181818,39135,37
31681,46,39219,1586000,39220,3501088,128585.818181818,39235,25
31782,45,39320,1586000,39321,3502880,130377.818181818,39337,27
31882,68,39420,1586000,39421,3496940,124437.818181818,39441,41
31983,50,39520,1586000,39522,3498800,126297.818181818,39536,27
32083,60,39621,1586000,39622,3499668,127165.818181818,39638,33
32185,53,39722,1586000,39724,3500912,128409.818181818,39738,34
32284,40,39821,1586000,39822,3499204,126701.818181818,39839,26
32386,65,39924,1586000,39925,3504784,132281.818181818,39940,40
32487,58,40024,1586000,40025,3504320,131817.818181818,40041,34
32587,58,40124,1586000,40126,3504668,132165.818181818,40139,35
32687,65,40225,1274000,40226,3505596,133093.818181818,40241,31
32788,35,40325,1586000,40326,3504020,131517.818181818,40341,22
32888,55,40425,1586000,40426,3504120,131617.818181818,40440,31
32988,62,40526,1586000,40527,3495488,122985.818181818,40543,34
33089,51,40626,1586000,40627,3496264,123761.818181818,40644,28
33189,64,40727,1586000,40728,3496916,124413.818181818,40744,38
33290,43,40827,1586000,40828,3495952,123449.818181818,40844,26
33390,62,40928,1586000,40930,3502056,129553.818181818,40947,37
33490,57,41028,1586000,41029,3503048,130545.818181818,41043,34
33592,60,41129,1586000,41130,3503748,131245.818181818,41145,33
33692,52,41229,1586000,41230,3494636,122133.818181818,41245,30
33792,36,41330,1586000,41331,3493704,121201.818181818,41346,25
33893,62,41431,1586000,41432,3504656,132153.818181818,41451,36
33994,66,41531,1586000,41532,3505028,132525.818181818,41548,40
34094,60,41632,1586000,41633,3505392,132889.818181818,41649,34
34194,61,41732,1586000,41733,3506732,134229.818181818,41749,35
34298,53,41835,1586000,41837,3505504,133001.818181818,41853,34
34398,75,41935,1586000,41936,3505752,133249.818181818,41951,47
34498,47,42036,1586000,42037,3506744,134241.818181818,42055,25
34599,57,42137,858000,42139,3506984,134481.818181818,42161,29
34699,44,42237,1274000,42238,3506992,134489.818181818,42255,25
34799,60,42337,1586000,42339,3503244,130741.818181818,42355,34
34900,67,42437,1586000,42438,3502152,129649.818181818,42453,36
