Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
10062,26,16590,1378000,16592,3360440,0,16705,23
10159,30,16686,1586000,16688,3359376,0,16807,25
10259,33,16787,1586000,16789,3359908,0,16908,35
10360,50,16888,1586000,16890,3361272,0,17005,31
10461,43,16988,1586000,16989,3361768,0,17113,24
10561,31,17089,1586000,17091,3363504,120.6728971964,17208,26
10662,35,17190,1586000,17191,3362124,0,17309,13
10762,20,17290,1378000,17291,3362124,0,17415,7
10864,19,17391,754000,17393,3362620,0,17515,8
10964,20,17492,858000,17493,3363116,0,17613,7
11064,19,17592,1066000,17593,3363380,0,17712,13
11164,24,17692,1066000,17694,3362100,0,17820,13
11266,25,17794,1274000,17795,3362140,0,17909,30
11365,50,17893,1586000,17894,3361412,0,18020,9
11466,16,17994,858000,17995,3361660,0,18118,9
11567,18,18095,754000,18097,3362652,0,18225,9
11669,23,18197,442000,18200,3361224,0,18315,10
11768,24,18295,1170000,18297,3361720,0,18424,6
11870,15,18398,546000,18401,3361968,0,18517,17
11969,31,18497,1586000,18499,3364796,1412.6728971964,18626,22
12070,31,18597,1586000,18600,3364984,1600.6728971964,18717,30
12170,43,18698,1586000,18699,3363260,0,18817,25
12271,33,18799,1586000,18800,3361528,0,18918,17
12371,24,18899,1586000,18900,3362272,0,19022,22
12472,30,19000,1586000,19001,3362512,0,19119,15
12573,21,19100,1586000,19101,3362760,0,19235,7
12676,13,19210,442000,19212,3361776,0,19324,7
12774,22,19302,858000,19304,3361728,0,19428,6
12875,16,19403,858000,19404,3361976,0,19534,7
12978,15,19507,546000,19509,3362472,0,19639,8
13076,22,19604,858000,19606,3362720,0,19740,11
13179,24,19707,442000,19710,3362788,0,19829,8
13277,22,19805,858000,19807,3363116,0,19941,6
13380,16,19908,442000,19911,3363364,0,20034,9
13480,24,20008,858000,20010,3363860,476.6728971964,20142,6
13581,18,20109,442000,20112,3364356,972.6728971964,20248,9
13682,23,20210,442000,20213,3364860,1476.6728971964,20333,22
13781,37,20308,1586000,20310,3362888,0,20431,26
13881,34,20409,1586000,20410,3363384,0.6728971964,20542,29
13983,38,20510,1586000,20515,3363632,248.6728971964,20621,20
14082,30,20610,1586000,20611,3363436,52.6728971964,20743,24
14184,32,20712,1586000,20716,3362492,0,20833,23
14285,32,20812,1586000,20814,3362744,0,20930,10
14384,13,20912,1586000,20913,3362992,0,21045,10
14487,13,21016,442000,21018,3363240,0,21145,6
14586,17,21114,858000,21116,3363240,0,21264,7
14688,17,21216,442000,21219,3363488,104.6728971964,21284,16
14739,43,21267,1170000,21268,3362552,0,21386,10
14837,18,21365,1170000,21367,3362552,0,21489,14
14937,24,21465,1378000,21466,3362860,0,21588,6
15038,17,21566,858000,21568,3363108,0,21689,5
15139,14,21667,858000,21668,3363060,0,21792,11
15240,26,21769,1066000,21770,3363680,296.6728971964,21885,11
15340,17,21867,1274000,21869,3361984,0,21989,9
15440,19,21968,1066000,21969,3363240,0,22087,20
15541,32,22069,1586000,22070,3361764,0,22188,20
15641,28,22169,1586000,22170,3362012,0,22288,24
15742,33,22270,1586000,22271,3361520,0,22392,18
15842,24,22370,1586000,22371,3361224,0,22489,28
15943,38,22471,1586000,22472,3362460,0,22587,21
16043,31,22571,1586000,22572,3362868,0,22690,8
16144,15,22672,1170000,22673,3363116,0,22802,9
16245,20,22773,1170000,22777,3363488,104.6728971964,22894,8
16346,19,22874,858000,22875,3362824,0,22999,7
16447,18,22975,650000,22977,3363320,0,23096,7
16547,20,23075,858000,23077,3363568,184.6728971964,23195,12
16648,27,23175,1066000,23177,3364436,1052.6728971964,23297,6
16748,12,23276,962000,23277,3364932,1548.6728971964,23397,9
16849,18,23377,962000,23378,3363600,216.6728971964,23499,7
16949,21,23477,858000,23479,3363600,216.6728971964,23599,7
17050,16,23578,962000,23579,3364096,712.6728971964,23711,6
17152,22,23680,546000,23682,3364856,1472.6728971964,23800,19
17250,34,23778,1378000,23780,3364032,648.6728971964,23912,26
17351,35,23879,1586000,23880,3364280,896.6728971964,24003,26
17452,37,23979,1586000,23984,3363048,0,24096,24
17552,31,24080,1586000,24081,3361816,0,24200,17
17654,29,24181,1378000,24183,3362304,0,24302,24
17754,31,24281,1586000,24283,3362800,0,24400,12
17854,16,24382,1586000,24383,3363048,0,24501,9
17955,14,24483,1274000,24484,3361816,0,24606,8
18056,15,24583,858000,24585,3362064,0,24714,7
18157,16,24685,546000,24687,3362668,0,24804,8
18257,22,24784,1066000,24786,3363040,0,24918,10
18362,20,24892,858000,24894,3363784,400.6728971964,25019,11
18461,24,24988,1274000,24990,3365768,2384.6728971964,25108,9
18561,17,25089,1170000,25091,3364684,1300.6728971964,25219,8
18663,16,25191,546000,25193,3364684,1300.6728971964,25312,6
18763,14,25291,858000,25293,3364932,1548.6728971964,25414,5
18863,14,25391,858000,25393,3365396,2012.6728971964,25516,10
