execute_time,in_depth,input_rows,input_cols,filter_rows,filter_cols,stride_rows,stride_cols,pad_rows,pad_cols,out_depth,out_rows,out_cols,
0.003624,480,14,14,1,1,1,1,0,0,16,14,14,
0.003494,16,14,14,5,5,1,1,2,2,48,14,14,
0.006428,480,14,14,1,1,1,1,0,0,96,14,14,
0.007429,96,14,14,3,3,1,1,1,1,204,14,14,
0.004875,480,14,14,1,1,1,1,0,0,192,14,14,
0.003217,508,4,4,1,1,1,1,0,0,128,4,4,
0.024035,3,224,224,7,7,2,2,2,2,64,112,112,
0.009698,64,56,56,1,1,1,1,0,0,64,56,56,
0.028002,64,56,56,3,3,1,1,1,1,192,56,56,
0.008967,192,28,28,1,1,1,1,0,0,16,28,28,
0.003518,16,28,28,5,5,1,1,2,2,32,28,28,
0.004709,192,28,28,1,1,1,1,0,0,96,28,28,
0.013902,96,28,28,3,3,1,1,1,1,128,28,28,
0.008019,192,28,28,1,1,1,1,0,0,64,28,28,
0.004474,192,28,28,1,1,1,1,0,0,32,28,28,
0.007451,256,28,28,1,1,1,1,0,0,64,28,28,
0.004463,256,28,28,1,1,1,1,0,0,32,28,28,
0.011535,32,28,28,5,5,1,1,2,2,96,28,28,
0.00872,256,28,28,1,1,1,1,0,0,128,28,28,
0.020326,128,28,28,3,3,1,1,1,1,192,28,28,
0.013195,256,28,28,1,1,1,1,0,0,128,28,28,
0.004122,480,14,14,1,1,1,1,0,0,64,14,14,
0.003697,480,14,14,1,1,1,1,0,0,16,14,14,
0.00309,16,14,14,5,5,1,1,2,2,48,14,14,
0.004274,480,14,14,1,1,1,1,0,0,96,14,14,
0.011891,96,14,14,3,3,1,1,1,1,204,14,14,
0.004655,480,14,14,1,1,1,1,0,0,192,14,14,
0.005874,508,4,4,1,1,1,1,0,0,128,4,4,
0.027067,3,224,224,7,7,2,2,2,2,64,112,112,
0.00992,64,56,56,1,1,1,1,0,0,64,56,56,
0.028977,64,56,56,3,3,1,1,1,1,192,56,56,
0.007574,192,28,28,1,1,1,1,0,0,16,28,28,
0.008386,16,28,28,5,5,1,1,2,2,32,28,28,
0.004733,192,28,28,1,1,1,1,0,0,96,28,28,
0.013601,96,28,28,3,3,1,1,1,1,128,28,28,
0.006293,192,28,28,1,1,1,1,0,0,64,28,28,
0.007159,192,28,28,1,1,1,1,0,0,32,28,28,
0.007482,256,28,28,1,1,1,1,0,0,64,28,28,
0.004401,256,28,28,1,1,1,1,0,0,32,28,28,
0.007959,32,28,28,5,5,1,1,2,2,96,28,28,
0.009248,256,28,28,1,1,1,1,0,0,128,28,28,
0.021107,128,28,28,3,3,1,1,1,1,192,28,28,
0.007083,256,28,28,1,1,1,1,0,0,128,28,28,
0.004788,480,14,14,1,1,1,1,0,0,64,14,14,
0.003471,480,14,14,1,1,1,1,0,0,16,14,14,
0.006619,16,14,14,5,5,1,1,2,2,48,14,14,
0.005086,480,14,14,1,1,1,1,0,0,96,14,14,
0.006666,96,14,14,3,3,1,1,1,1,204,14,14,
0.008263,480,14,14,1,1,1,1,0,0,192,14,14,
0.003748,508,4,4,1,1,1,1,0,0,128,4,4,
0.02607,3,224,224,7,7,2,2,2,2,64,112,112,
0.00652,64,56,56,1,1,1,1,0,0,64,56,56,
0.029466,64,56,56,3,3,1,1,1,1,192,56,56,
0.005503,192,28,28,1,1,1,1,0,0,16,28,28,
0.005873,16,28,28,5,5,1,1,2,2,32,28,28,
0.00593,192,28,28,1,1,1,1,0,0,96,28,28,
0.011409,96,28,28,3,3,1,1,1,1,128,28,28,
0.005224,192,28,28,1,1,1,1,0,0,64,28,28,
0.007552,192,28,28,1,1,1,1,0,0,32,28,28,
0.004871,256,28,28,1,1,1,1,0,0,64,28,28,
0.004885,256,28,28,1,1,1,1,0,0,32,28,28,
0.008589,32,28,28,5,5,1,1,2,2,96,28,28,
0.00878,256,28,28,1,1,1,1,0,0,128,28,28,
0.021216,128,28,28,3,3,1,1,1,1,192,28,28,
0.00992,256,28,28,1,1,1,1,0,0,128,28,28,
0.009061,480,14,14,1,1,1,1,0,0,64,14,14,
0.003753,480,14,14,1,1,1,1,0,0,16,14,14,
0.003981,16,14,14,5,5,1,1,2,2,48,14,14,
0.003793,480,14,14,1,1,1,1,0,0,96,14,14,
0.011312,96,14,14,3,3,1,1,1,1,204,14,14,
0.0048,480,14,14,1,1,1,1,0,0,192,14,14,
0.003749,508,4,4,1,1,1,1,0,0,128,4,4,
0.022479,3,224,224,7,7,2,2,2,2,64,112,112,
0.006022,64,56,56,1,1,1,1,0,0,64,56,56,
0.030779,64,56,56,3,3,1,1,1,1,192,56,56,
0.00409,192,28,28,1,1,1,1,0,0,16,28,28,
0.00712,16,28,28,5,5,1,1,2,2,32,28,28,
0.00508,192,28,28,1,1,1,1,0,0,96,28,28,
0.013061,96,28,28,3,3,1,1,1,1,128,28,28,
0.006415,192,28,28,1,1,1,1,0,0,64,28,28,
0.003875,192,28,28,1,1,1,1,0,0,32,28,28,
0.008383,256,28,28,1,1,1,1,0,0,64,28,28,
0.004564,256,28,28,1,1,1,1,0,0,32,28,28,
0.011846,32,28,28,5,5,1,1,2,2,96,28,28,
0.00573,256,28,28,1,1,1,1,0,0,128,28,28,
0.020474,128,28,28,3,3,1,1,1,1,192,28,28,
0.00635,256,28,28,1,1,1,1,0,0,128,28,28,
0.007334,480,14,14,1,1,1,1,0,0,64,14,14,
0.003179,480,14,14,1,1,1,1,0,0,16,14,14,
0.002794,16,14,14,5,5,1,1,2,2,48,14,14,
0.004376,480,14,14,1,1,1,1,0,0,96,14,14,
0.007214,96,14,14,3,3,1,1,1,1,204,14,14,
0.005715,480,14,14,1,1,1,1,0,0,192,14,14,
0.004647,508,4,4,1,1,1,1,0,0,128,4,4,
0.023831,3,224,224,7,7,2,2,2,2,64,112,112,
0.007187,64,56,56,1,1,1,1,0,0,64,56,56,
0.030036,64,56,56,3,3,1,1,1,1,192,56,56,
0.006496,192,28,28,1,1,1,1,0,0,16,28,28,
0.006205,16,28,28,5,5,1,1,2,2,32,28,28,
0.008941,192,28,28,1,1,1,1,0,0,96,28,28,
0.009712,96,28,28,3,3,1,1,1,1,128,28,28,
0.009574,192,28,28,1,1,1,1,0,0,64,28,28,
0.007884,192,28,28,1,1,1,1,0,0,32,28,28,
0.004147,256,28,28,1,1,1,1,0,0,64,28,28,
0.00437,256,28,28,1,1,1,1,0,0,32,28,28,
0.007425,32,28,28,5,5,1,1,2,2,96,28,28,
0.011079,256,28,28,1,1,1,1,0,0,128,28,28,
0.020064,128,28,28,3,3,1,1,1,1,192,28,28,
0.009002,256,28,28,1,1,1,1,0,0,128,28,28,
0.003363,480,14,14,1,1,1,1,0,0,64,14,14,
0.008452,480,14,14,1,1,1,1,0,0,16,14,14,
0.00332,16,14,14,5,5,1,1,2,2,48,14,14,
0.004205,480,14,14,1,1,1,1,0,0,96,14,14,
0.008289,96,14,14,3,3,1,1,1,1,204,14,14,
0.007216,480,14,14,1,1,1,1,0,0,192,14,14,
0.00366,508,4,4,1,1,1,1,0,0,128,4,4,
0.037253,3,224,224,7,7,2,2,2,2,64,112,112,
0.011643,64,56,56,1,1,1,1,0,0,64,56,56,
0.035993,64,56,56,3,3,1,1,1,1,192,56,56,
0.006083,192,28,28,1,1,1,1,0,0,16,28,28,
0.004411,16,28,28,5,5,1,1,2,2,32,28,28,
0.006678,192,28,28,1,1,1,1,0,0,96,28,28,
0.012727,96,28,28,3,3,1,1,1,1,128,28,28,
0.009642,192,28,28,1,1,1,1,0,0,64,28,28,
0.005275,192,28,28,1,1,1,1,0,0,32,28,28,
0.007875,256,28,28,1,1,1,1,0,0,64,28,28,
0.00411,256,28,28,1,1,1,1,0,0,32,28,28,
0.011785,32,28,28,5,5,1,1,2,2,96,28,28,
0.01132,256,28,28,1,1,1,1,0,0,128,28,28,
0.02284,128,28,28,3,3,1,1,1,1,192,28,28,
0.014707,256,28,28,1,1,1,1,0,0,128,28,28,
0.006204,480,14,14,1,1,1,1,0,0,64,14,14,
0.007441,480,14,14,1,1,1,1,0,0,16,14,14,
0.003781,16,14,14,5,5,1,1,2,2,48,14,14,
0.009316,480,14,14,1,1,1,1,0,0,96,14,14,
0.008796,96,14,14,3,3,1,1,1,1,204,14,14,
0.010997,480,14,14,1,1,1,1,0,0,192,14,14,
0.004021,508,4,4,1,1,1,1,0,0,128,4,4,
0.035653,3,224,224,7,7,2,2,2,2,64,112,112,
0.009497,64,56,56,1,1,1,1,0,0,64,56,56,
0.026987,64,56,56,3,3,1,1,1,1,192,56,56,
0.008997,192,28,28,1,1,1,1,0,0,16,28,28,
0.010633,16,28,28,5,5,1,1,2,2,32,28,28,
0.005213,192,28,28,1,1,1,1,0,0,96,28,28,
0.013844,96,28,28,3,3,1,1,1,1,128,28,28,
0.005352,192,28,28,1,1,1,1,0,0,64,28,28,
0.006968,192,28,28,1,1,1,1,0,0,32,28,28,
0.005039,256,28,28,1,1,1,1,0,0,64,28,28,
0.00908,256,28,28,1,1,1,1,0,0,32,28,28,
0.006088,32,28,28,5,5,1,1,2,2,96,28,28,
0.010195,256,28,28,1,1,1,1,0,0,128,28,28,
0.0202,128,28,28,3,3,1,1,1,1,192,28,28,
0.010166,256,28,28,1,1,1,1,0,0,128,28,28,
0.004725,480,14,14,1,1,1,1,0,0,64,14,14,
0.004931,480,14,14,1,1,1,1,0,0,16,14,14,
0.003309,16,14,14,5,5,1,1,2,2,48,14,14,
0.008787,480,14,14,1,1,1,1,0,0,96,14,14,
0.005321,96,14,14,3,3,1,1,1,1,204,14,14,
0.012219,480,14,14,1,1,1,1,0,0,192,14,14,
0.003999,508,4,4,1,1,1,1,0,0,128,4,4,
0.029703,3,224,224,7,7,2,2,2,2,64,112,112,
0.007886,64,56,56,1,1,1,1,0,0,64,56,56,
0.027412,64,56,56,3,3,1,1,1,1,192,56,56,
0.005926,192,28,28,1,1,1,1,0,0,16,28,28,
0.004502,16,28,28,5,5,1,1,2,2,32,28,28,
0.008833,192,28,28,1,1,1,1,0,0,96,28,28,
0.012692,96,28,28,3,3,1,1,1,1,128,28,28,
0.009593,192,28,28,1,1,1,1,0,0,64,28,28,
0.003814,192,28,28,1,1,1,1,0,0,32,28,28,
0.004835,256,28,28,1,1,1,1,0,0,64,28,28,
0.007684,256,28,28,1,1,1,1,0,0,32,28,28,
0.008606,32,28,28,5,5,1,1,2,2,96,28,28,
0.008032,256,28,28,1,1,1,1,0,0,128,28,28,
0.018907,128,28,28,3,3,1,1,1,1,192,28,28,
0.01288,256,28,28,1,1,1,1,0,0,128,28,28,
0.004854,480,14,14,1,1,1,1,0,0,64,14,14,
0.004917,480,14,14,1,1,1,1,0,0,16,14,14,
0.010847,16,14,14,5,5,1,1,2,2,48,14,14,
0.004456,480,14,14,1,1,1,1,0,0,96,14,14,
0.005756,96,14,14,3,3,1,1,1,1,204,14,14,
0.007869,480,14,14,1,1,1,1,0,0,192,14,14,
0.00501,508,4,4,1,1,1,1,0,0,128,4,4,
0.029216,3,224,224,7,7,2,2,2,2,64,112,112,
0.008581,64,56,56,1,1,1,1,0,0,64,56,56,
0.030461,64,56,56,3,3,1,1,1,1,192,56,56,
0.005982,192,28,28,1,1,1,1,0,0,16,28,28,
0.007053,16,28,28,5,5,1,1,2,2,32,28,28,
0.010525,192,28,28,1,1,1,1,0,0,96,28,28,
0.012663,96,28,28,3,3,1,1,1,1,128,28,28,
0.006789,192,28,28,1,1,1,1,0,0,64,28,28,
0.007742,192,28,28,1,1,1,1,0,0,32,28,28,
0.004942,256,28,28,1,1,1,1,0,0,64,28,28,
0.005006,256,28,28,1,1,1,1,0,0,32,28,28,
0.011332,32,28,28,5,5,1,1,2,2,96,28,28,
0.005458,256,28,28,1,1,1,1,0,0,128,28,28,
0.020983,128,28,28,3,3,1,1,1,1,192,28,28,
0.007876,256,28,28,1,1,1,1,0,0,128,28,28,
0.008418,480,14,14,1,1,1,1,0,0,64,14,14,
0.003209,480,14,14,1,1,1,1,0,0,16,14,14,
0.003332,16,14,14,5,5,1,1,2,2,48,14,14,
0.005337,480,14,14,1,1,1,1,0,0,96,14,14,
0.011167,96,14,14,3,3,1,1,1,1,204,14,14,
0.005131,480,14,14,1,1,1,1,0,0,192,14,14,
0.004281,508,4,4,1,1,1,1,0,0,128,4,4,
0.022852,3,224,224,7,7,2,2,2,2,64,112,112,
0.00581,64,56,56,1,1,1,1,0,0,64,56,56,
0.028899,64,56,56,3,3,1,1,1,1,192,56,56,
0.005103,192,28,28,1,1,1,1,0,0,16,28,28,
0.007602,16,28,28,5,5,1,1,2,2,32,28,28,
0.005296,192,28,28,1,1,1,1,0,0,96,28,28,
0.014077,96,28,28,3,3,1,1,1,1,128,28,28,
0.005083,192,28,28,1,1,1,1,0,0,64,28,28,
0.003979,192,28,28,1,1,1,1,0,0,32,28,28,
0.007556,256,28,28,1,1,1,1,0,0,64,28,28,
0.00447,256,28,28,1,1,1,1,0,0,32,28,28,
0.011515,32,28,28,5,5,1,1,2,2,96,28,28,
0.006613,256,28,28,1,1,1,1,0,0,128,28,28,
0.022058,128,28,28,3,3,1,1,1,1,192,28,28,
0.009574,256,28,28,1,1,1,1,0,0,128,28,28,
0.009094,480,14,14,1,1,1,1,0,0,64,14,14,
