App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:50:40 nachm.","6 min 57 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
12670,16,12670,1170000,12671,3371240,12695,8,
12772,15,12774,442000,12776,3371488,12805,6,
12875,21,12876,442000,12878,3372232,12905,9,
12974,18,12976,442000,12978,3372480,13012,6,
13073,28,13073,1274000,13075,3371004,13093,13,
13173,12,13174,442000,13176,3371252,13202,6,
13275,20,13276,546000,13278,3371500,13304,8,
13374,22,13375,1066000,13376,3371984,13396,9,
13477,17,13478,442000,13480,3372480,13508,7,
13575,25,13576,1170000,13577,3371128,13597,12,
13676,18,13677,962000,13678,3371624,13697,8,
13778,17,13779,442000,13781,3372120,13809,6,
13877,16,13878,858000,13880,3372616,13900,6,
13977,15,13978,1170000,13979,3373112,13997,8,
14078,22,14079,1170000,14080,3371092,14098,12,
14180,16,14181,442000,14183,3371092,14208,9,
14279,17,14280,858000,14281,3371588,14304,6,
14380,14,14381,650000,14383,3372084,14407,5,
14480,15,14481,858000,14482,3372480,14503,6,
14580,16,14581,1274000,14582,3371424,14599,8,
14681,15,14681,1170000,14683,3371672,14700,8,
14781,18,14782,1170000,14784,3372168,14801,11,
14884,14,14885,442000,14887,3372416,14916,5,
14983,18,14984,962000,14985,3372604,15004,6,
15083,26,15084,1170000,15086,3371228,15103,11,
15184,15,15185,962000,15186,3371228,15205,6,
15284,19,15285,962000,15287,3371476,15306,8,
15386,22,15387,442000,15390,3371972,15419,10,
15486,24,15487,858000,15488,3372468,15508,8,
15586,20,15587,1170000,15588,3371252,15605,10,
15688,21,15690,442000,15691,3371748,15720,9,
15789,22,15790,442000,15793,3371748,15823,8,
15888,21,15889,858000,15891,3372232,15912,7,
15989,18,15990,754000,15991,3372728,16012,7,
16089,22,16090,754000,16094,3373472,16118,9,
16189,21,16190,1170000,16191,3371056,16208,9,
16290,18,16290,1274000,16292,3371552,16308,10,
16391,14,16392,858000,16393,3371984,16413,9,
16491,18,16492,1274000,16493,3372480,16509,8,
16591,14,16592,1170000,16593,3373348,16610,8,
16692,21,16693,1170000,16694,3371772,16711,10,
16793,20,16794,858000,16795,3372268,16815,8,
16893,15,16894,1066000,16895,3372764,16914,7,
16995,22,16997,546000,16999,3373260,17021,7,
17094,27,17095,1378000,17096,3373508,17121,15,
17195,27,17196,1586000,17197,3371552,17212,18,
17296,15,17297,1066000,17298,3372048,17315,8,
17396,16,17397,1066000,17398,3372528,17416,8,
17497,20,17498,962000,17499,3372900,17518,9,
17597,15,17598,1170000,17599,3373456,17616,7,
17697,25,17698,1170000,17699,3371484,17716,12,
17798,20,17799,1066000,17800,3371732,17818,10,
17898,21,17899,1170000,17900,3371980,17918,11,
17999,15,18000,858000,18001,3372228,18022,8,
18099,17,18100,962000,18101,3372724,18121,6,
18201,20,18201,1378000,18203,3373468,18223,13,
18301,18,18302,858000,18303,3371248,18324,7,
18401,24,18402,858000,18404,3371732,18424,10,
18502,22,18503,858000,18504,3372228,18533,10,
18603,23,18605,858000,18608,3372960,18629,9,
18704,19,18705,858000,18706,3373456,18729,8,
18804,22,18804,1170000,18806,3371236,18822,13,
18908,16,18909,442000,18912,3371484,18937,7,
19008,28,19009,442000,19012,3372244,19041,9,
19105,29,19108,1170000,19109,3372988,19126,12,
19206,12,19207,1170000,19209,3373484,19227,6,
19256,16,19257,1170000,19258,3373484,19278,9,
19358,26,19360,442000,19362,3371760,19388,12,
19457,38,19458,1378000,19459,3372244,19480,21,
19557,44,19558,1586000,19559,3372976,19576,26,
19658,15,19658,1586000,19659,3373472,19684,10,
19759,21,19759,1066000,19761,3373720,19782,9,
