App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 08:48:31 nachm.","6 min 40 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
108039,0,108042,1066000,108043,3512620,108289,31,
108138,87,108139,1586000,108139,3513204,108372,38,
108243,54,108244,546000,108246,3514696,108462,46,
108341,0,108342,1586000,108343,3511828,108575,75,
108441,87,108441,1586000,108441,3511776,108666,34,
108543,73,108543,1586000,108546,3511280,108774,40,
108642,0,108643,1586000,108644,3511860,108887,45,
108743,64,108744,1586000,108745,3512852,108968,57,
108844,87,108844,1586000,108845,3513564,109067,29,
108944,64,108944,1586000,108945,3511860,109174,31,
109045,48,109046,1586000,109048,3512684,109277,43,
109148,0,109153,1586000,109154,3513180,109364,30,
109246,76,109247,1586000,109248,3511504,109489,42,
109347,50,109348,1586000,109348,3503476,109590,27,
109448,87,109448,1586000,109450,3502612,109674,41,
109547,0,109548,1586000,109551,3500016,109774,31,
109648,63,109649,1482000,109650,3509800,109877,56,
109749,53,109750,1586000,109751,3510668,109974,27,
109850,87,109851,1586000,109853,3510036,110091,51,
109949,0,109949,1586000,109950,3511660,110155,56,
110057,87,110058,1586000,110060,3508876,110292,36,
110149,66,110150,1586000,110150,3510072,110386,50,
110252,0,110254,1586000,110258,3509412,110477,61,
110352,70,110353,1586000,110355,3510088,110577,42,
110453,87,110454,1586000,110455,3512092,110677,45,
110553,0,110554,1586000,110555,3514832,110777,78,
110654,87,110655,1586000,110656,3513304,110873,28,
110754,64,110755,1586000,110756,3512892,110970,34,
110855,0,110855,1586000,110856,3513912,111072,38,
110955,51,110955,1586000,110956,3514160,111177,38,
111056,66,111056,1586000,111057,3514160,111285,46,
111158,58,111159,1586000,111161,3509688,111375,32,
111257,87,111258,1586000,111259,3513484,111479,28,
111358,0,111359,1586000,111360,3514600,111582,38,
111460,44,111460,962000,111462,3515236,111688,28,
111559,59,111560,1586000,111561,3514536,111783,38,
111660,87,111661,1586000,111663,3516356,111887,54,
111760,0,111761,1586000,111763,3512536,111996,39,
111860,87,111861,1586000,111862,3511944,112068,86,
111962,0,111963,1586000,111964,3510804,112187,55,
112062,87,112062,1586000,112062,3511248,112298,40,
112162,59,112162,1586000,112163,3512492,112369,49,
112264,0,112265,1586000,112267,3510568,112469,58,
