App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 09:15:02 nachm.","7 min 20 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
126171,33,126072,1378000,126073,3515500,126091,21,
126272,30,126171,1586000,126172,3514664,126188,19,
126372,33,126273,1274000,126274,3514912,126291,17,
126474,30,126373,1378000,126375,3514420,126394,19,
126575,24,126475,1170000,126476,3509460,126492,18,
126675,37,126576,1170000,126577,3511408,126608,12,
126776,26,126676,1586000,126677,3511408,126692,23,
126876,24,126777,1378000,126778,3511236,126794,18,
126977,20,126877,1170000,126878,3511732,126894,15,
127078,9,126977,1378000,126978,3514956,126994,12,
127177,44,127078,1170000,127079,3515700,127094,5,
127279,28,127178,1586000,127179,3514964,127194,28,
127379,16,127279,1586000,127280,3508996,127294,22,
127480,25,127379,1586000,127381,3509756,127395,11,
127580,33,127480,1586000,127481,3511236,127496,21,
127682,32,127581,1586000,127583,3512400,127597,24,
127781,35,127684,1586000,127685,3513640,127701,22,
127883,24,127782,1170000,127783,3515128,127810,20,
127983,30,127884,1170000,127885,3515376,127903,14,
128087,30,127984,1170000,127986,3516120,128013,17,
128135,37,128088,1170000,128089,3516468,128107,19,
128235,32,128136,1378000,128137,3511584,128153,18,
128335,27,128235,1586000,128236,3511020,128252,23,
128437,28,128335,1586000,128336,3512384,128350,20,
128536,42,128438,1586000,128439,3513128,128471,21,
128637,24,128537,1586000,128537,3513392,128546,30,
128737,14,128637,1378000,128639,3516616,128654,15,
128838,34,128738,1170000,128739,3517128,128760,8,
128938,21,128839,1274000,128840,3516388,128857,20,
129039,20,128939,1274000,128941,3512132,128956,13,
129140,22,129040,1482000,129041,3512596,129057,13,
129240,32,129141,1274000,129142,3512948,129158,15,
129343,38,129241,1378000,129242,3513960,129258,18,
129444,31,129343,1586000,129344,3513200,129363,25,
129544,34,129444,1170000,129445,3513200,129462,20,
129645,19,129545,1066000,129546,3516672,129563,20,
129746,35,129645,1170000,129646,3516904,129664,10,
129846,33,129747,1170000,129748,3516604,129768,21,
129947,35,129846,1274000,129849,3511612,129867,20,
130047,18,129947,1170000,129948,3512356,129965,23,
130148,28,130048,1170000,130050,3513156,130070,13,
130248,37,130148,1274000,130149,3514396,130165,15,
130348,26,130248,1586000,130249,3514844,130265,24,
130449,28,130349,1482000,130350,3513464,130363,21,
130549,10,130449,1378000,130451,3517172,130465,17,
130650,33,130550,1170000,130551,3517668,130566,6,
130751,25,130650,1586000,130651,3517396,130666,22,
130851,23,130751,1586000,130752,3513480,130766,19,
130952,32,130851,1586000,130852,3512812,130867,15,
131052,41,130953,1170000,130954,3515236,130972,18,
131154,40,131053,1378000,131054,3515980,131074,25,
131254,29,131154,1586000,131155,3516972,131169,28,
131354,36,131254,1170000,131256,3517220,131282,14,
131455,11,131355,1274000,131356,3519408,131370,22,
131555,35,131456,1170000,131457,3519904,131484,6,
131657,25,131556,1378000,131557,3520400,131571,23,
131757,19,131657,1170000,131658,3518248,131676,15,
131858,29,131758,1170000,131759,3518708,131778,10,
131958,32,131859,1274000,131860,3516440,131877,17,
132059,29,131959,1586000,131960,3515160,131973,21,
132161,18,132059,1586000,132060,3515324,132075,17,
132260,30,132163,1170000,132165,3518460,132183,13,
132361,16,132261,1378000,132262,3513872,132277,17,
132462,41,132361,1170000,132362,3513232,132382,11,
132564,27,132463,1378000,132463,3517716,132481,24,
132666,28,132565,1378000,132566,3518464,132583,17,
132766,38,132667,1170000,132669,3518960,132687,19,
132866,33,132767,1274000,132769,3518956,132787,20,
132966,31,132867,1586000,132868,3518616,132884,23,
133067,22,132966,1586000,132967,3518616,132981,23,
133167,24,133068,1170000,133069,3519112,133091,16,
133268,17,133168,1274000,133169,3519360,133186,12,
133369,33,133269,1170000,133270,3519608,133292,11,
133469,27,133369,1170000,133371,3518720,133389,24,
133571,20,133470,1170000,133471,3518296,133490,15,
133672,30,133571,1170000,133573,3519060,133591,12,
133772,37,133672,1066000,133674,3520320,133697,15,
133872,34,133773,1482000,133774,3521064,133791,20,
133979,25,133873,1482000,133874,3520524,133889,23,
