Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
7511,310000,22619,46,22622,26,22623,1227840,2208.9892473118,22635,23
7610,310000,22718,46,22720,30,22721,1223936,0,22727,18
7711,310000,22820,46,22825,20,22827,1222608,0,22841,18
7816,310000,22924,47,22926,34,22927,1222732,0,22937,21
7916,310000,23024,47,23026,25,23026,1222984,0,23033,17
8016,310000,23124,47,23125,23,23126,1223484,0,23132,19
8120,310000,23234,47,23237,30,23238,1222132,0,23243,22
8221,310000,23330,47,23333,23,23335,1222232,0,23342,21
8322,310000,23431,47,23433,24,23435,1222356,0,23443,15
8423,310000,23531,47,23533,23,23534,1222728,0,23541,16
8525,310000,23634,47,23637,26,23638,1223264,0,23649,16
8624,310000,23732,47,23735,57,23736,1222392,0,23741,46
8725,310000,23832,47,23833,41,23834,1223532,0,23838,39
8825,310000,23933,47,23934,34,23935,1223820,0,23939,32
8927,310000,24036,47,24038,21,24039,1224256,0,24043,12
9028,310000,24144,47,24151,25,24157,1224788,0,24171,24
9129,310000,24237,47,24239,42,24240,1223188,0,24248,25
9230,310000,24339,47,24342,23,24344,1223432,0,24354,16
9330,310000,24438,47,24439,22,24440,1223612,0,24446,14
9431,310000,24539,47,24541,15,24543,1224232,0,24557,13
9532,310000,24640,47,24642,24,24643,1223340,0,24650,17
9633,200000,24742,47,24744,21,24745,1223676,0,24754,16
9734,310000,24842,47,24844,27,24845,1223960,0,24854,16
9835,310000,24943,47,24946,29,24948,1224480,0,24957,21
9936,310000,25043,47,25045,46,25046,1222544,0,25051,43
10037,310000,25146,48,25148,21,25149,1222784,0,25154,17
10138,310000,25246,48,25248,15,25251,1223280,0,25258,13
10240,310000,25348,48,25351,24,25353,1223900,0,25360,18
10339,310000,25447,48,25450,28,25451,1222220,0,25458,19
10441,310000,25549,48,25552,24,25554,1222560,0,25563,23
10541,310000,25649,48,25651,28,25652,1223180,0,25657,20
10643,310000,25751,48,25754,21,25756,1223428,0,25762,19
10744,310000,25855,48,25859,31,25862,1224036,0,25876,22
10845,310000,25952,48,25954,33,25954,1221784,0,25959,28
10946,310000,26055,48,26059,29,26061,1222040,0,26071,20
11047,310000,26157,48,26160,25,26163,1222660,0,26171,18
11148,310000,26256,47,26259,29,26260,1223156,0,26270,22
11248,310000,26356,47,26358,24,26361,1222528,0,26382,16
11349,310000,26456,47,26458,35,26458,1222652,0,26464,29
11450,310000,26558,47,26560,23,26563,1223340,0,26573,21
11551,310000,26658,47,26660,28,26660,1223464,0,26668,16
11653,310000,26764,47,26795,20,26797,1222636,0,26813,20
11753,310000,26864,47,26872,58,26873,1222864,0,26885,40
11853,310000,26962,47,26965,21,26966,1222864,0,26975,17
11955,310000,27067,47,27069,28,27071,1222968,0,27078,19
12055,310000,27166,47,27169,23,27171,1223824,0,27195,17
12158,310000,27266,47,27267,30,27269,1221948,0,27275,23
12259,310000,27369,52,27373,26,27375,1221792,0,27386,20
12363,310000,27472,52,27474,28,27475,1222532,0,27482,20
12464,310000,27572,52,27574,25,27575,1223276,0,27583,21
12565,310000,27681,52,27684,32,27686,1222692,0,27692,27
12666,310000,27775,52,27777,35,27779,1222692,0,27788,24
12767,400000,27875,52,27876,27,27877,1222816,0,27884,21
12869,310000,27983,52,27987,22,27988,1223296,0,27996,17
12970,310000,28078,52,28081,18,28083,1223844,0,28093,20
13070,310000,28178,52,28180,31,28181,1222168,0,28186,21
13173,310000,28282,52,28284,12,28285,1222364,0,28291,13
13273,310000,28384,52,28390,25,28392,1223032,0,28402,15
13373,310000,28483,52,28486,28,28488,1223652,0,28502,21
13475,400000,28586,54,28593,35,28615,1223172,0,28627,30
13574,400000,28683,54,28685,41,28687,1222572,0,28693,25
13676,310000,28784,54,28786,22,28788,1222944,0,28797,13
13776,310000,28886,54,28888,23,28890,1223544,0,28901,16
13877,310000,28986,54,28989,25,28990,1224040,0,29003,18
13978,310000,29085,54,29087,32,29087,1222764,0,29092,26
14079,310000,29188,54,29191,20,29192,1222832,0,29207,16
14180,310000,29288,54,29290,29,29291,1223156,0,29301,22
14280,310000,29388,54,29389,29,29390,1223768,0,29400,19
14381,310000,29489,0,29491,23,29515,1224620,0,29543,19
14482,310000,29590,0,29591,43,29593,1222516,0,29611,34
14582,310000,29691,0,29692,20,29693,1222764,0,29712,19
14684,310000,29792,48,29793,28,29794,1223260,0,29818,23
14784,310000,29892,48,29893,30,29895,1223756,0,29908,24
14886,310000,29995,48,30006,29,30025,1222920,0,30039,21
14987,310000,30095,48,30100,37,30103,1223076,0,30125,29
15088,310000,30197,48,30200,39,30203,1223696,0,30219,30
15189,310000,30298,48,30303,31,30306,1224068,0,30331,23
15290,310000,30399,48,30403,46,30407,1224560,0,30433,35
15390,310000,30499,48,30501,35,30503,1222860,0,30518,31
15492,310000,30601,48,30606,25,30609,1223108,0,30634,21
15592,310000,30701,48,30704,38,30705,1223232,0,30719,30
15693,310000,30802,48,30805,21,30806,1223852,0,30815,16
15794,310000,30903,46,30905,40,30907,1222548,0,30920,25
15895,310000,31003,46,31006,21,31009,1222548,0,31028,16
15996,310000,31104,46,31108,27,31109,1223176,0,31130,21
16096,310000,31205,46,31208,25,31210,1223668,0,31225,20
16198,310000,31320,46,31324,30,31329,1224412,0,31355,25
16298,400000,31406,46,31407,45,31408,1223032,0,31416,36
16400,310000,31508,46,31510,10,31511,1223280,0,31529,8
16500,310000,31610,46,31612,31,31615,1223652,0,31631,27
16601,310000,31709,46,31710,26,31711,1223900,0,31723,15
16703,310000,31812,46,31817,28,31822,1224844,0,31842,25
16803,310000,31911,46,31915,33,31917,1223316,0,31936,26
16904,310000,32013,48,32018,25,32021,1223512,0,32043,17
17005,310000,32116,48,32119,34,32121,1223956,0,32134,26
17105,310000,32214,48,32216,20,32218,1224204,0,32232,13
17208,310000,32317,48,32319,36,32321,1222900,0,32331,28
17309,310000,32417,48,32418,15,32419,1223004,0,32425,14
17411,310000,32520,48,32522,21,32524,1223320,0,32539,16
17510,310000,32618,48,32619,28,32620,1223692,0,32628,16
17610,200000,32719,48,32720,28,32723,1224232,0,32745,23
17711,310000,32819,48,32821,34,32822,1222816,0,32836,27
17812,310000,32921,48,32922,29,32923,1223312,0,32938,22
17914,310000,33022,48,33023,28,33024,1223932,0,33038,20
18015,310000,33122,48,33124,21,33125,1224292,0,33134,15
18115,310000,33223,51,33225,45,33227,1223112,0,33244,36
18217,310000,33326,51,33329,26,33333,1223360,0,33352,23
18267,310000,33375,51,33377,47,33378,1223484,0,33383,26
18368,310000,33476,51,33478,21,33480,1223732,0,33486,16
18469,310000,33577,51,33580,23,33581,1224412,0,33591,16
18570,310000,33678,51,33679,22,33680,1222728,0,33689,18
