Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
9170,310000,18230,49,18232,21,18234,1209088,0,18243,14
9270,310000,18331,49,18333,25,18335,1209632,0,18344,18
9371,310000,18432,49,18434,25,18435,1207592,0,18440,23
9473,310000,18534,45,18536,24,18538,1208212,0,18548,21
9573,310000,18634,45,18636,31,18639,1208584,0,18648,19
9674,310000,18734,45,18737,25,18740,1209204,0,18748,18
9775,310000,18835,45,18838,28,18839,1208024,0,18845,20
9876,310000,18936,45,18938,18,18938,1208272,0,18944,13
9976,310000,19038,45,19040,24,19041,1208644,0,19049,14
10078,310000,19138,45,19140,30,19141,1209016,0,19147,19
10182,310000,19244,45,19268,22,19269,1208144,0,19280,23
10234,310000,19294,45,19298,53,19300,1208144,0,19315,26
10335,310000,19395,45,19396,30,19397,1208364,0,19416,19
10436,310000,19496,45,19497,26,19498,1208560,0,19512,21
10537,310000,19597,45,19599,27,19600,1208932,0,19616,16
10638,310000,19698,46,19700,31,19701,1207952,0,19720,24
10739,310000,19799,46,19801,25,19802,1208188,0,19815,17
10839,310000,19899,46,19902,28,19907,1208560,0,19921,23
10941,310000,20001,46,20003,23,20005,1209180,0,20017,14
11044,310000,20105,0,20107,33,20115,1207600,0,20140,30
11145,310000,20204,0,20206,34,20207,1207848,0,20224,23
11246,310000,20308,0,20310,34,20312,1208584,0,20327,23
11347,310000,20407,0,20416,26,20419,1208976,0,20449,20
11447,310000,20507,0,20510,43,20513,1209596,0,20551,28
11548,310000,20608,0,20609,38,20610,1208520,0,20619,25
11649,400000,20709,0,20710,24,20710,1208520,0,20716,19
11749,310000,20810,46,20811,20,20812,1208924,0,20818,16
11850,310000,20910,0,20911,23,20912,1209604,0,20921,17
11951,310000,21010,0,21012,40,21012,1208376,0,21020,31
12052,310000,21111,0,21113,20,21113,1208376,0,21121,15
12152,310000,21212,0,21213,23,21214,1208376,0,21223,17
12253,310000,21313,0,21314,20,21315,1208996,0,21323,15
12354,310000,21414,0,21415,25,21416,1207692,0,21424,20
12455,310000,21515,0,21518,26,21520,1208332,0,21533,18
12556,310000,21616,0,21619,31,21621,1208580,0,21635,20
12658,310000,21718,0,21721,33,21723,1208952,0,21744,25
12760,400000,21821,0,21824,38,21826,1209696,0,21848,30
