execute_time,in_depth,input_rows,input_cols,filter_rows,filter_cols,stride_rows,stride_cols,pad_rows,pad_cols,out_depth,out_rows,out_cols,
0.030955,480,14,14,1,1,1,1,0,0,16,14,14,
0.059061,16,14,14,5,5,1,1,2,2,48,14,14,
0.271549,480,14,14,1,1,1,1,0,0,96,14,14,
1.07389,96,14,14,3,3,1,1,1,1,204,14,14,
0.763742,480,14,14,1,1,1,1,0,0,192,14,14,
0.042106,508,4,4,1,1,1,1,0,0,128,4,4,
2.79921,3,224,224,7,7,2,2,2,2,64,112,112,
0.229484,64,56,56,1,1,1,1,0,0,64,56,56,
14.4433,64,56,56,3,3,1,1,1,1,192,56,56,
0.052605,192,28,28,1,1,1,1,0,0,16,28,28,
0.191461,16,28,28,5,5,1,1,2,2,32,28,28,
0.249488,192,28,28,1,1,1,1,0,0,96,28,28,
5.02923,96,28,28,3,3,1,1,1,1,128,28,28,
0.198229,192,28,28,1,1,1,1,0,0,64,28,28,
0.08789,192,28,28,1,1,1,1,0,0,32,28,28,
0.241849,256,28,28,1,1,1,1,0,0,64,28,28,
0.104314,256,28,28,1,1,1,1,0,0,32,28,28,
2.09612,32,28,28,5,5,1,1,2,2,96,28,28,
0.751994,256,28,28,1,1,1,1,0,0,128,28,28,
13.1465,128,28,28,3,3,1,1,1,1,192,28,28,
0.800851,256,28,28,1,1,1,1,0,0,128,28,28,
0.11872,480,14,14,1,1,1,1,0,0,64,14,14,
0.029693,480,14,14,1,1,1,1,0,0,16,14,14,
0.064624,16,14,14,5,5,1,1,2,2,48,14,14,
0.275633,480,14,14,1,1,1,1,0,0,96,14,14,
1.07886,96,14,14,3,3,1,1,1,1,204,14,14,
0.746585,480,14,14,1,1,1,1,0,0,192,14,14,
0.040532,508,4,4,1,1,1,1,0,0,128,4,4,
2.79377,3,224,224,7,7,2,2,2,2,64,112,112,
0.221619,64,56,56,1,1,1,1,0,0,64,56,56,
14.3708,64,56,56,3,3,1,1,1,1,192,56,56,
0.038305,192,28,28,1,1,1,1,0,0,16,28,28,
0.179413,16,28,28,5,5,1,1,2,2,32,28,28,
0.261173,192,28,28,1,1,1,1,0,0,96,28,28,
5.17487,96,28,28,3,3,1,1,1,1,128,28,28,
0.1712,192,28,28,1,1,1,1,0,0,64,28,28,
0.081056,192,28,28,1,1,1,1,0,0,32,28,28,
0.276052,256,28,28,1,1,1,1,0,0,64,28,28,
0.118981,256,28,28,1,1,1,1,0,0,32,28,28,
1.97304,32,28,28,5,5,1,1,2,2,96,28,28,
0.775376,256,28,28,1,1,1,1,0,0,128,28,28,
13.6357,128,28,28,3,3,1,1,1,1,192,28,28,
0.759282,256,28,28,1,1,1,1,0,0,128,28,28,
0.110597,480,14,14,1,1,1,1,0,0,64,14,14,
0.026489,480,14,14,1,1,1,1,0,0,16,14,14,
0.079344,16,14,14,5,5,1,1,2,2,48,14,14,
0.289074,480,14,14,1,1,1,1,0,0,96,14,14,
1.14654,96,14,14,3,3,1,1,1,1,204,14,14,
0.750146,480,14,14,1,1,1,1,0,0,192,14,14,
0.048591,508,4,4,1,1,1,1,0,0,128,4,4,
2.84736,3,224,224,7,7,2,2,2,2,64,112,112,
0.237369,64,56,56,1,1,1,1,0,0,64,56,56,
14.7824,64,56,56,3,3,1,1,1,1,192,56,56,
0.03851,192,28,28,1,1,1,1,0,0,16,28,28,
0.17386,16,28,28,5,5,1,1,2,2,32,28,28,
0.251895,192,28,28,1,1,1,1,0,0,96,28,28,
5.47216,96,28,28,3,3,1,1,1,1,128,28,28,
0.172296,192,28,28,1,1,1,1,0,0,64,28,28,
0.092491,192,28,28,1,1,1,1,0,0,32,28,28,
0.243409,256,28,28,1,1,1,1,0,0,64,28,28,
0.114044,256,28,28,1,1,1,1,0,0,32,28,28,
1.97561,32,28,28,5,5,1,1,2,2,96,28,28,
0.758047,256,28,28,1,1,1,1,0,0,128,28,28,
13.0689,128,28,28,3,3,1,1,1,1,192,28,28,
0.767019,256,28,28,1,1,1,1,0,0,128,28,28,
0.126045,480,14,14,1,1,1,1,0,0,64,14,14,
0.023375,480,14,14,1,1,1,1,0,0,16,14,14,
0.075462,16,14,14,5,5,1,1,2,2,48,14,14,
0.285687,480,14,14,1,1,1,1,0,0,96,14,14,
1.0842,96,14,14,3,3,1,1,1,1,204,14,14,
0.747869,480,14,14,1,1,1,1,0,0,192,14,14,
0.073467,508,4,4,1,1,1,1,0,0,128,4,4,
2.85628,3,224,224,7,7,2,2,2,2,64,112,112,
0.227178,64,56,56,1,1,1,1,0,0,64,56,56,
14.8409,64,56,56,3,3,1,1,1,1,192,56,56,
0.039658,192,28,28,1,1,1,1,0,0,16,28,28,
0.186829,16,28,28,5,5,1,1,2,2,32,28,28,
0.249711,192,28,28,1,1,1,1,0,0,96,28,28,
5.20336,96,28,28,3,3,1,1,1,1,128,28,28,
0.169921,192,28,28,1,1,1,1,0,0,64,28,28,
0.089385,192,28,28,1,1,1,1,0,0,32,28,28,
0.238134,256,28,28,1,1,1,1,0,0,64,28,28,
0.117861,256,28,28,1,1,1,1,0,0,32,28,28,
2.06076,32,28,28,5,5,1,1,2,2,96,28,28,
0.772875,256,28,28,1,1,1,1,0,0,128,28,28,
13.2214,128,28,28,3,3,1,1,1,1,192,28,28,
0.80087,256,28,28,1,1,1,1,0,0,128,28,28,
0.121909,480,14,14,1,1,1,1,0,0,64,14,14,
0.023121,480,14,14,1,1,1,1,0,0,16,14,14,
0.056996,16,14,14,5,5,1,1,2,2,48,14,14,
0.271837,480,14,14,1,1,1,1,0,0,96,14,14,
1.04076,96,14,14,3,3,1,1,1,1,204,14,14,
0.797529,480,14,14,1,1,1,1,0,0,192,14,14,
0.097166,508,4,4,1,1,1,1,0,0,128,4,4,
2.80066,3,224,224,7,7,2,2,2,2,64,112,112,
0.222407,64,56,56,1,1,1,1,0,0,64,56,56,
14.9822,64,56,56,3,3,1,1,1,1,192,56,56,
0.03898,192,28,28,1,1,1,1,0,0,16,28,28,
0.178349,16,28,28,5,5,1,1,2,2,32,28,28,
0.28264,192,28,28,1,1,1,1,0,0,96,28,28,
4.97976,96,28,28,3,3,1,1,1,1,128,28,28,
0.164864,192,28,28,1,1,1,1,0,0,64,28,28,
0.083518,192,28,28,1,1,1,1,0,0,32,28,28,
0.231189,256,28,28,1,1,1,1,0,0,64,28,28,
0.10742,256,28,28,1,1,1,1,0,0,32,28,28,
