Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
286011,310000,286012,0,286017,100,286019,1380524,186191.148514851,286057,83,
286111,310000,286112,0,286113,100,286115,1381020,186687.148514851,286130,83,
286212,310000,286213,0,286214,100,286215,1381392,187059.148514851,286238,83,
286312,310000,286313,0,286315,100,286317,1378972,184639.148514851,286324,83,
286413,310000,286414,0,286417,97,286418,1379220,184887.148514851,286437,81,
286515,310000,286515,0,286517,97,286518,1379696,185363.148514851,286538,81,
286616,310000,286616,0,286618,97,286618,1380316,185983.148514851,286624,81,
286716,310000,286717,0,286718,100,286719,1378784,184451.148514851,286735,83,
286820,310000,286821,0,286822,100,286823,1379652,185319.148514851,286860,83,
286920,310000,286921,0,286922,100,286923,1380396,186063.148514851,286931,83,
287021,310000,287022,0,287023,100,287024,1380644,186311.148514851,287031,83,
287121,310000,287122,0,287123,100,287124,1380768,186435.148514851,287130,83,
287221,310000,287222,0,287223,100,287224,1381016,186683.148514851,287261,83,
287322,310000,287323,0,287324,100,287325,1379416,185083.148514851,287332,83,
287422,310000,287423,0,287425,100,287426,1379912,185579.148514851,287442,83,
287525,310000,287526,0,287527,100,287528,1379912,185579.148514851,287534,83,
287627,310000,287628,24,287629,100,287630,1380384,186051.148514851,287650,83,
287727,310000,287727,24,287729,97,287730,1381128,186795.148514851,287747,81,
287830,310000,287831,24,287834,100,287836,1379476,185143.148514851,287846,83,
287931,310000,287932,24,287933,100,287934,1380096,185763.148514851,287941,83,
288031,310000,288032,24,288033,100,288034,1380592,186259.148514851,288040,83,
288132,310000,288132,24,288134,97,288135,1381336,187003.148514851,288141,81,
288232,310000,288233,24,288235,100,288236,1381832,187499.148514851,288242,83,
288333,310000,288333,24,288335,100,288336,1382080,187747.148514851,288342,83,
288433,310000,288434,24,288435,100,288436,1379448,185115.148514851,288458,83,
288533,310000,288534,24,288535,100,288536,1380316,185983.148514851,288543,83,
288634,310000,288635,24,288637,97,288638,1380632,186299.148514851,288645,81,
288735,310000,288736,24,288737,76,288738,1381252,186919.148514851,288744,63,
288835,310000,288835,24,288837,92,288838,1380144,185811.148514851,288859,79,
288935,310000,288936,24,288937,97,288938,1380392,186059.148514851,288943,81,
289037,310000,289038,24,289041,94,289043,1381076,186743.148514851,289049,79,
289138,310000,289139,34,289141,95,289142,1379972,185639.148514851,289166,79,
289238,310000,289239,34,289240,97,289242,1380592,186259.148514851,289261,81,
289341,310000,289342,34,289344,100,289345,1378704,184371.148514851,289352,83,
289442,310000,289443,34,289444,100,289445,1378828,184495.148514851,289452,83,
289543,310000,289544,34,289545,100,289546,1379324,184991.148514851,289572,83,
289645,310000,289646,34,289647,95,289648,1379764,185431.148514851,289670,80,
289745,310000,289746,34,289748,100,289748,1378484,184151.148514851,289766,83,
289848,200000,289849,34,289850,100,289851,1379104,184771.148514851,289857,83,
289951,310000,289951,34,289953,97,289954,1379500,185167.148514851,289968,81,
290051,310000,290052,34,290054,80,290055,1379996,185663.148514851,290064,65,
290152,310000,290154,34,290155,81,290157,1378356,184023.148514851,290166,68,
290253,310000,290254,31,290255,69,290256,1378476,184143.148514851,290262,55,
290353,310000,290355,31,290356,68,290357,1379964,185631.148514851,290374,56,
290454,310000,290455,31,290456,100,290457,1380440,186107.148514851,290461,83,
290555,310000,290556,31,290557,97,290558,1380936,186603.148514851,290566,81,
290655,310000,290656,31,290657,100,290658,1379268,184935.148514851,290663,83,
290756,310000,290756,31,290758,100,290758,1379764,185431.148514851,290763,83,
290856,310000,290857,31,290858,100,290858,1380260,185927.148514851,290864,83,
290956,310000,290957,31,290958,100,290959,1380756,186423.148514851,290968,83,
291058,310000,291059,31,291060,100,291061,1381376,187043.148514851,291078,83,
291159,310000,291160,31,291161,100,291162,1378948,184615.148514851,291177,83,
291261,310000,291262,31,291263,100,291263,1379568,185235.148514851,291275,83,
291362,310000,291363,31,291365,95,291366,1383732,189399.148514851,291380,80,
291465,310000,291466,31,291467,95,291469,1381772,187439.148514851,291480,79,
291562,310000,291563,31,291564,97,291565,1380036,185703.148514851,291579,81,
291663,310000,291664,31,291665,100,291666,1380004,185671.148514851,291689,83,
291763,310000,291764,31,291766,100,291766,1380748,186415.148514851,291786,83,
291864,310000,291865,31,291866,97,291867,1381368,187035.148514851,291874,81,
291965,310000,291965,31,291967,100,291968,1382012,187679.148514851,291988,83,
292066,310000,292066,31,292068,100,292069,1380000,185667.148514851,292092,83,
292166,200000,292167,31,292168,100,292169,1380152,185819.148514851,292211,83,
292266,200000,292267,31,292269,100,292270,1380524,186191.148514851,292282,83,
292322,200000,292323,31,292324,100,292327,1380772,186439.148514851,292339,83,
292472,200000,292476,31,292481,98,292482,1381740,187407.148514851,292510,82,
292573,200000,292574,31,292585,100,292586,1379540,185207.148514851,292592,83,
292673,310000,292674,31,292677,100,292678,1379880,185547.148514851,292701,83,
292774,310000,292775,31,292786,100,292788,1380500,186167.148514851,292797,83,
292874,310000,292875,25,292881,100,292887,1381120,186787.148514851,292908,83,
292975,310000,292976,25,292986,100,292987,1379288,184955.148514851,293000,83,
293075,310000,293076,25,293078,100,293082,1379784,185451.148514851,293108,83,
293126,310000,293126,25,293128,100,293128,1379784,185451.148514851,293134,83,
293226,310000,293227,0,293228,100,293229,1380404,186071.148514851,293239,83,
