App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:22:52 PM","7 min 23 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
10665,310000,10667,29,10668,100,10669,1372200,10689,100,
10766,200000,10767,29,10768,97,10769,1372916,10775,97,
10867,310000,10868,29,10870,100,10871,1373824,10888,100,
10967,310000,10968,29,10970,100,10971,1374244,10997,100,
11068,310000,11069,29,11071,100,11073,1371896,11089,100,
11168,310000,11169,29,11170,97,11171,1372268,11195,97,
11269,310000,11270,29,11271,97,11271,1373260,11288,97,
11369,310000,11370,29,11371,100,11372,1374128,11396,100,
11470,310000,11535,29,11536,100,11537,1372668,11556,100,
11572,310000,11573,0,11574,100,11575,1373088,11590,100,
11671,400000,11671,0,11673,100,11674,1374152,11707,100,
11771,400000,11772,28,11773,100,11775,1376260,11782,100,
11872,400000,11873,28,11874,100,11876,1391156,11883,100,
11973,400000,11974,28,11975,100,11976,1391016,11998,100,
12077,400000,12085,28,12091,97,12097,1390212,12105,98,
12178,400000,12180,28,12184,100,12185,1387264,12209,100,
12282,400000,12283,28,12285,100,12287,1387596,12300,100,
12382,400000,12383,28,12386,97,12388,1384816,12417,97,
12484,400000,12485,28,12487,100,12488,1385048,12495,100,
12584,400000,12585,28,12586,92,12587,1385668,12592,93,
12685,400000,12686,28,12687,100,12689,1378188,12706,100,
12786,310000,12787,28,12788,97,12789,1376000,12794,97,
12888,310000,12889,58,12890,100,12891,1376372,12897,100,
12989,310000,12990,58,12991,100,12992,1376992,12999,100,
13089,310000,13090,58,13091,95,13092,1376852,13099,95,
13190,310000,13194,58,13196,100,13197,1377184,13205,100,
13293,310000,13294,58,13295,100,13296,1383268,13305,100,
13394,310000,13395,58,13396,100,13397,1381960,13404,100,
13494,310000,13496,58,13497,100,13498,1375220,13503,100,
13599,310000,13599,58,13601,100,13602,1375824,13623,100,
13699,400000,13700,58,13701,97,13702,1374120,13709,97,
13800,400000,13803,58,13804,97,13805,1367032,13820,97,
13902,400000,13903,58,13904,81,13905,1232308,13917,81,
14002,400000,14003,52,14004,75,14004,1229516,14009,75,
14103,310000,14103,52,14106,26,14107,1229564,14122,23,
14203,310000,14204,52,14206,37,14207,1228312,14221,25,
14303,310000,14304,52,14307,31,14311,1228560,14330,23,
14404,310000,14406,52,14408,34,14409,1229180,14427,21,
14505,310000,14506,52,14508,27,14510,1229800,14527,22,
14606,310000,14611,52,14615,29,14617,1228404,14635,25,
14706,310000,14707,52,14708,29,14709,1228628,14718,17,
14806,310000,14807,0,14808,26,14809,1229124,14816,20,
14907,310000,14908,0,14909,22,14910,1229744,14920,16,
15007,310000,15008,0,15017,32,15020,1230352,15033,21,
15107,310000,15108,0,15109,52,15109,1228472,15115,45,
15208,310000,15209,0,15210,23,15211,1228848,15222,20,
15308,310000,15309,0,15310,23,15311,1229220,15322,17,
15409,310000,15409,48,15411,26,15411,1229964,15426,19,
15509,310000,15510,48,15512,41,15512,1228116,15519,32,
15610,310000,15610,48,15612,23,15612,1228240,15620,18,
15710,310000,15711,48,15712,21,15713,1228948,15721,15,
15810,310000,15811,48,15813,30,15815,1229568,15824,21,
15911,310000,15912,48,15913,39,15914,1228136,15921,30,
16011,310000,16012,48,16014,24,16017,1228364,16033,18,
16112,310000,16113,48,16115,27,16117,1228528,16123,21,
16212,310000,16213,48,16216,24,16217,1229148,16232,16,
16313,310000,16314,48,16316,34,16317,1227868,16327,27,
16415,310000,16415,48,16417,18,16420,1228444,16430,14,
16515,310000,16517,0,16520,23,16522,1229064,16532,16,
16617,310000,16619,0,16621,27,16622,1229768,16640,20,
16716,310000,16717,0,16719,25,16720,1230140,16726,20,
16817,310000,16818,0,16819,33,16820,1228432,16824,24,
16918,310000,16919,0,16920,30,16921,1228280,16927,20,
17018,310000,17019,50,17021,25,17021,1228892,17027,16,
17119,310000,17119,50,17122,47,17123,1229800,17129,39,
17219,400000,17220,50,17222,52,17223,1228612,17230,55,
17270,400000,17271,50,17272,75,17273,1229476,17285,77,
17370,400000,17371,50,17372,68,17373,1230880,17377,65,
17471,400000,17472,50,17473,55,17474,1231744,17485,54,
17571,400000,17572,50,17574,48,17575,1231960,17586,49,
17672,400000,17672,50,17673,39,17674,1228328,17677,35,
17772,310000,17773,50,17774,22,17774,1228576,17779,23,
17872,310000,17873,50,17874,19,17875,1229072,17881,17,
17973,310000,17973,50,17974,17,17975,1229592,17980,17,
18073,310000,18074,50,18075,20,18076,1227864,18081,20,
18173,310000,18174,50,18175,20,18176,1228152,18182,15,
18274,310000,18278,53,18281,17,18283,1228524,18291,18,
18375,310000,18377,53,18381,25,18384,1229240,18394,18,
18476,310000,18479,53,18483,27,18487,1230108,18507,22,
18576,310000,18578,53,18582,29,18586,1228856,18595,21,
18676,310000,18681,53,18685,30,18686,1229228,18692,22,
18777,310000,18779,53,18783,30,18786,1229576,18794,16,
18881,310000,18884,53,18886,27,18888,1230196,18906,21,
18978,310000,18980,53,18982,31,18984,1228244,18991,26,
19079,310000,19087,53,19090,41,19092,1228540,19113,29,
19184,310000,19185,53,19187,43,19187,1229132,19193,31,
19285,310000,19286,53,19289,20,19290,1229628,19297,15,
19386,310000,19389,53,19393,28,19396,1228528,19407,20,
19486,310000,19487,53,19489,26,19489,1228776,19494,16,
19587,310000,19588,50,19589,23,19590,1229272,19598,18,
19687,310000,19687,50,19689,17,19689,1229504,19693,15,
19790,310000,19792,50,19795,20,19798,1228824,19807,21,
19888,310000,19889,50,19890,33,19890,1228824,19896,19,
19988,310000,19989,50,19990,30,19991,1229348,19998,21,
20089,310000,20092,50,20096,20,20099,1229564,20113,16,
20189,310000,20191,50,20196,35,20200,1230260,20222,28,
20291,310000,20292,50,20296,30,20298,1228384,20306,20,
20391,310000,20393,50,20398,26,20400,1228788,20415,16,
20492,310000,20499,50,20502,31,20504,1229284,20512,23,
20593,310000,20595,46,20600,29,20604,1229888,20616,19,
20695,310000,20697,46,20700,39,20703,1227960,20710,22,
20795,310000,20798,46,20802,26,20803,1228576,20809,19,
