App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:05:23 PM","7 min 9 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
10669,310000,10669,53,10670,10,10671,1217048,10676,10,
10770,310000,10771,53,10773,20,10774,1214472,10779,18,
10871,310000,10872,53,10874,23,10875,1214844,10882,16,
10971,310000,10972,53,10974,22,10975,1215216,10980,15,
11072,310000,11073,53,11075,21,11076,1215752,11083,17,
11172,310000,11173,53,11174,35,11175,1214796,11180,22,
11273,310000,11274,53,11276,22,11277,1215168,11284,19,
11373,310000,11375,53,11376,27,11378,1215416,11388,18,
11474,310000,11475,53,11477,30,11478,1215860,11487,19,
11575,310000,11576,53,11578,35,11579,1214956,11589,21,
11675,310000,11677,53,11678,26,11679,1215204,11687,17,
11776,310000,11777,49,11779,23,11780,1215700,11787,15,
11876,310000,11877,49,11879,26,11880,1216320,11886,18,
11977,310000,11978,49,11979,25,11980,1215516,11987,18,
12077,310000,12078,49,12080,25,12082,1215516,12089,18,
12178,310000,12179,49,12180,24,12181,1215988,12188,15,
12278,310000,12279,49,12281,18,12282,1216484,12288,13,
12378,310000,12379,49,12381,16,12382,1217104,12393,12,
12479,310000,12480,49,12483,27,12483,1214932,12488,22,
12579,310000,12580,49,12582,20,12583,1215304,12592,16,
12680,310000,12680,49,12683,18,12685,1215924,12694,14,
12780,310000,12782,49,12783,19,12785,1216296,12795,13,
12881,310000,12882,47,12883,33,12884,1215468,12891,23,
12981,310000,12984,47,12986,15,12988,1215584,12996,15,
13083,310000,13084,47,13086,20,13088,1215944,13097,15,
13183,310000,13184,47,13187,19,13189,1216192,13197,13,
13286,310000,13288,47,13289,35,13291,1214464,13297,23,
13387,310000,13388,47,13389,26,13390,1214976,13397,19,
13488,310000,13489,47,13490,22,13491,1215504,13498,14,
13588,310000,13589,47,13591,15,13592,1216000,13599,11,
13689,310000,13689,47,13691,31,13691,1214596,13697,22,
13789,310000,13790,47,13792,18,13793,1214968,13800,14,
13890,310000,13891,47,13892,23,13893,1215464,13901,15,
13990,310000,13991,46,13993,25,13994,1215836,14001,16,
14091,310000,14093,46,14095,20,14096,1216312,14103,14,
14191,310000,14192,46,14194,28,14195,1214480,14203,20,
14292,310000,14293,46,14294,25,14295,1214976,14303,16,
14392,310000,14393,46,14395,23,14396,1215348,14403,16,
14493,310000,14494,46,14496,18,14497,1215824,14504,13,
14594,310000,14595,46,14598,17,14602,1214472,14607,13,
14694,310000,14695,46,14696,31,14697,1214820,14705,23,
14794,310000,14795,46,14797,21,14798,1215348,14807,16,
14895,310000,14896,46,14898,26,14899,1215844,14909,18,
14996,310000,14999,46,15009,38,15014,1214452,15026,28,
15096,310000,15097,46,15101,38,15103,1214824,15112,24,
15196,310000,15197,49,15200,28,15201,1208752,15210,18,
15297,310000,15298,49,15300,19,15301,1209364,15310,13,
15397,310000,15400,49,15403,31,15406,1208232,15414,22,
15497,310000,15499,49,15501,17,15502,1208616,15508,14,
15599,310000,15600,49,15603,33,15605,1209112,15614,21,
15699,310000,15700,49,15702,25,15703,1209608,15714,16,
15807,310000,15812,49,15815,39,15816,1208040,15823,27,
15906,310000,15908,49,15909,21,15910,1208536,15917,17,
16007,310000,16008,49,16009,23,16010,1208908,16015,18,
16108,310000,16109,49,16111,21,16112,1209528,16119,17,
16208,310000,16210,49,16213,21,16218,1210272,16229,18,
16309,310000,16311,49,16314,37,16317,1208592,16324,26,
16410,310000,16412,49,16414,23,16416,1208644,16427,17,
16511,400000,16512,49,16514,28,16515,1209068,16523,15,
16612,310000,16613,49,16614,26,16616,1209688,16627,20,
16713,310000,16713,49,16715,28,16716,1208008,16725,21,
16814,310000,16817,49,16819,28,16822,1208504,16830,18,
16914,310000,16915,49,16917,21,16919,1209248,16926,20,
17016,310000,17017,49,17018,36,17020,1209744,17027,30,
17119,310000,17121,49,17122,30,17124,1208788,17129,24,
17219,310000,17220,49,17222,28,17223,1209036,17228,22,
17320,310000,17321,49,17323,25,17323,1209404,17330,19,
17421,310000,17423,49,17424,20,17425,1209768,17432,16,
17522,310000,17524,49,17527,38,17528,1208024,17540,33,
17623,310000,17624,49,17626,20,17627,1208496,17634,12,
17724,310000,17725,49,17727,23,17729,1208868,17738,19,
17825,310000,17828,49,17830,34,17832,1209240,17842,25,
17929,310000,17933,49,17937,37,17938,1208716,17945,33,
18027,310000,18028,49,18029,31,18030,1208716,18041,18,
18128,310000,18129,49,18130,24,18131,1208716,18140,17,
18229,310000,18230,49,18232,21,18234,1209088,18243,14,
18329,310000,18331,49,18333,25,18335,1209632,18344,18,
18430,310000,18432,49,18434,25,18435,1207592,18440,23,
18532,310000,18534,45,18536,24,18538,1208212,18548,21,
18632,310000,18634,45,18636,31,18639,1208584,18648,19,
18733,310000,18734,45,18737,25,18740,1209204,18748,18,
18834,310000,18835,45,18838,28,18839,1208024,18845,20,
18935,310000,18936,45,18938,18,18938,1208272,18944,13,
19035,310000,19038,45,19040,24,19041,1208644,19049,14,
19137,310000,19138,45,19140,30,19141,1209016,19147,19,
19241,310000,19244,45,19268,22,19269,1208144,19280,23,
19293,310000,19294,45,19298,53,19300,1208144,19315,26,
19394,310000,19395,45,19396,30,19397,1208364,19416,19,
19495,310000,19496,45,19497,26,19498,1208560,19512,21,
19596,310000,19597,45,19599,27,19600,1208932,19616,16,
19697,310000,19698,46,19700,31,19701,1207952,19720,24,
19798,310000,19799,46,19801,25,19802,1208188,19815,17,
19898,310000,19899,46,19902,28,19907,1208560,19921,23,
20000,310000,20001,46,20003,23,20005,1209180,20017,14,
20103,310000,20105,0,20107,33,20115,1207600,20140,30,
20204,310000,20204,0,20206,34,20207,1207848,20224,23,
20305,310000,20308,0,20310,34,20312,1208584,20327,23,
20406,310000,20407,0,20416,26,20419,1208976,20449,20,
20506,310000,20507,0,20510,43,20513,1209596,20551,28,
20607,310000,20608,0,20609,38,20610,1208520,20619,25,
20708,400000,20709,0,20710,24,20710,1208520,20716,19,
20808,310000,20810,46,20811,20,20812,1208924,20818,16,
20909,310000,20910,0,20911,23,20912,1209604,20921,17,
21010,310000,21010,0,21012,40,21012,1208376,21020,31,
21111,310000,21111,0,21113,20,21113,1208376,21121,15,
21211,310000,21212,0,21213,23,21214,1208376,21223,17,
21312,310000,21313,0,21314,20,21315,1208996,21323,15,
21413,310000,21414,0,21415,25,21416,1207692,21424,20,
21514,310000,21515,0,21518,26,21520,1208332,21533,18,
21615,310000,21616,0,21619,31,21621,1208580,21635,20,
21717,310000,21718,0,21721,33,21723,1208952,21744,25,
21819,400000,21821,0,21824,38,21826,1209696,21848,30,
21918,400000,21920,0,21923,43,21925,1208116,21939,32,
22019,400000,22021,46,22024,31,22026,1208240,22046,23,
22120,400000,22122,46,22124,30,22126,1208848,22141,20,
22222,310000,22224,46,22226,23,22227,1209344,22242,20,
22323,310000,22325,46,22327,33,22329,1208388,22344,27,
22424,310000,22425,46,22426,23,22427,1208472,22434,15,
22525,310000,22526,0,22528,27,22528,1209092,22536,18,
22626,310000,22627,0,22628,25,22629,1209588,22636,18,
22727,310000,22728,0,22729,35,22730,1208232,22744,24,
22828,310000,22829,0,22830,23,22831,1208728,22842,16,
22928,310000,22929,0,22931,26,22932,1208976,22946,18,
23029,310000,23030,0,23032,22,23033,1209224,23047,17,
23130,310000,23131,42,23134,25,23136,1210060,23180,20,
23231,310000,23233,42,23234,35,23235,1208908,23248,22,
23333,310000,23335,42,23337,20,23340,1209148,23357,18,
23435,310000,23436,42,23438,30,23440,1209292,23461,24,
23536,310000,23537,42,23541,33,23543,1209788,23574,20,
23639,310000,23640,42,23641,46,23642,1207948,23647,35,
23741,310000,23742,42,23747,21,23749,1208444,23763,18,
23842,310000,23845,42,23848,28,23852,1209188,23871,21,
23942,310000,23943,42,23945,23,23945,1209436,23954,15,
24044,310000,24044,42,24046,18,24048,1210056,24093,15,
24145,310000,24145,42,24146,30,24147,1209004,24163,23,
24246,310000,24246,48,24248,30,24249,1209004,24261,17,
24347,310000,24348,48,24349,30,24351,1209580,24364,22,
24448,310000,24449,48,24456,45,24458,1210568,24477,37,
24548,310000,24549,48,24551,43,24552,1209140,24563,32,
24649,310000,24650,48,24652,17,24654,1209388,24663,15,
24750,310000,24751,0,24752,26,24754,1209696,24770,21,
24851,310000,24853,0,24855,25,24857,1210192,24866,21,
24951,310000,24951,0,24953,23,24954,1210936,24960,16,
25052,310000,25053,0,25060,29,25063,1209860,25081,21,
25152,310000,25154,0,25155,23,25156,1209860,25169,22,
25254,310000,25256,0,25259,32,25265,1209968,25283,23,
25355,310000,25356,0,25358,28,25361,1210644,25379,19,
25455,310000,25456,47,25457,42,25458,1208268,25462,33,
25556,310000,25557,47,25558,21,25559,1208064,25564,15,
25658,310000,25658,47,25660,29,25660,1208800,25665,23,
25759,310000,25759,47,25761,20,25762,1209544,25769,15,
25860,310000,25860,47,25862,22,25863,1210412,25874,14,
25961,310000,25962,47,25964,30,25965,1209960,25977,21,
26062,310000,26062,47,26064,31,26065,1209960,26077,20,
26163,310000,26163,47,26164,25,26165,1209960,26172,20,
26263,310000,26264,47,26265,21,26266,1210240,26278,15,
26364,310000,26365,47,26367,32,26368,1208460,26378,32,
26465,310000,26466,47,26469,28,26470,1208892,26475,20,
26566,310000,26568,48,26572,23,26578,1209512,26595,19,
26668,310000,26670,48,26672,32,26674,1210008,26685,22,
26770,310000,26771,48,26774,26,26775,1210380,26785,21,
26870,310000,26871,48,26872,33,26873,1208592,26877,25,
26971,310000,26972,48,26973,22,26974,1209088,26978,17,
27072,310000,27073,48,27074,30,27075,1209460,27081,23,
27173,310000,27174,48,27175,20,27176,1209956,27182,14,
27274,310000,27275,48,27276,40,27277,1209164,27284,31,
27374,310000,27375,48,27377,23,27378,1209288,27384,16,
27476,310000,27477,48,27478,23,27479,1209448,27489,15,
27577,310000,27578,48,27579,18,27580,1209944,27586,14,
27678,310000,27679,48,27681,18,27682,1210564,27703,15,
27779,310000,27780,52,27781,37,27782,1208688,27793,27,
27879,310000,27880,52,27881,24,27882,1208932,27891,18,
27980,310000,27981,52,27982,31,27983,1209620,27989,26,
28081,310000,28081,52,28082,41,28083,1210116,28087,42,
28181,310000,28182,0,28183,37,28183,1208804,28192,34,
28282,310000,28284,0,28286,23,28288,1209496,28301,22,
28383,310000,28385,0,28387,31,28389,1209496,28396,24,
28483,310000,28484,0,28486,28,28486,1209832,28491,19,
28584,310000,28585,0,28587,38,28589,1208824,28595,29,
28686,310000,28687,0,28689,30,28689,1209196,28695,19,
28787,310000,28788,0,28789,33,28790,1209692,28795,24,
28888,310000,28889,0,28891,30,28892,1210312,28898,21,
28989,310000,28990,46,28993,22,28994,1210684,29004,15,
29090,310000,29091,46,29092,36,29093,1209028,29098,29,
29191,200000,29192,46,29193,24,29194,1209276,29204,19,
29292,310000,29293,46,29295,19,29297,1209772,29310,18,
29393,310000,29394,46,29395,42,29396,1210044,29408,26,
29509,310000,29510,46,29511,37,29512,1208964,29520,29,
29559,310000,29560,46,29561,42,29562,1209212,29569,26,
29660,310000,29661,46,29663,31,29664,1209832,29671,25,
29761,310000,29762,46,29763,30,29764,1209956,29771,26,
29862,310000,29863,46,29864,28,29865,1210576,29875,23,
29962,310000,29963,46,29964,30,29965,1208872,29973,25,
30064,310000,30065,49,30069,38,30071,1209200,30078,26,
30164,310000,30165,49,30168,32,30169,1209820,30175,28,
30265,310000,30267,49,30270,31,30271,1210316,30279,23,
30365,310000,30367,49,30369,32,30372,1208888,30380,25,
30468,310000,30469,49,30470,19,30471,1209400,30478,17,
30568,310000,30569,49,30571,28,30572,1209772,30581,19,
30668,310000,30669,49,30671,23,30672,1210392,30676,19,
30770,310000,30771,49,30773,39,30774,1208780,30791,32,
30873,400000,30874,49,30875,35,30876,1209152,30881,32,
30974,310000,30974,49,30976,45,30976,1217996,30984,45,
31074,400000,31076,49,31081,35,31086,1218616,31097,34,
31176,400000,31179,57,31180,43,31181,1218628,31193,39,
31277,400000,31278,57,31280,42,31280,1217240,31287,43,
31378,400000,31380,57,31381,43,31382,1217116,31389,37,
31480,310000,31482,57,31483,30,31485,1225504,31492,28,
31580,310000,31581,57,31583,33,31585,1224884,31591,28,
31681,310000,31682,57,31683,23,31684,1222560,31688,21,
31782,310000,31784,57,31788,27,31790,1223164,31800,24,
31883,310000,31884,57,31887,35,31889,1223536,31899,22,
31984,310000,31985,57,31987,28,31989,1223908,31996,20,
32086,310000,32088,57,32090,34,32092,1222980,32099,24,
32186,310000,32188,57,32189,36,32190,1223228,32196,27,
32288,310000,32291,57,32296,23,32302,1223652,32311,22,
32389,400000,32390,57,32391,40,32392,1223900,32397,30,
32490,400000,32491,57,32493,55,32494,1222700,32506,56,
32590,400000,32591,57,32593,64,32595,1211152,32604,64,
32690,400000,32692,57,32693,80,32695,1212768,32706,78,
32791,400000,32792,57,32793,63,32794,1217404,32801,65,
32891,400000,32892,57,32893,48,32893,1219512,32898,48,
32992,310000,32993,57,32995,57,32996,1222452,33017,61,
33092,310000,33093,57,33095,66,33096,1260748,33105,62,
33194,310000,33195,57,33197,50,33200,1316420,33216,51,
33294,310000,33296,57,33299,58,33302,1358456,33321,50,
33395,310000,33396,57,33398,69,33400,1386484,33414,69,
33495,310000,33496,57,33497,56,33498,1389588,33504,59,
33596,310000,33596,39,33598,48,33599,1283480,33608,47,
33696,310000,33697,39,33698,28,33699,1283960,33704,24,
33797,310000,33797,0,33803,45,33807,1312568,33835,49,
33897,310000,33898,0,33899,73,33900,1315608,33910,69,
33998,310000,33998,0,33999,45,34000,1322876,34008,45,
34098,310000,34099,0,34100,31,34101,1324644,34107,32,
34198,310000,34199,0,34200,31,34201,1324940,34205,32,
34299,310000,34299,0,34300,28,34301,1323772,34306,28,
34400,310000,34401,0,34402,51,34403,1329944,34411,51,
34503,310000,34504,0,34506,75,34508,1335256,34513,77,
34609,310000,34612,0,34615,95,34616,1349888,34634,95,
34744,310000,34746,0,34750,98,34837,1353420,34844,98,
34867,310000,34872,0,34874,100,34877,1355540,34884,100,
34946,310000,34948,36,34981,91,34983,1355272,35003,93,
35046,310000,35047,36,35049,100,35050,1356056,35086,100,
35156,200000,35174,36,35178,97,35179,1353564,35203,98,
35252,200000,35254,36,35256,100,35261,1353120,35278,100,
35303,200000,35304,36,35305,82,35306,1352768,35311,79,
35404,200000,35405,36,35406,84,35407,1362784,35444,86,
35516,200000,35517,36,35519,93,35521,1361296,35594,92,
35618,200000,35618,36,35620,100,35621,1357712,35630,100,
35728,200000,35730,36,35732,93,35734,1356700,35745,93,
35834,200000,35835,36,35836,94,35838,1356484,35844,95,
35943,200000,35944,38,35946,97,35948,1356072,35976,97,
36037,200000,36038,38,36040,92,36041,1353468,36047,91,
36142,200000,36142,38,36144,78,36180,1359552,36210,84,
36242,200000,36243,38,36245,100,36248,1355716,36354,100,
36354,200000,36355,38,36356,100,36357,1364484,36389,100,
36445,200000,36446,38,36452,95,36461,1357556,36515,93,
36546,200000,36546,38,36548,100,36549,1354584,36590,97,
36659,200000,36661,38,36665,91,36669,1355732,36698,93,
36758,200000,36761,38,36762,100,36763,1355000,36776,100,
36863,200000,36864,38,36865,76,36912,1358036,36937,84,
36963,200000,36964,43,37011,97,37013,1360516,37034,98,
37076,310000,37080,43,37089,100,37091,1356892,37113,100,
37169,310000,37170,43,37172,90,37172,1356928,37198,90,
37275,310000,37276,43,37286,97,37288,1358076,37303,97,
37379,310000,37380,43,37382,100,37384,1357840,37413,100,
37479,310000,37480,43,37481,95,37482,1354956,37489,95,
37580,200000,37581,43,37582,69,37583,1356148,37666,70,
37693,200000,37694,43,37695,95,37697,1357788,37713,96,
37793,200000,37794,43,37795,97,37796,1366080,37818,97,
37894,200000,37895,43,37898,97,37899,1360536,37961,97,
38028,200000,38029,36,38030,98,38032,1358312,38062,98,
38091,200000,38091,36,38093,100,38094,1359820,38124,100,
38192,200000,38194,36,38196,100,38197,1356776,38207,100,
38304,200000,38305,36,38330,86,38331,1368296,38347,88,
38353,200000,38354,36,38356,100,38357,1361848,38378,100,
38458,310000,38459,36,38460,100,38461,1364592,38467,100,
38559,310000,38560,36,38562,97,38563,1359832,38587,97,
38662,310000,38663,36,38673,93,38675,1359712,38706,93,
38763,310000,38764,36,38765,100,38766,1362004,38797,100,
38865,310000,38865,36,38867,100,38868,1361500,38891,100,
38964,200000,38965,36,38969,94,38970,1359680,38976,94,
39064,200000,39065,38,39068,93,39069,1356512,39075,90,
39165,200000,39171,38,39172,92,39173,1357012,39191,95,
39278,200000,39279,38,39280,100,39281,1364576,39308,100,
39378,200000,39379,38,39381,89,39382,1357284,39397,89,
39479,200000,39486,38,39487,87,39497,1356008,39520,90,
39587,200000,39589,38,39591,100,39592,1358996,39618,100,
39688,200000,39689,38,39691,100,39697,1357068,39713,100,
39789,310000,39790,38,39791,82,39792,1354764,39797,80,
39890,310000,39891,38,39894,87,39895,1365076,39919,86,
39990,310000,39992,41,39994,97,39997,1361604,40086,98,
40091,310000,40091,41,40093,97,40094,1360240,40101,91,
40195,310000,40196,41,40198,90,40214,1358384,40234,91,
40319,200000,40320,41,40322,100,40323,1359452,40343,100,
40403,310000,40405,41,40406,96,40412,1357984,40438,97,
40504,310000,40504,41,40505,87,40506,1356680,40512,86,
40608,310000,40610,41,40614,86,40619,1361176,40634,87,
40718,310000,40719,41,40727,95,40728,1363204,40735,95,
40827,310000,40828,41,40830,100,40831,1361592,40898,100,
40946,310000,40947,41,40949,97,40950,1360476,40964,97,
41047,310000,41048,41,41049,97,41061,1362532,41082,97,
41150,310000,41151,32,41153,97,41154,1357476,41166,97,
41249,200000,41250,32,41252,71,41253,1357224,41272,70,
41351,200000,41352,32,41354,97,41355,1359908,41375,93,
41455,200000,41456,32,41457,95,41461,1368056,41505,100,
41575,200000,41576,32,41580,100,41581,1362652,41603,100,
41673,200000,41674,32,41676,94,41677,1359544,41686,95,
41772,200000,41773,32,41774,97,41775,1359792,41800,97,
41876,200000,41877,32,41879,100,41881,1358724,41896,100,
41977,200000,41979,32,42007,90,42008,1363820,42015,92,
42079,200000,42080,32,42081,97,42082,1364964,42174,96,
42181,310000,42183,32,42188,100,42189,1363064,42206,100,
42286,310000,42293,42,42297,100,42302,1361120,42318,100,
42398,310000,42399,42,42400,100,42411,1362320,42472,97,
42504,310000,42506,42,42511,97,42512,1361196,42548,100,
42606,200000,42607,42,42609,100,42610,1358880,42616,100,
42724,400000,42726,42,42733,88,42735,1368964,42760,89,
42858,400000,42859,42,42876,100,42893,1369584,42902,100,
42902,310000,42903,42,42904,100,42905,1362908,42914,100,
43020,310000,43021,42,43023,95,43025,1362924,43049,95,
43091,310000,43092,42,43095,100,43152,1362816,43159,100,
43182,310000,43183,42,43184,100,43185,1361156,43212,100,
43284,310000,43285,42,43287,97,43288,1360660,43297,97,
43386,310000,43386,42,43398,80,43399,1367496,43406,82,
43578,310000,43579,37,43581,100,43592,1361460,43624,100,
43630,310000,43631,0,43633,90,43645,1355372,43659,87,
43731,310000,43732,0,43734,100,43748,1354288,43761,100,
43831,310000,43833,0,43835,94,43893,1354648,43917,96,
43942,310000,43942,0,43944,95,43947,1353700,43975,93,
43994,310000,44000,0,44002,100,44007,1353692,44057,100,
44148,310000,44157,0,44158,87,44159,1355944,44168,85,
44251,310000,44252,0,44253,100,44254,1360476,44296,100,
44351,310000,44353,0,44354,92,44356,1356516,44370,91,
44452,310000,44453,0,44454,97,44455,1355180,44462,97,
44557,310000,44558,0,44560,95,44560,1354340,44596,95,
44615,310000,44616,0,44618,100,44619,1354208,44649,100,
44715,310000,44716,35,44718,91,44721,1353116,44734,92,
44828,310000,44829,35,44830,89,44831,1359472,44881,88,
44960,310000,44961,35,44963,100,44989,1362572,45057,100,
45059,310000,45060,35,45063,100,45065,1356948,45091,100,
45161,310000,45162,35,45163,95,45164,1355008,45173,95,
45268,310000,45269,35,45270,95,45271,1357432,45311,95,
45374,310000,45375,35,45376,97,45383,1355720,45399,97,
45425,310000,45426,35,45428,95,45431,1355704,45460,95,
45525,200000,45526,35,45548,93,45559,1356372,45571,94,
45628,200000,45629,35,45631,100,45632,1358852,45717,100,
45729,200000,45729,39,45731,100,45732,1356992,45741,100,
45832,200000,45833,39,45835,97,45836,1356268,45859,97,
45939,200000,45941,39,45942,100,45943,1358020,45983,100,
46037,310000,46039,39,46041,100,46060,1355808,46077,100,
46138,310000,46139,39,46141,97,46148,1355224,46163,94,
46239,310000,46240,39,46275,94,46276,1358124,46287,95,
46340,310000,46341,39,46409,100,46410,1366864,46415,100,
46441,310000,46442,39,46447,100,46473,1360892,46506,100,
46542,310000,46543,39,46548,100,46549,1356860,46576,100,
46646,310000,46649,39,46686,98,46687,1359472,46728,98,
46746,310000,46747,39,46751,100,46753,1357732,46777,100,
46849,310000,46850,33,46852,94,46854,1358064,46900,95,
47008,200000,47009,33,47010,92,47011,1360080,47016,90,
47109,200000,47110,33,47112,100,47113,1364420,47175,100,
47210,310000,47211,33,47212,100,47213,1362188,47220,100,
47312,310000,47313,33,47314,95,47315,1359976,47336,95,
47439,310000,47440,33,47441,98,47442,1360860,47464,98,
47531,310000,47532,33,47534,97,47535,1358240,47564,97,
47629,200000,47631,33,47632,82,47635,1357864,47653,82,
47733,200000,47734,33,47736,100,47737,1362444,47766,100,
