Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
9408,310000,9409,45,9411,21,9412,1191160,9420,16,
9511,310000,9513,45,9516,35,9518,1190072,9525,27,
9611,310000,9612,45,9613,23,9614,1190320,9620,21,
9712,310000,9713,45,9715,23,9717,1190632,9727,15,
9813,310000,9815,45,9817,29,9818,1191252,9827,17,
9914,310000,9915,46,9916,27,9919,1190452,9924,24,
10015,310000,10016,46,10017,23,10018,1190704,10024,23,
10116,310000,10117,46,10121,16,10123,1191072,10135,15,
10216,310000,10218,46,10222,48,10223,1191196,10237,41,
10317,310000,10318,46,10319,50,10321,1190100,10330,47,
10418,310000,10420,46,10423,39,10424,1190840,10437,38,
10518,310000,10519,46,10521,52,10522,1191084,10530,48,
10618,310000,10620,46,10622,43,10623,1191572,10633,36,
10722,310000,10723,46,10726,52,10727,1190552,10737,52,
10823,310000,10824,46,10826,46,10827,1191288,10835,41,
10923,310000,10925,46,10928,47,10930,1192028,10942,45,
11024,310000,11025,59,11029,42,11034,1192152,11058,39,
11125,310000,11126,59,11127,53,11128,1191416,11133,47,
11226,310000,11227,59,11229,33,11230,1191660,11238,29,
11327,310000,11328,59,11330,34,11331,1192020,11343,27,
11428,310000,11429,59,11431,53,11432,1190440,11446,45,
11528,310000,11529,59,11531,45,11534,1191060,11549,45,
11629,310000,11632,59,11634,47,11636,1191460,11646,40,
11733,310000,11734,59,11736,51,11738,1191824,11750,37,
11831,310000,11832,59,11834,46,11835,1191312,11841,41,
11932,310000,11933,59,11935,20,11936,1191912,11942,16,
12033,310000,12034,59,12037,18,12038,1192408,12044,11,
12135,310000,12137,59,12139,23,12140,1192780,12147,19,
12235,310000,12236,60,12238,26,12240,1190928,12246,25,
12338,310000,12341,60,12344,26,12346,1191300,12354,19,
12437,310000,12439,60,12441,31,12442,1191836,12448,21,
12539,310000,12541,60,12544,23,12545,1192456,12554,16,
12639,310000,12640,60,12642,21,12643,1191028,12652,13,
12740,310000,12741,60,12743,28,12744,1191512,12750,23,
12841,310000,12842,60,12844,28,12845,1191884,12852,19,
12942,310000,12944,60,12945,23,12946,1192456,12954,18,
13045,310000,13048,60,13066,31,13068,1190852,13080,27,
13145,310000,13146,60,13148,38,13149,1191100,13156,25,
13246,310000,13249,60,13253,21,13256,1191596,13266,19,
13347,310000,13350,60,13353,23,13354,1192092,13360,17,
13455,310000,13457,48,13459,30,13463,1192712,13480,28,
13556,310000,13557,48,13558,30,13560,1191412,13567,21,
13607,310000,13608,48,13609,14,13610,1191412,13617,8,
13707,310000,13708,0,13709,23,13710,1191616,13715,17,
13808,310000,13810,0,13811,17,13812,1192236,13828,14,
13908,310000,13909,0,13910,38,13911,1190548,13915,34,
14010,310000,14011,0,14013,15,14013,1190920,14023,13,
14111,310000,14112,0,14113,22,14114,1191168,14121,14,
14212,310000,14213,0,14214,26,14215,1191664,14221,22,
14313,310000,14314,0,14323,26,14324,1192036,14338,18,
14414,310000,14415,0,14417,39,14418,1191180,14425,22,
14515,310000,14516,0,14518,27,14519,1191676,14526,21,
14616,310000,14617,51,14619,26,14620,1192048,14629,18,
14717,310000,14718,51,14719,21,14720,1192460,14729,16,
14818,310000,14819,51,14820,35,14821,1190800,14828,26,
14920,310000,14921,51,14922,28,14923,1191172,14932,18,
15021,310000,15022,51,15023,25,15025,1191916,15033,16,
15121,310000,15122,51,15123,28,15123,1192288,15128,27,
