Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
8646,81,8647,1586000,8647,3492060,123891.516908213,8653,49,
8747,87,8747,1482000,8748,3493216,125047.516908213,8755,40,
8849,0,8849,1586000,8852,3478260,110091.516908213,8870,42,
8950,62,8950,1586000,8951,3489020,120851.516908213,8966,37,
9050,87,9051,1586000,9052,3499144,130975.516908213,9062,51,
9149,62,9149,1586000,9150,3493828,125659.516908213,9155,46,
9253,71,9253,1482000,9255,3504196,136027.516908213,9265,59,
9349,55,9350,1586000,9351,3534292,166123.516908213,9357,46,
9452,64,9452,1586000,9454,3540820,172651.516908213,9465,32,
9550,53,9551,1586000,9551,3542456,174287.516908213,9557,46,
9651,71,9651,1586000,9652,3540580,172411.516908213,9658,39,
9751,48,9751,1586000,9752,3541492,173323.516908213,9759,37,
9851,0,9852,1586000,9852,3541240,173071.516908213,9858,41,
9952,87,9952,1586000,9952,3538524,170355.516908213,9958,48,
10052,29,10052,754000,10052,3537060,168891.516908213,10056,26,
10152,0,10152,858000,10153,3535396,167227.516908213,10156,4,
10253,40,10254,1274000,10255,3525996,157827.516908213,10265,17,
10355,38,10356,1170000,10357,3524952,156783.516908213,10372,14,
10456,37,10457,1378000,10458,3483432,115263.516908213,10477,24,
10555,87,10556,1066000,10556,3372364,4195.5169082126,10565,17,
10655,45,10656,1482000,10656,3370408,2239.5169082126,10663,31,
10755,38,10756,754000,10756,3371612,3443.5169082126,10761,13,
10856,21,10856,858000,10856,3372308,4139.5169082126,10861,16,
10956,27,10956,754000,10957,3373088,4919.5169082126,10962,12,
11057,0,11057,962000,11057,3371152,2983.5169082126,11060,4,
11158,13,11159,754000,11159,3371648,3479.5169082126,11168,3,
11259,18,11259,754000,11260,3372144,3975.5169082126,11270,5,
11359,87,11359,1378000,11360,3385128,16959.5169082126,11368,22,
11459,46,11460,1586000,11460,3358044,0,11475,31,
11560,38,11560,962000,11561,3359676,0,11570,23,
11660,54,11661,1378000,11661,3358084,0,11668,21,
11761,0,11761,858000,11762,3358208,0,11773,11,
11862,31,11862,962000,11863,3358456,0,11868,13,
11961,25,11962,858000,11962,3358892,0,11968,11,
12064,33,12068,858000,12071,3361108,0,12085,15,
12163,20,12163,1170000,12163,3358844,0,12168,7,
12265,23,12266,858000,12267,3359092,0,12292,9,
12370,17,12372,858000,12374,3359836,0,12402,8,
12471,18,12472,442000,12474,3359936,0,12508,6,
12566,25,12567,1170000,12568,3360928,0,12589,10,
12669,19,12670,442000,12672,3361424,0,12703,8,
12770,31,12771,442000,12773,3359452,0,12800,11,
12871,21,12872,442000,12874,3359700,0,12902,7,
12971,22,12973,442000,12975,3359948,0,13002,8,
13072,18,13074,442000,13076,3360432,0,13104,5,
13173,21,13174,442000,13176,3360928,0,13204,7,
13272,30,13273,1378000,13274,3358908,0,13293,17,
13374,16,13375,546000,13376,3359156,0,13402,7,
13475,14,13476,442000,13478,3359316,0,13507,5,
13574,20,13575,858000,13576,3359936,0,13601,7,
13676,20,13677,442000,13679,3360432,0,13707,7,
13777,17,13779,442000,13781,3360928,0,13811,5,
13876,39,13876,1378000,13877,3359452,0,13893,20,
13976,28,13977,1066000,13979,3359700,0,14003,12,
14079,12,14081,442000,14083,3360196,0,14110,4,
14180,20,14182,442000,14184,3360692,0,14215,7,
14279,22,14280,858000,14282,3351124,0,14307,8,
14380,26,14380,1274000,14382,3349152,0,14400,12,
14482,10,14483,442000,14486,3349152,0,14514,5,
14583,22,14584,442000,14586,3349720,0,14613,8,
14683,18,14684,650000,14685,3349720,0,14709,7,
14784,27,14785,442000,14787,3349968,0,14814,8,
14884,21,14886,442000,14888,3350712,0,14919,7,
14983,24,14984,1066000,14985,3348988,0,15005,12,
15085,16,15087,442000,15089,3349484,0,15116,7,
15184,14,15185,1066000,15186,3350228,0,15204,6,
15287,10,15288,442000,15290,3350228,0,15318,4,
15386,18,15387,962000,15388,3350712,0,15414,7,
15486,25,15487,1378000,15488,3348716,0,15504,12,
15588,13,15589,650000,15590,3349024,0,15614,7,
15687,18,15688,1066000,15690,3349520,0,15718,9,
15788,20,15789,1170000,15791,3350264,0,15816,7,
15889,15,15890,858000,15891,3350512,0,15911,6,
15989,13,15990,858000,15992,3351008,0,16017,4,
16089,16,16090,1170000,16093,3349036,0,16122,8,
16191,14,16192,858000,16193,3349532,0,16213,4,
16292,17,16293,442000,16295,3349780,0,16321,7,
16392,27,16393,962000,16394,3350248,0,16417,10,
16493,21,16494,546000,16496,3350744,0,16523,8,
16593,26,16594,1274000,16595,3348848,0,16612,12,
16695,10,16696,442000,16698,3349344,0,16722,7,
16794,19,16795,962000,16796,3349840,0,16815,7,
16895,12,16896,754000,16898,3350088,0,16918,5,
16995,19,16996,858000,16998,3350336,0,17017,7,
17096,18,17097,1066000,17098,3350832,0,17118,9,
17196,17,17197,1066000,17198,3349268,0,17215,8,
17297,13,17297,1274000,17299,3349516,0,17315,8,
17347,6,17348,1170000,17351,3349764,0,17374,6,
17449,22,17451,546000,17453,3350508,0,17481,9,
17549,22,17550,858000,17551,3350868,0,17577,8,
17649,18,17650,1170000,17651,3350992,0,17677,8,
17750,24,17751,1378000,17752,3348924,0,17773,15,
17852,13,17853,442000,17855,3349420,0,17886,6,
