Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
85868,61,85868,1586000,85869,3495364,127195.516908213,86091,64,
85968,0,85968,1586000,85969,3493508,125339.516908213,86189,49,
86068,87,86069,1586000,86071,3483640,115471.516908213,86286,30,
86169,55,86169,1586000,86170,3487616,119447.516908213,86396,44,
86269,0,86270,1274000,86271,3489872,121703.516908213,86492,43,
86370,87,86371,1170000,86372,3490368,122199.516908213,86587,24,
86470,73,86470,1586000,86471,3487564,119395.516908213,86691,54,
86570,0,86571,1586000,86572,3487884,119715.516908213,86794,53,
86670,87,86671,1586000,86672,3488628,120459.516908213,86889,34,
86771,52,86772,1482000,86773,3488796,120627.516908213,86992,60,
86871,0,86872,1586000,86873,3489544,121375.516908213,87089,30,
86972,87,86972,1586000,86973,3488236,120067.516908213,87189,34,
87072,41,87072,1586000,87073,3490176,122007.516908213,87292,28,
87172,0,87173,1274000,87174,3490464,122295.516908213,87395,58,
87273,87,87274,1274000,87275,3490960,122791.516908213,87491,24,
87374,68,87374,1378000,87376,3490128,121959.516908213,87595,45,
87474,0,87474,1586000,87475,3488488,120319.516908213,87695,32,
87574,87,87575,1586000,87576,3489108,120939.516908213,87792,27,
87675,50,87676,1170000,87677,3491000,122831.516908213,87900,32,
87775,0,87776,1586000,87777,3491744,123575.516908213,87999,45,
87876,87,87877,1170000,87878,3492240,124071.516908213,88093,23,
87977,81,87977,1586000,87978,3488588,120419.516908213,88196,29,
88077,0,88077,1586000,88079,3489636,121467.516908213,88294,41,
88177,54,88178,1378000,88179,3490132,121963.516908213,88395,32,
88277,75,88278,1586000,88279,3489788,121619.516908213,88495,38,
88378,48,88379,1586000,88380,3488944,120775.516908213,88594,24,
88478,66,88479,1586000,88480,3488172,120003.516908213,88705,38,
88578,36,88579,1586000,88580,3488784,120615.516908213,88802,51,
88679,62,88679,1586000,88685,3489280,121111.516908213,88897,37,
88781,81,88781,1586000,88783,3489528,121359.516908213,89006,33,
88882,65,88882,1586000,88883,3490276,122107.516908213,89103,33,
88983,57,88986,1586000,88987,3492460,124291.516908213,89205,45,
89083,44,89084,1586000,89086,3491720,123551.516908213,89299,48,
89183,77,89185,1586000,89186,3492464,124295.516908213,89414,46,
89284,76,89284,1586000,89286,3492464,124295.516908213,89508,45,
89385,71,89391,1586000,89393,3469316,101147.516908213,89627,35,
89485,73,89486,1586000,89487,3495852,127683.516908213,89705,45,
89586,50,89586,1586000,89590,3513764,145595.516908213,89807,51,
89686,75,89687,1586000,89688,3506452,138283.516908213,89912,37,
89786,77,89788,1586000,89789,3512200,144031.516908213,90007,38,
89888,60,89890,1586000,89892,3512232,144063.516908213,90122,27,
89988,65,89989,1586000,89991,3513872,145703.516908213,90219,44,
90089,38,90093,1586000,90095,3514312,146143.516908213,90325,42,
90189,72,90190,1586000,90191,3507004,138835.516908213,90412,36,
90291,73,90292,1586000,90296,3510856,142687.516908213,90523,42,
90392,61,90393,1586000,90394,3511476,143307.516908213,90628,35,
90494,75,90495,1586000,90496,3513272,145103.516908213,90766,45,
90592,52,90594,1586000,90595,3515048,146879.516908213,90801,55,
90695,74,90697,1586000,90698,3524472,156303.516908213,90929,41,
90793,88,90794,1586000,90794,3512060,143891.516908213,91032,42,
90894,70,90894,1586000,90895,3504872,136703.516908213,91118,30,
90997,67,90999,1586000,91001,3508500,140331.516908213,91230,39,
91095,52,91095,1586000,91096,3510732,142563.516908213,91328,38,
91195,70,91196,1586000,91198,3520652,152483.516908213,91419,33,
91296,62,91297,1586000,91298,3519572,151403.516908213,91522,36,
91396,57,91397,1586000,91399,3519428,151259.516908213,91619,32,
91498,59,91501,1586000,91502,3520480,152311.516908213,91723,45,
91597,49,91597,1586000,91600,3521024,152855.516908213,91833,31,
91700,75,91702,1586000,91703,3523504,155335.516908213,91919,42,
91800,57,91802,1586000,91806,3524152,155983.516908213,92022,32,
91898,67,91899,1586000,91901,3520900,152731.516908213,92132,22,
91999,51,91999,1586000,92003,3504680,136511.516908213,92239,40,
92100,37,92101,1066000,92102,3512020,143851.516908213,92311,43,
92204,68,92206,1586000,92207,3520900,152731.516908213,92426,46,
92301,70,92301,1586000,92302,3523148,154979.516908213,92531,45,
92402,78,92402,1586000,92404,3521180,153011.516908213,92608,46,
92501,74,92502,1586000,92505,3522304,154135.516908213,92723,53,
92601,66,92602,1586000,92602,3527348,159179.516908213,92835,37,
92703,85,92704,1586000,92708,3526852,158683.516908213,92925,45,
92803,62,92805,1586000,92808,3520916,152747.516908213,93023,37,
92903,74,92904,1586000,92905,3520908,152739.516908213,93127,26,
93005,63,93006,1586000,93007,3518740,150571.516908213,93222,29,
93106,40,93107,858000,93109,3520240,152071.516908213,93327,52,
93205,61,93205,1378000,93207,3527100,158931.516908213,93422,33,
93305,87,93306,1586000,93307,3528000,159831.516908213,93536,44,
93405,0,93406,1586000,93407,3528252,160083.516908213,93617,27,
93506,72,93507,1586000,93508,3516688,148519.516908213,93724,27,
93606,44,93607,1586000,93608,3517616,149447.516908213,93827,38,
93706,52,93707,1586000,93708,3527724,159555.516908213,93926,42,
93807,87,93808,1586000,93809,3528376,160207.516908213,94027,27,
93907,0,93908,1586000,93909,3529184,161015.516908213,94125,36,
94008,45,94008,1586000,94009,3531748,163579.516908213,94234,42,
94108,50,94109,1586000,94110,3528696,160527.516908213,94334,44,
94209,61,94210,1586000,94211,3528796,160627.516908213,94430,50,
94310,87,94311,1586000,94312,3530348,162179.516908213,94538,41,
94410,0,94411,1586000,94412,3530484,162315.516908213,94636,47,
94511,87,94512,1586000,94513,3532652,164483.516908213,94728,42,
94612,0,94612,1586000,94616,3527576,159407.516908213,94827,28,
94711,71,94712,1586000,94713,3528420,160251.516908213,94929,34,
94812,42,94812,1586000,94813,3528624,160455.516908213,95030,41,
94912,59,94913,1586000,94914,3528184,160015.516908213,95132,35,
95013,69,95013,1586000,95014,3521640,153471.516908213,95237,36,
95114,59,95115,1586000,95116,3521892,153723.516908213,95330,26,
95214,62,95214,1586000,95215,3520780,152611.516908213,95434,36,
95314,37,95315,1586000,95316,3523756,155587.516908213,95533,35,
95415,63,95415,1586000,95416,3534152,165983.516908213,95634,30,
95516,58,95516,1586000,95517,3534896,166727.516908213,95735,39,
95616,53,95616,1586000,95618,3535272,167103.516908213,95837,22,
95718,66,95719,1586000,95720,3532516,164347.516908213,95936,50,
95817,37,95818,1586000,95819,3532680,164511.516908213,96039,46,
95917,75,95918,1586000,95919,3531052,162883.516908213,96143,67,
96018,71,96018,1586000,96020,3531636,163467.516908213,96241,38,
96119,80,96119,1586000,96121,3531160,162991.516908213,96341,61,
96218,54,96219,1586000,96220,3532452,164283.516908213,96444,71,
96319,87,96320,1586000,96321,3530716,162547.516908213,96538,42,
96420,72,96420,1586000,96421,3531844,163675.516908213,96646,49,
96521,0,96521,1586000,96523,3533716,165547.516908213,96743,59,
96620,87,96621,1586000,96622,3533936,165767.516908213,96836,38,
96721,56,96722,1586000,96723,3534072,165903.516908213,96943,51,
96821,0,96822,1586000,96822,3530404,162235.516908213,97040,32,
96923,87,96924,1586000,96925,3530900,162731.516908213,97144,70,
97022,0,97023,1586000,97024,3533576,165407.516908213,97244,51,
97123,87,97123,1586000,97125,3532080,163911.516908213,97343,29,
97223,53,97224,1586000,97225,3532976,164807.516908213,97447,61,
97325,0,97325,1586000,97327,3531008,162839.516908213,97547,54,
97425,87,97426,1586000,97427,3529960,161791.516908213,97645,24,
97525,54,97526,1586000,97527,3530948,162779.516908213,97749,53,
97626,0,97626,1586000,97627,3529824,161655.516908213,97809,47,
97728,85,97729,1586000,97731,3528052,159883.516908213,97932,44,
97782,83,97783,1586000,97790,3528300,160131.516908213,97991,46,
97886,66,97887,1586000,97895,3525300,157131.516908213,98114,37,
97985,75,97985,1586000,97985,3511736,143567.516908213,98210,44,
98085,56,98086,1586000,98086,3514416,146247.516908213,98316,33,
98187,68,98187,1586000,98189,3514912,146743.516908213,98420,26,
98287,64,98288,1586000,98296,3513296,145127.516908213,98511,38,
98387,52,98388,1586000,98389,3513744,145575.516908213,98607,30,
98487,67,98488,1586000,98495,3510804,142635.516908213,98713,29,
98588,49,98588,1586000,98589,3512800,144631.516908213,98824,42,
98688,44,98689,1586000,98691,3518008,149839.516908213,98918,28,
98789,72,98789,1586000,98791,3510444,142275.516908213,99015,35,
98889,54,98890,1586000,98891,3512924,144755.516908213,99113,32,
98990,63,98990,1586000,98991,3510712,142543.516908213,99211,20,
99090,51,99090,1586000,99091,3509976,141807.516908213,99309,33,
99190,30,99191,1586000,99192,3510820,142651.516908213,99434,44,
99291,62,99291,1586000,99293,3505476,137307.516908213,99524,42,
99391,74,99392,1586000,99393,3512544,144375.516908213,99597,45,
99492,70,99492,1586000,99493,3513164,144995.516908213,99712,39,
99591,74,99592,1586000,99592,3512332,144163.516908213,99834,35,
99692,56,99693,1586000,99694,3512328,144159.516908213,99913,47,
99795,54,99796,1586000,99806,3518528,150359.516908213,100011,38,
99893,77,99894,1586000,99895,3510956,142787.516908213,100117,34,
99994,62,99994,1586000,99994,3513932,145763.516908213,100221,33,
100095,58,100096,1586000,100097,3511964,143795.516908213,100315,24,
100195,62,100196,1586000,100197,3510836,142667.516908213,100414,34,
100296,32,100296,1586000,100297,3511432,143263.516908213,100517,37,
100396,63,100397,1586000,100398,3506368,138199.516908213,100618,33,
100497,65,100498,1586000,100499,3511700,143531.516908213,100718,38,
100597,59,100598,1586000,100599,3514036,145867.516908213,100815,24,
100698,67,100699,1586000,100700,3513436,145267.516908213,100916,36,
100798,35,100799,1586000,100800,3515172,147003.516908213,101016,34,
100899,65,100900,1586000,100901,3522364,154195.516908213,101124,39,
101000,59,101000,1586000,101001,3523356,155187.516908213,101221,50,
101101,65,101102,1586000,101103,3523272,155103.516908213,101333,42,
101201,80,101202,1586000,101204,3521848,153679.516908213,101436,50,
101302,63,101303,1586000,101304,3510356,142187.516908213,101523,42,
101404,81,101405,1586000,101407,3498452,130283.516908213,101627,45,
101504,69,101504,1586000,101506,3502612,134443.516908213,101724,42,
101605,74,101605,1586000,101607,3502536,134367.516908213,101825,28,
101705,75,101706,1586000,101707,3502644,134475.516908213,101925,33,
101806,43,101806,1586000,101808,3502140,133971.516908213,102023,38,
101906,59,101907,1586000,101908,3496448,128279.516908213,102125,30,
102006,60,102007,1586000,102008,3501128,132959.516908213,102223,28,
102107,52,102108,1586000,102109,3502400,134231.516908213,102335,33,
102207,45,102208,1586000,102209,3503888,135719.516908213,102425,44,
102308,58,102309,1482000,102310,3511488,143319.516908213,102527,27,
102408,73,102409,1586000,102410,3509268,141099.516908213,102627,32,
102509,50,102509,1586000,102511,3506052,137883.516908213,102725,28,
102609,57,102610,1586000,102611,3505976,137807.516908213,102827,34,
102710,41,102711,1586000,102712,3507416,139247.516908213,102931,50,
102810,58,102811,1586000,102812,3494548,126379.516908213,103036,45,
102912,84,102913,1586000,102914,3497228,129059.516908213,103133,47,
103012,69,103013,1586000,103014,3497232,129063.516908213,103229,35,
103113,74,103113,1586000,103115,3498720,130551.516908213,103343,44,
103212,54,103212,1586000,103213,3500204,132035.516908213,103453,55,
103315,68,103316,1586000,103321,3495100,126931.516908213,103530,50,
103416,87,103417,1586000,103418,3501704,133535.516908213,103624,40,
103516,0,103517,1586000,103523,3499336,131167.516908213,103735,20,
103616,87,103617,1586000,103617,3500280,132111.516908213,103833,32,
103717,0,103718,1586000,103719,3501904,133735.516908213,103935,35,
103817,56,103818,1586000,103819,3508584,140415.516908213,104038,30,
103918,58,103919,1586000,103920,3509080,140911.516908213,104138,37,
104019,55,104019,1378000,104021,3492124,123955.516908213,104238,30,
104119,65,104120,1586000,104121,3495564,127395.516908213,104337,39,
104219,45,104220,1586000,104221,3498044,129875.516908213,104436,36,
104320,68,104321,1482000,104322,3508212,140043.516908213,104542,28,
104420,63,104420,1586000,104422,3508832,140663.516908213,104638,38,
104522,52,104523,1274000,104524,3508984,140815.516908213,104740,24,
104621,70,104622,1482000,104623,3508028,139859.516908213,104857,44,
104722,39,104723,1482000,104724,3511008,142839.516908213,104928,53,
104823,70,104824,1586000,104825,3508232,140063.516908213,105044,41,
104922,85,104922,1586000,104923,3501504,133335.516908213,105141,43,
105024,66,105025,1586000,105027,3499784,131615.516908213,105254,33,
105123,67,105124,1586000,105125,3498276,130107.516908213,105343,50,
105225,48,105226,1586000,105227,3499132,130963.516908213,105442,37,
105324,83,105325,1586000,105326,3505484,137315.516908213,105544,29,
105424,63,105425,1586000,105426,3506724,138555.516908213,105654,22,
105525,56,105526,1378000,105527,3506848,138679.516908213,105752,33,
105626,87,105627,858000,105628,3508720,140551.516908213,105845,33,
105726,0,105727,1586000,105730,3506716,138547.516908213,105957,44,
105826,62,105827,1586000,105829,3506988,138819.516908213,106044,37,
105927,69,105928,1586000,105935,3509716,141547.516908213,106148,35,
106027,65,106028,1586000,106029,3505884,137715.516908213,106250,25,
106127,55,106128,1586000,106129,3507128,138959.516908213,106351,37,
106228,40,106228,1586000,106231,3507304,139135.516908213,106446,37,
106328,61,106329,1586000,106330,3497504,129335.516908213,106549,39,
106429,62,106429,1586000,106430,3501684,133515.516908213,106652,43,
106529,69,106529,1586000,106531,3501808,133639.516908213,106755,34,
106630,71,106631,1586000,106632,3503048,134879.516908213,106853,47,
106730,52,106731,1586000,106733,3503796,135627.516908213,106951,50,
106831,73,106831,1586000,106833,3494120,125951.516908213,107055,38,
106931,82,106931,1586000,106932,3500816,132647.516908213,107155,48,
107033,65,107034,1586000,107036,3502804,134635.516908213,107250,24,
107132,81,107133,1586000,107134,3504540,136371.516908213,107355,30,
107233,40,107233,1586000,107234,3505040,136871.516908213,107457,46,
107333,53,107333,1586000,107335,3511584,143415.516908213,107552,37,
107434,87,107434,1586000,107435,3498664,130495.516908213,107663,36,
107534,0,107535,1586000,107536,3498248,130079.516908213,107755,31,
107635,87,107636,1274000,107638,3500084,131915.516908213,107855,49,
107736,0,107736,1482000,107737,3512456,144287.516908213,107962,64,
107836,70,107837,1586000,107838,3510436,142267.516908213,108091,26,
107937,87,107937,1586000,107938,3511008,142839.516908213,108144,67,
108039,0,108042,1066000,108043,3512620,144451.516908213,108289,31,
108138,87,108139,1586000,108139,3513204,145035.516908213,108372,38,
108243,54,108244,546000,108246,3514696,146527.516908213,108462,46,
108341,0,108342,1586000,108343,3511828,143659.516908213,108575,75,
108441,87,108441,1586000,108441,3511776,143607.516908213,108666,34,
108543,73,108543,1586000,108546,3511280,143111.516908213,108774,40,
108642,0,108643,1586000,108644,3511860,143691.516908213,108887,45,
108743,64,108744,1586000,108745,3512852,144683.516908213,108968,57,
108844,87,108844,1586000,108845,3513564,145395.516908213,109067,29,
108944,64,108944,1586000,108945,3511860,143691.516908213,109174,31,
109045,48,109046,1586000,109048,3512684,144515.516908213,109277,43,
109148,0,109153,1586000,109154,3513180,145011.516908213,109364,30,
109246,76,109247,1586000,109248,3511504,143335.516908213,109489,42,
109347,50,109348,1586000,109348,3503476,135307.516908213,109590,27,
109448,87,109448,1586000,109450,3502612,134443.516908213,109674,41,
109547,0,109548,1586000,109551,3500016,131847.516908213,109774,31,
109648,63,109649,1482000,109650,3509800,141631.516908213,109877,56,
109749,53,109750,1586000,109751,3510668,142499.516908213,109974,27,
109850,87,109851,1586000,109853,3510036,141867.516908213,110091,51,
109949,0,109949,1586000,109950,3511660,143491.516908213,110155,56,
110057,87,110058,1586000,110060,3508876,140707.516908213,110292,36,
110149,66,110150,1586000,110150,3510072,141903.516908213,110386,50,
110252,0,110254,1586000,110258,3509412,141243.516908213,110477,61,
110352,70,110353,1586000,110355,3510088,141919.516908213,110577,42,
110453,87,110454,1586000,110455,3512092,143923.516908213,110677,45,
110553,0,110554,1586000,110555,3514832,146663.516908213,110777,78,
110654,87,110655,1586000,110656,3513304,145135.516908213,110873,28,
110754,64,110755,1586000,110756,3512892,144723.516908213,110970,34,
110855,0,110855,1586000,110856,3513912,145743.516908213,111072,38,
110955,51,110955,1586000,110956,3514160,145991.516908213,111177,38,
111056,66,111056,1586000,111057,3514160,145991.516908213,111285,46,
111158,58,111159,1586000,111161,3509688,141519.516908213,111375,32,
111257,87,111258,1586000,111259,3513484,145315.516908213,111479,28,
111358,0,111359,1586000,111360,3514600,146431.516908213,111582,38,
111460,44,111460,962000,111462,3515236,147067.516908213,111688,28,
111559,59,111560,1586000,111561,3514536,146367.516908213,111783,38,
111660,87,111661,1586000,111663,3516356,148187.516908213,111887,54,
111760,0,111761,1586000,111763,3512536,144367.516908213,111996,39,
111860,87,111861,1586000,111862,3511944,143775.516908213,112068,86,
111962,0,111963,1586000,111964,3510804,142635.516908213,112187,55,
112062,87,112062,1586000,112062,3511248,143079.516908213,112298,40,
112162,59,112162,1586000,112163,3512492,144323.516908213,112369,49,
112264,0,112265,1586000,112267,3510568,142399.516908213,112469,58,
112363,87,112363,1586000,112364,3511312,143143.516908213,112593,18,
112464,54,112464,1586000,112464,3511108,142939.516908213,112688,66,
112565,0,112566,962000,112567,3511988,143819.516908213,112789,32,
112665,87,112666,1378000,112667,3512732,144563.516908213,112883,26,
112765,0,112766,1586000,112768,3511236,143067.516908213,112987,57,
112866,87,112867,1586000,112869,3510324,142155.516908213,113088,52,
112967,70,112967,1586000,112968,3512556,144387.516908213,113191,27,
113067,50,113068,1586000,113069,3513092,144923.516908213,113290,66,
113168,0,113168,1586000,113169,3514844,146675.516908213,113391,57,
113268,87,113269,1586000,113270,3515440,147271.516908213,113506,17,
113369,57,113370,1586000,113371,3512428,144259.516908213,113594,46,
113469,0,113470,1586000,113471,3513620,145451.516908213,113701,48,
113571,72,113571,1586000,113573,3513248,145079.516908213,113779,49,
113673,87,113673,1586000,113675,3513744,145575.516908213,113895,42,
113772,0,113772,1586000,113773,3513528,145359.516908213,113999,37,
113874,72,113874,1586000,113876,3513664,145495.516908213,114099,50,
113974,55,113975,1586000,113976,3511056,142887.516908213,114195,37,
114074,82,114075,1586000,114076,3511652,143483.516908213,114292,38,
114175,59,114176,1586000,114177,3504744,136575.516908213,114393,25,
114276,63,114276,1586000,114277,3504304,136135.516908213,114501,31,
114376,41,114377,1482000,114378,3505940,137771.516908213,114594,40,
114477,61,114478,1378000,114480,3510792,142623.516908213,114698,32,
114578,67,114578,1586000,114579,3511272,143103.516908213,114798,39,
114680,54,114680,1378000,114682,3512712,144543.516908213,114902,37,
114780,87,114780,1586000,114782,3512568,144399.516908213,115002,35,
114880,0,114881,1586000,114882,3512792,144623.516908213,115099,32,
114981,51,114981,1586000,114982,3513388,145219.516908213,115199,36,
115081,87,115082,1586000,115084,3511820,143651.516908213,115305,37,
115182,0,115182,1482000,115183,3511796,143627.516908213,115404,41,
115282,87,115283,1586000,115284,3512488,144319.516908213,115500,50,
115382,53,115383,1586000,115384,3513048,144879.516908213,115609,50,
115483,0,115484,1586000,115485,3514216,146047.516908213,115714,34,
115584,70,115585,1586000,115587,3512324,144155.516908213,115805,38,
115687,52,115688,754000,115690,3513320,145151.516908213,115909,61,
115788,67,115788,1586000,115789,3514312,146143.516908213,116006,29,
115888,87,115889,1586000,115890,3515108,146939.516908213,116069,32,
115989,0,115989,1586000,115991,3515544,147375.516908213,116165,74,
116039,37,116039,1378000,116046,3516288,148119.516908213,116266,43,
116139,87,116140,1586000,116141,3514316,146147.516908213,116368,22,
116239,54,116240,1586000,116241,3513624,145455.516908213,116470,36,
116343,0,116344,858000,116346,3516484,148315.516908213,116561,42,
116441,56,116441,1378000,116443,3516756,148587.516908213,116664,39,
116541,60,116542,1586000,116543,3516520,148351.516908213,116757,41,
116641,87,116642,1586000,116643,3516088,147919.516908213,116878,31,
116742,0,116742,1586000,116744,3516708,148539.516908213,116953,37,
116843,99,116844,1586000,116845,3518072,149903.516908213,117065,38,
116943,77,116943,1586000,116944,3518792,150623.516908213,117178,31,
117044,0,117044,1586000,117045,3518696,150527.516908213,117271,41,
117145,87,117145,1170000,117147,3518912,150743.516908213,117374,34,
117245,0,117246,1482000,117247,3514668,146499.516908213,117480,50,
117345,49,117346,1586000,117347,3502860,134691.516908213,117558,36,
117445,87,117445,1586000,117445,3507724,139555.516908213,117676,35,
117546,0,117546,1586000,117547,3508216,140047.516908213,117769,33,
117649,61,117650,1586000,117651,3507952,139783.516908213,117884,39,
117750,49,117750,1586000,117752,3507368,139199.516908213,117973,36,
117850,62,117851,1586000,117852,3507568,139399.516908213,118072,32,
117951,64,117951,1586000,117954,3508164,139995.516908213,118185,30,
118051,61,118052,1482000,118053,3507032,138863.516908213,118301,19,
118151,58,118152,1066000,118154,3508008,139839.516908213,118382,33,
118252,37,118253,858000,118255,3508752,140583.516908213,118479,43,
118353,65,118354,1274000,118355,3506388,138219.516908213,118579,31,
118458,69,118458,1586000,118460,3506736,138567.516908213,118674,37,
118554,56,118555,1586000,118561,3505940,137771.516908213,118779,31,
118654,62,118654,1586000,118655,3506964,138795.516908213,118880,35,
118755,48,118756,1586000,118758,3508964,140795.516908213,118991,36,
118855,60,118855,1586000,118856,3506500,138331.516908213,119078,28,
118956,64,118957,1586000,118958,3506356,138187.516908213,119178,37,
119057,53,119057,1586000,119058,3506212,138043.516908213,119278,23,
119158,64,119158,1586000,119160,3506956,138787.516908213,119400,40,
119258,38,119258,1586000,119259,3506916,138747.516908213,119478,38,
119359,64,119361,1586000,119362,3507412,139243.516908213,119583,35,
119459,67,119459,1586000,119461,3505684,137515.516908213,119689,29,
119563,60,119564,1586000,119565,3505648,137479.516908213,119783,17,
119663,60,119664,858000,119665,3507632,139463.516908213,119890,32,
119764,32,119764,1170000,119766,3508624,140455.516908213,119983,51,
119863,58,119864,1586000,119867,3501332,133163.516908213,120090,41,
119965,81,119966,1586000,119967,3504268,136099.516908213,120185,42,
120065,69,120065,1586000,120067,3506304,138135.516908213,120282,23,
120165,66,120166,1586000,120167,3508784,140615.516908213,120399,37,
120265,37,120266,1586000,120267,3509332,141163.516908213,120520,57,
120367,60,120367,1586000,120369,3504764,136595.516908213,120573,50,
120467,89,120467,1586000,120468,3511352,143183.516908213,120675,49,
120567,77,120568,1586000,120568,3508580,140411.516908213,120822,37,
120668,87,120668,1586000,120668,3509180,141011.516908213,120878,50,
120780,0,120782,1586000,120786,3490224,122055.516908213,120976,45,
120868,82,120869,1586000,120869,3520132,151963.516908213,121094,41,
120969,66,120970,1586000,120970,3541736,173567.516908213,121191,44,
121070,68,121071,1586000,121072,3526480,158311.516908213,121293,36,
121172,69,121172,1586000,121174,3528704,160535.516908213,121400,34,
121273,55,121274,1586000,121275,3536716,168547.516908213,121492,36,
121374,63,121375,1586000,121376,3541428,173259.516908213,121596,37,
121474,58,121474,1586000,121476,3542420,174251.516908213,121691,34,
121575,63,121575,1586000,121577,3541676,173507.516908213,121793,24,
121674,55,121675,1586000,121676,3540820,172651.516908213,121915,47,
121775,39,121776,1586000,121777,3540820,172651.516908213,121994,48,
121875,79,121876,1586000,121877,3544016,175847.516908213,122102,44,
121976,78,121977,1586000,121978,3545704,177535.516908213,122206,48,
122077,70,122077,1586000,122079,3546748,178579.516908213,122297,35,
122182,79,122183,1586000,122184,3541552,173383.516908213,122398,41,
122278,53,122278,1586000,122279,3523980,155811.516908213,122507,48,
122379,67,122379,1586000,122381,3530500,162331.516908213,122600,33,
122481,80,122481,1586000,122486,3531244,163075.516908213,122703,32,
122582,61,122582,1586000,122584,3529784,161615.516908213,122800,26,
122682,61,122683,1274000,122685,3530480,162311.516908213,122902,31,
122783,44,122784,1378000,122785,3529052,160883.516908213,123000,42,
122883,53,122884,1586000,122885,3529496,161327.516908213,123105,34,
122984,70,122985,1586000,122986,3529760,161591.516908213,123203,36,
123084,64,123085,1586000,123088,3532640,164471.516908213,123303,27,
123186,64,123186,1586000,123187,3533116,164947.516908213,123408,32,
123286,43,123287,1586000,123288,3529564,161395.516908213,123504,40,
123387,56,123387,1586000,123389,3522868,154699.516908213,123605,32,
123487,67,123488,1586000,123489,3528568,160399.516908213,123707,43,
123588,56,123589,1586000,123590,3527884,159715.516908213,123811,34,
123688,72,123689,1586000,123690,3531084,162915.516908213,123914,52,
123790,50,123790,1586000,123792,3532324,164155.516908213,124009,51,
123890,83,123891,1586000,123893,3525756,157587.516908213,124112,37,
123991,81,123992,1586000,123993,3529684,161515.516908213,124212,42,
124091,63,124092,1586000,124096,3530728,162559.516908213,124309,29,
124192,68,124192,1586000,124194,3530884,162715.516908213,124420,32,
124292,43,124292,1586000,124295,3531780,163611.516908213,124513,41,
124394,63,124395,1274000,124399,3523152,154983.516908213,124612,29,
124493,70,124494,1586000,124495,3527648,159479.516908213,124722,57,
124594,50,124595,1586000,124596,3528396,160227.516908213,124825,26,
124694,87,124695,1586000,124696,3529596,161427.516908213,124920,38,
124801,35,124801,1482000,124803,3531612,163443.516908213,125018,48,
124902,0,124902,1586000,124904,3524616,156447.516908213,125123,34,
125002,77,125002,1586000,125003,3529588,161419.516908213,125225,32,
125103,53,125105,1378000,125106,3530580,162411.516908213,125325,21,
125203,87,125204,1586000,125205,3531916,163747.516908213,125426,46,
125304,0,125305,1274000,125306,3532836,164667.516908213,125523,49,
125405,77,125406,1586000,125408,3538432,170263.516908213,125628,40,
125506,71,125507,1586000,125508,3535824,167655.516908213,125724,44,
125606,87,125607,1586000,125608,3536928,168759.516908213,125830,43,
125706,0,125707,1586000,125708,3524428,156259.516908213,125933,39,
125809,62,125810,1586000,125811,3531524,163355.516908213,126035,41,
125909,68,125910,1586000,125911,3533012,164843.516908213,126127,44,
126010,63,126011,1586000,126012,3534996,166827.516908213,126233,39,
126111,63,126111,1586000,126112,3539400,171231.516908213,126332,35,
126211,87,126211,1586000,126213,3540052,171883.516908213,126428,31,
126311,65,126312,1586000,126313,3540200,172031.516908213,126532,34,
126412,0,126412,1586000,126413,3541992,173823.516908213,126630,51,
126512,57,126513,1586000,126514,3529048,160879.516908213,126731,38,
126613,83,126613,1586000,126614,3531880,163711.516908213,126831,36,
126713,61,126714,1586000,126715,3532788,164619.516908213,126930,25,
126814,66,126814,1586000,126815,3533436,165267.516908213,127046,27,
126914,37,126915,1586000,126916,3533440,165271.516908213,127121,46,
127014,52,127015,1586000,127016,3528352,160183.516908213,127235,28,
127115,74,127115,1586000,127115,3531208,163039.516908213,127294,51,
127215,50,127216,1586000,127217,3533892,165723.516908213,127373,40,
127266,80,127267,1586000,127269,3531724,163555.516908213,127512,36,
127366,67,127367,1586000,127367,3533208,165039.516908213,127574,50,
127469,51,127470,1586000,127471,3536376,168207.516908213,127697,47,
127568,82,127568,1586000,127569,3528872,160703.516908213,127803,55,
127671,69,127672,1586000,127674,3530672,162503.516908213,127902,30,
127772,74,127774,1586000,127775,3530924,162755.516908213,127987,33,
127871,46,127872,1586000,127873,3520568,152399.516908213,128091,35,
127972,56,127972,1586000,127973,3527488,159319.516908213,128196,27,
128072,66,128073,1586000,128074,3527488,159319.516908213,128291,41,
128173,49,128173,1586000,128175,3516004,147835.516908213,128391,26,
128274,69,128274,1586000,128275,3514776,146607.516908213,128508,25,
128374,45,128374,1586000,128375,3516724,148555.516908213,128580,43,
128474,40,128475,1586000,128476,3524008,155839.516908213,128694,28,
128574,70,128575,1586000,128575,3529612,161443.516908213,128794,40,
128676,49,128676,1586000,128678,3529864,161695.516908213,128892,27,
128776,66,128776,1586000,128777,3528292,160123.516908213,128999,20,
128876,42,128876,1586000,128878,3529628,161459.516908213,129103,43,
128977,39,128978,962000,128979,3531612,163443.516908213,129198,46,
129079,78,129080,1586000,129081,3528360,160191.516908213,129298,45,
129178,73,129178,1586000,129180,3520548,152379.516908213,129397,47,
129279,80,129280,1586000,129281,3519600,151431.516908213,129500,34,
129380,75,129381,1586000,129382,3517088,148919.516908213,129614,50,
