execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.006856,[1,1024],[1024,1008],[1,1008]
0.024704,[1,2048],[2048,1024],[1,1024]
0.003531,[1,1024],[1024,1008],[1,1008]
0.02192,[1,2048],[2048,1024],[1,1024]
0.004101,[1,1024],[1024,1008],[1,1008]
0.021837,[1,2048],[2048,1024],[1,1024]
0.0061,[1,1024],[1024,1008],[1,1008]
0.024697,[1,2048],[2048,1024],[1,1024]
0.003072,[1,1024],[1024,1008],[1,1008]
0.009541,[1,2048],[2048,1024],[1,1024]
0.005615,[1,1024],[1024,1008],[1,1008]
0.028116,[1,2048],[2048,1024],[1,1024]
0.006719,[1,1024],[1024,1008],[1,1008]
0.019955,[1,2048],[2048,1024],[1,1024]
0.009815,[1,1024],[1024,1008],[1,1008]
0.02307,[1,2048],[2048,1024],[1,1024]
0.006236,[1,1024],[1024,1008],[1,1008]
0.02699,[1,2048],[2048,1024],[1,1024]
0.00353,[1,1024],[1024,1008],[1,1008]
0.010053,[1,2048],[2048,1024],[1,1024]
0.003111,[1,1024],[1024,1008],[1,1008]
0.020148,[1,2048],[2048,1024],[1,1024]
0.011183,[1,1024],[1024,1008],[1,1008]
0.024626,[1,2048],[2048,1024],[1,1024]
0.005774,[1,1024],[1024,1008],[1,1008]
0.027539,[1,2048],[2048,1024],[1,1024]
0.004015,[1,1024],[1024,1008],[1,1008]
0.022676,[1,2048],[2048,1024],[1,1024]
0.008153,[1,1024],[1024,1008],[1,1008]
0.020894,[1,2048],[2048,1024],[1,1024]
0.011065,[1,1024],[1024,1008],[1,1008]
0.026218,[1,2048],[2048,1024],[1,1024]
0.004971,[1,1024],[1024,1008],[1,1008]
0.026761,[1,2048],[2048,1024],[1,1024]
0.00509,[1,1024],[1024,1008],[1,1008]
0.01103,[1,2048],[2048,1024],[1,1024]
0.003154,[1,1024],[1024,1008],[1,1008]
0.012942,[1,2048],[2048,1024],[1,1024]
0.003007,[1,1024],[1024,1008],[1,1008]
0.022692,[1,2048],[2048,1024],[1,1024]
0.013334,[1,1024],[1024,1008],[1,1008]
0.025471,[1,2048],[2048,1024],[1,1024]
0.005589,[1,1024],[1024,1008],[1,1008]
0.027661,[1,2048],[2048,1024],[1,1024]
0.004165,[1,1024],[1024,1008],[1,1008]
0.020316,[1,2048],[2048,1024],[1,1024]
0.008641,[1,1024],[1024,1008],[1,1008]
0.029709,[1,2048],[2048,1024],[1,1024]
0.005254,[1,1024],[1024,1008],[1,1008]
0.019704,[1,2048],[2048,1024],[1,1024]
0.006757,[1,1024],[1024,1008],[1,1008]
0.027557,[1,2048],[2048,1024],[1,1024]
0.005457,[1,1024],[1024,1008],[1,1008]
0.022917,[1,2048],[2048,1024],[1,1024]
0.005974,[1,1024],[1024,1008],[1,1008]
0.021725,[1,2048],[2048,1024],[1,1024]
0.007257,[1,1024],[1024,1008],[1,1008]
0.008412,[1,2048],[2048,1024],[1,1024]
0.003083,[1,1024],[1024,1008],[1,1008]
0.027799,[1,2048],[2048,1024],[1,1024]
0.006027,[1,1024],[1024,1008],[1,1008]
0.010693,[1,2048],[2048,1024],[1,1024]
0.003696,[1,1024],[1024,1008],[1,1008]
0.013086,[1,2048],[2048,1024],[1,1024]
0.003039,[1,1024],[1024,1008],[1,1008]
0.013682,[1,2048],[2048,1024],[1,1024]
0.00628,[1,1024],[1024,1008],[1,1008]
0.010661,[1,2048],[2048,1024],[1,1024]
0.002969,[1,1024],[1024,1008],[1,1008]
0.011902,[1,2048],[2048,1024],[1,1024]
0.006696,[1,1024],[1024,1008],[1,1008]
0.011002,[1,2048],[2048,1024],[1,1024]
0.003004,[1,1024],[1024,1008],[1,1008]
